武器,聖遺物セット,聖遺物メイン,バフキャラ,スキル期待値,攻撃力,HP,バフ,会心ダメ期待値,熟知,率ダメ,会心ダメ比率,聖遺物組み合わせ,サブステ,サブHP%,サブHP,スコア
霧切(完凸),劇団4(控え),防御%、防御%、防御%,なし,13067.82,1236,18006,1.088,1.87186,0,0.66:1.32,2.00,a,0.61025,0,0,0
霧切(完凸),劇団4(控え),防御%、防御%、会心率,なし,12821.42,1236,18006,1.088,2.330896,0,0.82:1.63,2.00,a,0.45475,0,0,0
霧切(完凸),劇団4(控え),防御%、防御%、会心ダメージ,なし,12821.42,1236,18006,1.088,2.330896,0,0.82:1.63,2.00,a,0.76575,0,0,0
狼牙(完凸),劇団4(控え),防御%、防御%、防御%,なし,12642.92,1072,18006,0.288,2.179648,0,0.77:1.54,2.00,a,0.282,0,0,0
狼牙(完凸),劇団4(控え),防御%、防御%、会心率,なし,12365.88,1072,18006,0.288,2.705704,0,0.92:1.85,2.00,a,0.1265,0,0,0
狼牙(完凸),劇団4(控え),防御%、防御%、会心ダメージ,なし,12365.88,1072,18006,0.288,2.705704,0,0.92:1.85,2.00,a,0.4375,0,0,0
静水流転の輝き,劇団4(控え),防御%、防御%、防御%,なし,12257.09,1104,21709.28,0.288,2.18734,0,0.77:1.54,2.00,a,0.7205,0,0,0
狼牙(4),劇団4(控え),防御%、防御%、防御%,なし,12254.42,1072,18006,0.288,2.149128,0,0.76:1.52,2.00,a,0.292,0,0,0
狼牙(4),劇団4(控え),防御%、防御%、会心率,なし,11991.05,1072,18006,0.288,2.668965,0,0.91:1.83,2.00,a,0.1365,0,0,0
狼牙(4),劇団4(控え),防御%、防御%、会心ダメージ,なし,11991.05,1072,18006,0.288,2.668964,0,0.91:1.83,2.00,a,0.4475,0,0,0
静水流転の輝き,劇団4(控え),防御%、防御%、会心率,なし,11987.17,1104,21709.28,0.288,2.714952,0,0.93:1.85,2.00,a,0.565,0,0,0
霧切(完凸),劇団4(控え),防御%、元素バフ、防御%,なし,11987.11,1236,18006,1.554,1.87186,0,0.66:1.32,2.00,a,0.61025,0,0,0
静水流転の輝き,劇団4(控え),防御%、防御%、会心ダメージ,なし,11936.17,1104,21709.28,0.288,2.7034,0,0.85:2.00,2.36,a,0.8,0,0,0
狼牙(完凸),劇団4(控え),防御%、元素バフ、防御%,なし,11930.32,1072,18006,0.7539999,2.179648,0,0.77:1.54,2.00,a,0.282,0,0,0
霧切(完凸),花海4,防御%、防御%、防御%,なし,11916.67,1236,20651.2,1.088,1.87186,0,0.66:1.32,2.00,a,0.61025,0,0,0
狼牙(3),劇団4(控え),防御%、防御%、防御%,なし,11874.18,1072,18006,0.288,2.119008,0,0.75:1.50,2.00,a,0.302,0,0,0
霧切(完凸),華館4,防御%、防御%、会心率,なし,11784.84,1236,18006,1.088,2.330896,0,0.82:1.63,2.00,a,0.45475,0,0,0
霧切(完凸),華館4,防御%、防御%、会心ダメージ,なし,11784.84,1236,18006,1.088,2.330896,0,0.82:1.63,2.00,a,0.76575,0,0,0
霧切(完凸),花海4,防御%、防御%、会心率,なし,11691.98,1236,20651.2,1.088,2.330896,0,0.82:1.63,2.00,a,0.45475,0,0,0
霧切(完凸),花海4,防御%、防御%、会心ダメージ,なし,11691.98,1236,20651.2,1.088,2.330896,0,0.82:1.63,2.00,a,0.76575,0,0,0
霧切(完凸),劇団4(表),防御%、防御%、防御%,なし,11686.44,1236,18006,1.088,1.87186,0,0.66:1.32,2.00,a,0.61025,0,0,0
静水流転の輝き,劇団4(控え),防御%、元素バフ、防御%,なし,11633.26,1104,21709.28,0.7539999,2.18734,0,0.77:1.54,2.00,a,0.7205,0,0,0
狼牙(3),劇団4(控え),防御%、防御%、会心率,なし,11623.68,1072,18006,0.288,2.632625,0,0.90:1.81,2.00,a,0.1465,0,0,0
狼牙(3),劇団4(控え),防御%、防御%、会心ダメージ,なし,11623.68,1072,18006,0.288,2.632624,0,0.90:1.81,2.00,a,0.4575,0,0,0
狼牙(4),劇団4(控え),防御%、元素バフ、防御%,なし,11596.65,1072,18006,0.7539999,2.149128,0,0.76:1.52,2.00,a,0.292,0,0,0
霧切(完凸),華館4,防御%、元素バフ、防御%,なし,11576.16,1236,18006,1.554,1.87186,0,0.66:1.32,2.00,a,0.61025,0,0,0
黎明の神剣,劇団4(控え),防御%、防御%、防御%,なし,11547.1,963,18006,0.288,2.303305,0,0.81:1.61,2.00,a,0.47725,0,0,0
霧切(完凸),華館4,防御%、防御%、防御%,なし,11502.98,1236,18006,1.088,1.87186,0,0.66:1.32,2.00,a,0.61025,0,0,0
狼牙(2),劇団4(控え),防御%、防御%、防御%,なし,11502.06,1072,18006,0.288,2.089288,0,0.74:1.48,2.00,a,0.312,0,0,0
