武器,聖遺物セット,聖遺物メイン,バフキャラ,スキル期待値,防御力,HP,バフ,加算,会心ダメ期待値,熟知,率ダメ,会心ダメ比率,聖遺物組み合わせ,サブステ,サブHP%,サブHP,スコア
シナバースピンドル(R5),劇団4(控え),元チャ+防御%+防御%,鍾離,15509,2501.856,18006,1.188,2001.485,1.605,0,0.55:1.10,2.00,,0.50:0.60,0,0,1.6
シナバースピンドル(R5),劇団4(控え),元チャ+防御%+会心ダメージ,鍾離,15346,1991.148,18006,1.188,1592.918,1.995461,0,0.71:1.41,2.00,,0.66:0.29,0,0,1.6
シナバースピンドル(R5),劇団4(控え),元チャ+防御%+会心率,鍾離,15346,1991.148,18006,1.188,1592.918,1.995461,0,0.71:1.41,2.00,,0.34:0.91,0,0,1.6
シナバースピンドル(R5),劇団4(控え),元チャ+岩バフ+防御%,鍾離,14972,1991.148,18006,1.654,1592.918,1.605,0,0.55:1.10,2.00,,0.50:0.60,0,0,1.6
シナバースピンドル(R5),華館4,元チャ+岩バフ+防御%,鍾離,14968,2464.188,18006,1.144,1971.35,1.605,0,0.55:1.10,2.00,,0.50:0.60,0,0,1.6
シナバースピンドル(R5),華館4,元チャ+岩バフ+会心ダメージ,鍾離,14753,1953.48,18006,1.144,1562.784,1.995461,0,0.71:1.41,2.00,,0.66:0.29,0,0,1.6
シナバースピンドル(R5),華館4,元チャ+岩バフ+会心率,鍾離,14753,1953.48,18006,1.144,1562.784,1.995461,0,0.71:1.41,2.00,,0.34:0.91,0,0,1.6
シナバースピンドル(R5),華館4,元チャ+防御%+会心ダメージ,鍾離,14565,2464.188,18006,0.678,1971.35,1.995461,0,0.71:1.41,2.00,,0.66:0.29,0,0,1.6
シナバースピンドル(R5),華館4,元チャ+防御%+会心率,鍾離,14565,2464.188,18006,0.678,1971.35,1.995461,0,0.71:1.41,2.00,,0.34:0.91,0,0,1.6
シナバースピンドル(R5),華館4,元チャ+防御%+防御%,鍾離,14143,2974.896,18006,0.678,2379.917,1.605,0,0.55:1.10,2.00,,0.50:0.60,0,0,1.6
シナバースピンドル(R5),劇団4(控え),元チャ+岩バフ+会心ダメージ,鍾離,13840,1480.44,18006,1.654,1184.352,1.995461,0,0.71:1.41,2.00,,0.66:0.29,0,0,1.6
シナバースピンドル(R5),劇団4(控え),元チャ+岩バフ+会心率,鍾離,13840,1480.44,18006,1.654,1184.352,1.995461,0,0.71:1.41,2.00,,0.34:0.91,0,0,1.6
シナバースピンドル(R5),華館+劇団,元チャ+岩バフ+防御%,鍾離,13755,2253.948,18006,1.154,1803.158,1.605,0,0.55:1.10,2.00,,0.50:0.60,0,0,1.6
狼牙(R5),劇団4(控え),元チャ+防御%+防御%,鍾離,13538,1897.416,18006,1.508,0,2.179648,0,0.77:1.54,2.00,,0.28:1.04,0,0,1.6
狼牙(R5),華館4,元チャ+防御%+防御%,鍾離,13474,2370.456,18006,0.998,0,2.179648,0,0.77:1.54,2.00,,0.28:1.04,0,0,1.6
シナバースピンドル(R5),華館+劇団,元チャ+防御%+会心ダメージ,鍾離,13401,2253.948,18006,0.688,1803.158,1.995461,0,0.71:1.41,2.00,,0.66:0.29,0,0,1.6
シナバースピンドル(R5),華館+劇団,元チャ+防御%+会心率,鍾離,13401,2253.948,18006,0.688,1803.158,1.995461,0,0.71:1.41,2.00,,0.34:0.91,0,0,1.6
シナバースピンドル(R5),華館+劇団,元チャ+岩バフ+会心ダメージ,鍾離,13226,1743.24,18006,1.154,1394.592,1.995461,0,0.71:1.41,2.00,,0.66:0.29,0,0,1.6
