武器,聖遺物セット,聖遺物メイン,バフキャラ,スキル期待値,攻撃力,HP,バフ,会心ダメ期待値,熟知,率ダメ,会心ダメ比率,聖遺物組み合わせ,サブステ,サブHP%,サブHP,スコア
シナバースピンドル(R5),劇団4(控え),防御%+防御%+会心ダメージ,鍾離,19282,1016,18006,0.438,1.995461,0,0.71:1.41,2.00,,0.66:0.29,0,0,1.6
シナバースピンドル(R5),劇団4(控え),防御%+防御%+会心率,鍾離,19282,1016,18006,0.438,1.995461,0,0.71:1.41,2.00,,0.34:0.91,0,0,1.6
シナバースピンドル(R5),劇団4(控え),防御%+岩バフ+防御%,鍾離,18812,1016,18006,0.438,1.605,0,0.55:1.10,2.00,,0.50:0.60,0,0,1.6
シナバースピンドル(R5),劇団4(控え),防御%+防御%+防御%,鍾離,18675,1016,18006,0.438,1.605,0,0.55:1.10,2.00,,0.50:0.60,0,0,1.6
シナバースピンドル(R5),劇団4(控え),防御%+岩バフ+会心ダメージ,鍾離,18614,1016,18006,0.438,1.995461,0,0.71:1.41,2.00,,0.66:0.29,0,0,1.6
シナバースピンドル(R5),劇団4(控え),防御%+岩バフ+会心率,鍾離,18614,1016,18006,0.438,1.995461,0,0.71:1.41,2.00,,0.34:0.91,0,0,1.6
シナバースピンドル(R5),華館4,防御%+岩バフ+会心ダメージ,鍾離,18610,1016,18006,0.438,1.995461,0,0.71:1.41,2.00,,0.66:0.29,0,0,1.6
シナバースピンドル(R5),華館4,防御%+岩バフ+会心率,鍾離,18610,1016,18006,0.438,1.995461,0,0.71:1.41,2.00,,0.34:0.91,0,0,1.6
シナバースピンドル(R5),華館4,防御%+岩バフ+防御%,鍾離,18070,1016,18006,0.438,1.605,0,0.55:1.10,2.00,,0.50:0.60,0,0,1.6
シナバースピンドル(R5),華館4,防御%+防御%+会心ダメージ,鍾離,17583,1016,18006,0.438,1.995461,0,0.71:1.41,2.00,,0.66:0.29,0,0,1.6
シナバースピンドル(R5),華館4,防御%+防御%+会心率,鍾離,17583,1016,18006,0.438,1.995461,0,0.71:1.41,2.00,,0.34:0.91,0,0,1.6
狼牙(R5),劇団4(控え),防御%+防御%+防御%,鍾離,17182,1072,18006,0.438,2.179648,0,0.77:1.54,2.00,,0.28:1.04,0,0,1.6
シナバースピンドル(R5),華館+劇団,防御%+岩バフ+会心ダメージ,鍾離,17101,1016,18006,0.438,1.995461,0,0.71:1.41,2.00,,0.66:0.29,0,0,1.6
シナバースピンドル(R5),華館+劇団,防御%+岩バフ+会心率,鍾離,17101,1016,18006,0.438,1.995461,0,0.71:1.41,2.00,,0.34:0.91,0,0,1.6
シナバースピンドル(R5),華館+劇団,防御%+岩バフ+防御%,鍾離,16872,1016,18006,0.438,1.605,0,0.55:1.10,2.00,,0.50:0.60,0,0,1.6
狼牙(R5),劇団4(控え),防御%+防御%+会心ダメージ,鍾離,16805,1072,18006,0.438,2.705704,0,0.92:1.85,2.00,,0.44:0.73,0,0,1.6
狼牙(R5),劇団4(控え),防御%+防御%+会心率,鍾離,16805,1072,18006,0.438,2.705705,0,0.92:1.85,2.00,,0.13:1.35,0,0,1.6
狼牙(R5),華館4,防御%+防御%+会心ダメージ,鍾離,16726,1072,18006,0.438,2.705704,0,0.92:1.85,2.00,,0.44:0.73,0,0,1.6
狼牙(R5),華館4,防御%+防御%+会心率,鍾離,16726,1072,18006,0.438,2.705705,0,0.92:1.85,2.00,,0.13:1.35,0,0,1.6
狼牙(R5),華館4,防御%+岩バフ+防御%,鍾離,16617,1072,18006,0.438,2.179648,0,0.77:1.54,2.00,,0.28:1.04,0,0,1.6
シナバースピンドル(R5),華館4,防御%+防御%+防御%,鍾離,16571,1016,18006,0.438,1.605,0,0.55:1.10,2.00,,0.50:0.60,0,0,1.6
シナバースピンドル(R5),華館+劇団,防御%+防御%+会心ダメージ,鍾離,16438,1016,18006,0.438,1.995461,0,0.71:1.41,2.00,,0.66:0.29,0,0,1.6
シナバースピンドル(R5),華館+劇団,防御%+防御%+会心率,鍾離,16438,1016,18006,0.438,1.995461,0,0.71:1.41,2.00,,0.34:0.91,0,0,1.6
狼牙(R5),華館4,防御%+防御%+防御%,鍾離,16377,1072,18006,0.438,2.179648,0,0.77:1.54,2.00,,0.28:1.04,0,0,1.6
狼牙(R5),華館4,防御%+岩バフ+会心ダメージ,鍾離,16183,1072,18006,0.438,2.705704,0,0.92:1.85,2.00,,0.44:0.73,0,0,1.6
狼牙(R5),華館4,防御%+岩バフ+会心率,鍾離,16183,1072,18006,0.438,2.705705,0,0.92:1.85,2.00,,0.13:1.35,0,0,1.6
狼牙(R5),劇団4(控え),防御%+岩バフ+防御%,鍾離,16054,1072,18006,0.438,2.179648,0,0.77:1.54,2.00,,0.28:1.04,0,0,1.6
エスピツァルの笛(R5、スキル発動時),劇団4(控え),防御%+防御%+会心ダメージ,鍾離,15855,1016,18006,0.438,1.995461,0,0.71:1.41,2.00,,0.66:0.29,0,0,1.6
エスピツァルの笛(R5、スキル発動時),劇団4(控え),防御%+防御%+会心率,鍾離,15855,1016,18006,0.438,1.995461,0,0.71:1.41,2.00,,0.34:0.91,0,0,1.6
黎明の神剣(R5),劇団4(控え),防御%+防御%+防御%,鍾離,15840,963,18006,0.438,2.303305,0,0.81:1.61,2.00,,0.48:0.65,0,0,1.6
エスピツァルの笛(R5、スキル発動時),劇団4(控え),防御%+岩バフ+会心ダメージ,鍾離,15701,1016,18006,0.438,1.995461,0,0.71:1.41,2.00,,0.66:0.29,0,0,1.6
エスピツァルの笛(R5、スキル発動時),劇団4(控え),防御%+岩バフ+会心率,鍾離,15701,1016,18006,0.438,1.995461,0,0.71:1.41,2.00,,0.34:0.91,0,0,1.6
シナバースピンドル(R5),華館+劇団,防御%+防御%+防御%,鍾離,15664,1016,18006,0.438,1.605,0,0.55:1.10,2.00,,0.50:0.60,0,0,1.6
シナバースピンドル(R5),劇団4(控え),防御%+元素熟知+防御%,鍾離,15509,1016,18006,0.438,1.605,187,0.55:1.10,2.00,,0.50:0.60,0,0,1.6
エスピツァルの笛(R5、スキル発動時),劇団4(控え),防御%+岩バフ+防御%,鍾離,15468,1016,18006,0.438,1.605,0,0.55:1.10,2.00,,0.50:0.60,0,0,1.6
黎明の神剣(R5),劇団4(控え),防御%+防御%+会心ダメージ,鍾離,15464,963,18006,0.438,2.853775,0,0.96:1.93,2.00,,0.63:0.33,0,0,1.6
黎明の神剣(R5),劇団4(控え),防御%+防御%+会心率,鍾離,15464,963,18006,0.438,2.853775,0,0.96:1.93,2.00,,0.32:0.96,0,0,1.6
シナバースピンドル(R5),劇団4(控え),防御%+元素熟知+会心ダメージ,鍾離,15346,1016,18006,0.438,1.995461,187,0.71:1.41,2.00,,0.66:0.29,0,0,1.6
シナバースピンドル(R5),劇団4(控え),防御%+元素熟知+会心率,鍾離,15346,1016,18006,0.438,1.995461,187,0.71:1.41,2.00,,0.34:0.91,0,0,1.6
エスピツァルの笛(R5、スキル発動時),華館4,防御%+岩バフ+会心ダメージ,鍾離,15325,1016,18006,0.438,1.995461,0,0.71:1.41,2.00,,0.66:0.29,0,0,1.6
エスピツァルの笛(R5、スキル発動時),華館4,防御%+岩バフ+会心率,鍾離,15325,1016,18006,0.438,1.995461,0,0.71:1.41,2.00,,0.34:0.91,0,0,1.6
狼牙(R5),華館+劇団,防御%+防御%+会心ダメージ,鍾離,15319,1072,18006,0.438,2.705704,0,0.92:1.85,2.00,,0.44:0.73,0,0,1.6
狼牙(R5),華館+劇団,防御%+防御%+会心率,鍾離,15319,1072,18006,0.438,2.705705,0,0.92:1.85,2.00,,0.13:1.35,0,0,1.6
黎明の神剣(R5),華館4,防御%+岩バフ+防御%,鍾離,15279,963,18006,0.438,2.303305,0,0.81:1.61,2.00,,0.48:0.65,0,0,1.6
狼牙(R5),華館+劇団,防御%+防御%+防御%,鍾離,15258,1072,18006,0.438,2.179648,0,0.77:1.54,2.00,,0.28:1.04,0,0,1.6
狼牙(R5),華館+劇団,防御%+岩バフ+防御%,鍾離,15204,1072,18006,0.438,2.179648,0,0.77:1.54,2.00,,0.28:1.04,0,0,1.6
黎明の神剣(R5),劇団4(控え),防御%+岩バフ+防御%,鍾離,15139,963,18006,0.438,2.303305,0,0.81:1.61,2.00,,0.48:0.65,0,0,1.6
エスピツァルの笛(R5、スキル発動時),劇団4(控え),防御%+防御%+防御%,鍾離,15093,1016,18006,0.438,1.605,0,0.55:1.10,2.00,,0.50:0.60,0,0,1.6
磐岩結緑,劇団4(控え),防御%+防御%+防御%,鍾離,15043,1104,20651.2,0.438,2.18734,0,0.77:1.54,2.00,,0.28:1.04,0,0,1.6
シナバースピンドル(R5),劇団4(控え),防御%+岩バフ+元素熟知,鍾離,14972,1016,18006,0.438,1.605,187,0.55:1.10,2.00,,0.50:0.60,0,0,1.6
シナバースピンドル(R5),華館4,防御%+岩バフ+元素熟知,鍾離,14968,1016,18006,0.438,1.605,187,0.55:1.10,2.00,,0.50:0.60,0,0,1.6
黎明の神剣(R5),華館4,防御%+岩バフ+会心ダメージ,鍾離,14852,963,18006,0.438,2.853775,0,0.96:1.93,2.00,,0.63:0.33,0,0,1.6
黎明の神剣(R5),華館4,防御%+岩バフ+会心率,鍾離,14852,963,18006,0.438,2.853775,0,0.96:1.93,2.00,,0.32:0.96,0,0,1.6
黎明の神剣(R5),華館4,防御%+防御%+会心ダメージ,鍾離,14816,963,18006,0.438,2.853775,0,0.96:1.93,2.00,,0.63:0.33,0,0,1.6
黎明の神剣(R5),華館4,防御%+防御%+会心率,鍾離,14816,963,18006,0.438,2.853775,0,0.96:1.93,2.00,,0.32:0.96,0,0,1.6
磐岩結緑,劇団4(控え),防御%+防御%+会心ダメージ,鍾離,14711,1104,20651.2,0.438,2.714952,0,0.93:1.85,2.00,,0.44:0.73,0,0,1.6
磐岩結緑,劇団4(控え),防御%+防御%+会心率,鍾離,14711,1104,20651.2,0.438,2.714952,0,0.93:1.85,2.00,,0.12:1.35,0,0,1.6
エスピツァルの笛(R5、スキル発動時),華館4,防御%+岩バフ+防御%,鍾離,14620,1016,18006,0.438,1.605,0,0.55:1.10,2.00,,0.50:0.60,0,0,1.6
シナバースピンドル(R5),華館4,防御%+元素熟知+会心ダメージ,鍾離,14565,1016,18006,0.438,1.995461,187,0.71:1.41,2.00,,0.66:0.29,0,0,1.6
