武器,聖遺物セット,聖遺物メイン,バフキャラ,合計期待値,攻撃力,HP,バフ,会心ダメ期待値,熟知,率ダメ,会心ダメ比率,聖遺物組み合わせ,サブステ,サブHP%,サブHP,スコア
赤角石塵滅砕,残響4,防御%、元素バフ、会心率,ゴロー+鍾離+ベネット(旧貴族),422145.6,4604.381,17638,1.316,3.488,0,1.00:2.49,2.49,a,0.447,0,0,0
赤角石塵滅砕,残響4,防御%、元素バフ、会心ダメージ,ゴロー+鍾離+ベネット(旧貴族),422145.6,4604.381,17638,1.316,3.488,0,1.00:2.49,2.49,a,0.758,0,0,0
赤角石塵滅砕,華館4,防御%、元素バフ、会心率,ゴロー+鍾離+ベネット(旧貴族),411870.8,4972.946,17638,1.056,3.488,0,1.00:2.49,2.49,a,0.447,0,0,0
赤角石塵滅砕,華館4,防御%、元素バフ、会心ダメージ,ゴロー+鍾離+ベネット(旧貴族),411870.8,4972.946,17638,1.056,3.488,0,1.00:2.49,2.49,a,0.758,0,0,0
赤角石塵滅砕,残響4,防御%、元素バフ、防御%,ゴロー+鍾離+ベネット(旧貴族),393906.4,5151.737,17638,1.316,2.868245,0,0.97:1.93,2.00,a,0.7245,0,0,0
赤角石塵滅砕,砂上4,防御%、元素バフ、会心率,ゴロー+鍾離+ベネット(旧貴族),393518.4,4465.961,17638,0.816,3.488,0,1.00:2.49,2.49,a,0.447,0,0,0
赤角石塵滅砕,砂上4,防御%、元素バフ、会心ダメージ,ゴロー+鍾離+ベネット(旧貴族),393518.4,4465.961,17638,0.816,3.488,0,1.00:2.49,2.49,a,0.758,0,0,0
赤角石塵滅砕,逆飛び4,防御%、元素バフ、会心率,ゴロー+鍾離+ベネット(旧貴族),393518.4,4465.961,17638,0.816,3.488,0,1.00:2.49,2.49,a,0.447,0,0,0
赤角石塵滅砕,逆飛び4,防御%、元素バフ、会心ダメージ,ゴロー+鍾離+ベネット(旧貴族),393518.4,4465.961,17638,0.816,3.488,0,1.00:2.49,2.49,a,0.758,0,0,0
赤角石塵滅砕,残響4,攻撃%、元素バフ、会心率,ゴロー+鍾離+ベネット(旧貴族),393410.7,4415.379,17638,1.316,3.488,0,1.00:2.49,2.49,a,0.447,0,0,0
