武器,聖遺物セット,聖遺物メイン,バフキャラ,合計期待値,攻撃力,HP,バフ,会心ダメ期待値,熟知,率ダメ,会心ダメ比率,聖遺物組み合わせ,サブステ,サブHP%,サブHP,スコア
赤角石塵滅砕,残響4,元チャ、元素バフ、会心率,ゴロー+鍾離+ベネット(旧貴族),365271.6,4057.025,17638,1.316,3.488,0,1.00:2.49,2.49,a,0.447,0,0,0
赤角石塵滅砕,残響4,元チャ、元素バフ、会心ダメージ,ゴロー+鍾離+ベネット(旧貴族),365271.6,4057.025,17638,1.316,3.488,0,1.00:2.49,2.49,a,0.758,0,0,0
赤角石塵滅砕,華館4,元チャ、元素バフ、会心率,ゴロー+鍾離+ベネット(旧貴族),361381.6,4425.59,17638,1.056,3.488,0,1.00:2.49,2.49,a,0.447,0,0,0
赤角石塵滅砕,華館4,元チャ、元素バフ、会心ダメージ,ゴロー+鍾離+ベネット(旧貴族),361381.6,4425.59,17638,1.056,3.488,0,1.00:2.49,2.49,a,0.758,0,0,0
赤角石塵滅砕,残響4,元チャ、元素バフ、防御%,ゴロー+鍾離+ベネット(旧貴族),347137.9,4604.381,17638,1.316,2.868245,0,0.97:1.93,2.00,a,0.7245,0,0,0
螭龍の剣(完凸),華館4,元チャ、元素バフ、会心率,ゴロー+鍾離+ベネット(旧貴族),340888.2,4124.309,17638,1.556,3.158,0,1.00:2.16,2.16,a,0.171,0,0,0
螭龍の剣(完凸),華館4,元チャ、元素バフ、会心ダメージ,ゴロー+鍾離+ベネット(旧貴族),340888.2,4124.309,17638,1.556,3.158,0,1.00:2.16,2.16,a,0.482,0,0,0
赤角石塵滅砕,砂上4,元チャ、元素バフ、会心率,ゴロー+鍾離+ベネット(旧貴族),339100.1,3918.605,17638,0.816,3.488,0,1.00:2.49,2.49,a,0.447,0,0,0
赤角石塵滅砕,砂上4,元チャ、元素バフ、会心ダメージ,ゴロー+鍾離+ベネット(旧貴族),339100.1,3918.605,17638,0.816,3.488,0,1.00:2.49,2.49,a,0.758,0,0,0
赤角石塵滅砕,逆飛び4,元チャ、元素バフ、会心率,ゴロー+鍾離+ベネット(旧貴族),339100.1,3918.605,17638,0.816,3.488,0,1.00:2.49,2.49,a,0.447,0,0,0
赤角石塵滅砕,逆飛び4,元チャ、元素バフ、会心ダメージ,ゴロー+鍾離+ベネット(旧貴族),339100.1,3918.605,17638,0.816,3.488,0,1.00:2.49,2.49,a,0.758,0,0,0
赤角石塵滅砕,華館4,元チャ、元素バフ、防御%,ゴロー+鍾離+ベネット(旧貴族),338688.8,4972.946,17638,1.056,2.868245,0,0.97:1.93,2.00,a,0.7245,0,0,0
螭龍の剣(完凸),残響4,元チャ、元素バフ、会心率,ゴロー+鍾離+ベネット(旧貴族),338572.2,3749.984,17638,1.816,3.158,0,1.00:2.16,2.16,a,0.171,0,0,0
螭龍の剣(完凸),残響4,元チャ、元素バフ、会心ダメージ,ゴロー+鍾離+ベネット(旧貴族),338572.2,3749.984,17638,1.816,3.158,0,1.00:2.16,2.16,a,0.482,0,0,0
赤角石塵滅砕,残響4,元チャ、防御%、会心率,ゴロー+鍾離+ベネット(旧貴族),337206.2,4604.381,17638,0.85,3.488,0,1.00:2.49,2.49,a,0.447,0,0,0
赤角石塵滅砕,残響4,元チャ、防御%、会心ダメージ,ゴロー+鍾離+ベネット(旧貴族),337206.2,4604.381,17638,0.85,3.488,0,1.00:2.49,2.49,a,0.758,0,0,0
