武器,聖遺物セット,聖遺物メイン,バフキャラ,合計期待値,一発目期待値,攻撃力,防御力,HP,共通バフ,通常バフ,熟知,率ダメ,聖遺物組み合わせ,サブステ,スコア
始まりの大魔術(同元素1),しめ縄4,攻撃%+攻撃%+会心率,フィッシュル(千岩)+フリーナ+ベネット(西風、旧貴族),140491.7,140491.7,3516.76,615,14577,0.35,0.5,0,0.97:1.93,,0.41:0.77,1.6
始まりの大魔術(同元素1),しめ縄4,攻撃%+攻撃%+会心ダメージ,フィッシュル(千岩)+フリーナ+ベネット(西風、旧貴族),140491.7,140491.7,3516.76,615,14577,0.35,0.5,0,0.97:1.93,,0.73:0.15,1.6
始まりの大魔術(同元素1),しめ縄4,攻撃%+攻撃%+会心率,フリーナ+ベネット(西風、旧貴族),140491.7,140491.7,3516.76,615,14577,0.35,0.5,0,0.97:1.93,,0.41:0.77,1.6
始まりの大魔術(同元素1),しめ縄4,攻撃%+攻撃%+会心ダメージ,フリーナ+ベネット(西風、旧貴族),140491.7,140491.7,3516.76,615,14577,0.35,0.5,0,0.97:1.93,,0.73:0.15,1.6
烈日の後嗣(5),黒曜の秘典4,攻撃%+攻撃%+会心ダメージ,フィッシュル(千岩)+フリーナ+ベネット(西風、旧貴族),140114.9,140114.9,3100.384,615,14577,0.5,0,0,1.00:2.19,,0.27:1.07,1.6
烈日の後嗣(5),黒曜の秘典4,攻撃%+攻撃%+会心ダメージ,フリーナ+ベネット(西風、旧貴族),140114.9,140114.9,3100.384,615,14577,0.5,0,0,1.00:2.19,,0.27:1.07,1.6
始まりの大魔術(同元素1),黒曜の秘典4,攻撃%+攻撃%+攻撃%,フィッシュル(千岩)+フリーナ+ベネット(西風、旧貴族),138482.3,138482.3,3789.89,615,14577,0.5,0,0,1.00:2.02,,0.37:0.86,1.6
始まりの大魔術(同元素1),黒曜の秘典4,攻撃%+攻撃%+攻撃%,フリーナ+ベネット(西風、旧貴族),138482.3,138482.3,3789.89,615,14577,0.5,0,0,1.00:2.02,,0.37:0.86,1.6
烈日の後嗣(5),ファントム4,攻撃%+攻撃%+会心ダメージ,フィッシュル(千岩)+フリーナ+ベネット(西風、旧貴族),138356.3,138356.3,3100.384,615,14577,0.35,0.15,0,1.00:2.15,,0.29:1.03,1.6
烈日の後嗣(5),ファントム4,攻撃%+攻撃%+会心ダメージ,フリーナ+ベネット(西風、旧貴族),138356.3,138356.3,3100.384,615,14577,0.35,0.15,0,1.00:2.15,,0.29:1.03,1.6
若水,しめ縄4,攻撃%+攻撃%+会心率,フィッシュル(千岩)+フリーナ+ベネット(西風、旧貴族),138107.1,138107.1,3211.368,615,16144.52,0.55,0.5,0,1.00:2.04,,0.47:0.66,1.6
若水,しめ縄4,攻撃%+攻撃%+会心ダメージ,フィッシュル(千岩)+フリーナ+ベネット(西風、旧貴族),138107.1,138107.1,3211.368,615,16144.52,0.55,0.5,0,1.00:2.04,,0.78:0.04,1.6
若水,しめ縄4,攻撃%+攻撃%+会心率,フリーナ+ベネット(西風、旧貴族),138107.1,138107.1,3211.368,615,16144.52,0.55,0.5,0,1.00:2.04,,0.47:0.66,1.6
若水,しめ縄4,攻撃%+攻撃%+会心ダメージ,フリーナ+ベネット(西風、旧貴族),138107.1,138107.1,3211.368,615,16144.52,0.55,0.5,0,1.00:2.04,,0.78:0.04,1.6
烈日の後嗣(5),黒曜の秘典4,攻撃%+攻撃%+攻撃%,フィッシュル(千岩)+フリーナ+ベネット(西風、旧貴族),137959.7,137959.7,3525.376,615,14577,0.5,0,0,0.94:1.88,,0.11:1.38,1.6
烈日の後嗣(5),黒曜の秘典4,攻撃%+攻撃%+攻撃%,フリーナ+ベネット(西風、旧貴族),137959.7,137959.7,3525.376,615,14577,0.5,0,0,0.94:1.88,,0.11:1.38,1.6
破魔の弓(5)2倍,黒曜の秘典4,攻撃%+攻撃%+会心率,フィッシュル(千岩)+フリーナ+ベネット(西風、旧貴族),136587.5,136587.5,3305.083,615,14577,0.5,0.64,0,1.00:2.00,,0.05:1.50,1.6
破魔の弓(5)2倍,黒曜の秘典4,攻撃%+攻撃%+会心ダメージ,フィッシュル(千岩)+フリーナ+ベネット(西風、旧貴族),136587.5,136587.5,3305.083,615,14577,0.5,0.64,0,1.00:2.00,,0.36:0.88,1.6
破魔の弓(5)2倍,黒曜の秘典4,攻撃%+攻撃%+会心率,フリーナ+ベネット(西風、旧貴族),136587.5,136587.5,3305.083,615,14577,0.5,0.64,0,1.00:2.00,,0.05:1.50,1.6
破魔の弓(5)2倍,黒曜の秘典4,攻撃%+攻撃%+会心ダメージ,フリーナ+ベネット(西風、旧貴族),136587.5,136587.5,3305.083,615,14577,0.5,0.64,0,1.00:2.00,,0.36:0.88,1.6
烈日の後嗣(5),ファントム4,攻撃%+攻撃%+会心率,フィッシュル(千岩)+フリーナ+ベネット(西風、旧貴族),136290,136290,3100.384,615,14577,0.35,0.15,0,1.00:2.10,,0.00:1.60,1.6
烈日の後嗣(5),黒曜の秘典4,攻撃%+攻撃%+会心率,フィッシュル(千岩)+フリーナ+ベネット(西風、旧貴族),136290,136290,3100.384,615,14577,0.5,0,0,1.00:2.10,,0.00:1.60,1.6
烈日の後嗣(5),ファントム4,攻撃%+攻撃%+会心率,フリーナ+ベネット(西風、旧貴族),136290,136290,3100.384,615,14577,0.35,0.15,0,1.00:2.10,,0.00:1.60,1.6
烈日の後嗣(5),黒曜の秘典4,攻撃%+攻撃%+会心率,フリーナ+ベネット(西風、旧貴族),136290,136290,3100.384,615,14577,0.5,0,0,1.00:2.10,,0.00:1.60,1.6
始まりの大魔術(同元素1),ファントム4,攻撃%+攻撃%+攻撃%,フィッシュル(千岩)+フリーナ+ベネット(西風、旧貴族),135877.8,135877.8,3789.89,615,14577,0.35,0.15,0,0.99:1.98,,0.39:0.82,1.6
始まりの大魔術(同元素1),ファントム4,攻撃%+攻撃%+攻撃%,フリーナ+ベネット(西風、旧貴族),135877.8,135877.8,3789.89,615,14577,0.35,0.15,0,0.99:1.98,,0.39:0.82,1.6
烈日の後嗣(5),しめ縄4,攻撃%+攻撃%+会心率,フィッシュル(千岩)+フリーナ+ベネット(西風、旧貴族),135731.5,135731.5,3264.544,615,14577,0.35,0.5,0,0.89:1.79,,0.16:1.29,1.6
烈日の後嗣(5),しめ縄4,攻撃%+攻撃%+会心ダメージ,フィッシュル(千岩)+フリーナ+ベネット(西風、旧貴族),135731.5,135731.5,3264.544,615,14577,0.35,0.5,0,0.89:1.79,,0.47:0.67,1.6
烈日の後嗣(5),しめ縄4,攻撃%+攻撃%+会心率,フリーナ+ベネット(西風、旧貴族),135731.5,135731.5,3264.544,615,14577,0.35,0.5,0,0.89:1.79,,0.16:1.29,1.6
烈日の後嗣(5),しめ縄4,攻撃%+攻撃%+会心ダメージ,フリーナ+ベネット(西風、旧貴族),135731.5,135731.5,3264.544,615,14577,0.35,0.5,0,0.89:1.79,,0.47:0.67,1.6
始まりの大魔術(同元素1),黒曜の秘典4,攻撃%+攻撃%+会心率,フィッシュル(千岩)+フリーナ+ベネット(西風、旧貴族),134794.8,134794.8,3344.86,615,14577,0.5,0,0,1.00:2.33,,0.21:1.17,1.6
始まりの大魔術(同元素1),黒曜の秘典4,攻撃%+攻撃%+会心ダメージ,フィッシュル(千岩)+フリーナ+ベネット(西風、旧貴族),134794.8,134794.8,3344.86,615,14577,0.5,0,0,1.00:2.33,,0.53:0.55,1.6
始まりの大魔術(同元素1),黒曜の秘典4,攻撃%+攻撃%+会心率,フリーナ+ベネット(西風、旧貴族),134794.8,134794.8,3344.86,615,14577,0.5,0,0,1.00:2.33,,0.21:1.17,1.6
始まりの大魔術(同元素1),黒曜の秘典4,攻撃%+攻撃%+会心ダメージ,フリーナ+ベネット(西風、旧貴族),134794.8,134794.8,3344.86,615,14577,0.5,0,0,1.00:2.33,,0.53:0.55,1.6
黒岩の戦弓(5)フル,黒曜の秘典4,攻撃%+攻撃%+会心率,フィッシュル(千岩)+フリーナ+ベネット(西風、旧貴族),134704.5,134704.5,3757.024,615,14577,0.5,0,0,1.00:2.19,,0.14:1.32,1.6
黒岩の戦弓(5)フル,黒曜の秘典4,攻撃%+攻撃%+会心ダメージ,フィッシュル(千岩)+フリーナ+ベネット(西風、旧貴族),134704.5,134704.5,3757.024,615,14577,0.5,0,0,1.00:2.19,,0.45:0.70,1.6
黒岩の戦弓(5)フル,黒曜の秘典4,攻撃%+攻撃%+会心率,フリーナ+ベネット(西風、旧貴族),134704.5,134704.5,3757.024,615,14577,0.5,0,0,1.00:2.19,,0.14:1.32,1.6
黒岩の戦弓(5)フル,黒曜の秘典4,攻撃%+攻撃%+会心ダメージ,フリーナ+ベネット(西風、旧貴族),134704.5,134704.5,3757.024,615,14577,0.5,0,0,1.00:2.19,,0.45:0.70,1.6
烈日の後嗣(5),ファントム4,攻撃%+攻撃%+攻撃%,フィッシュル(千岩)+フリーナ+ベネット(西風、旧貴族),134248.4,134248.4,3525.376,615,14577,0.35,0.15,0,0.92:1.84,,0.13:1.34,1.6
烈日の後嗣(5),ファントム4,攻撃%+攻撃%+攻撃%,フリーナ+ベネット(西風、旧貴族),134248.4,134248.4,3525.376,615,14577,0.35,0.15,0,0.92:1.84,,0.13:1.34,1.6
狩人の道,しめ縄4,攻撃%+攻撃%+会心率,フィッシュル(千岩)+フリーナ+ベネット(西風、旧貴族),134015,134015,3211.368,615,14577,0.47,0.5,0,1.00:2.04,,0.03:1.54,1.6
狩人の道,しめ縄4,攻撃%+攻撃%+会心ダメージ,フィッシュル(千岩)+フリーナ+ベネット(西風、旧貴族),134015,134015,3211.368,615,14577,0.47,0.5,0,1.00:2.04,,0.34:0.92,1.6
狩人の道,しめ縄4,攻撃%+攻撃%+会心率,フリーナ+ベネット(西風、旧貴族),134015,134015,3211.368,615,14577,0.47,0.5,0,1.00:2.04,,0.03:1.54,1.6
狩人の道,しめ縄4,攻撃%+攻撃%+会心ダメージ,フリーナ+ベネット(西風、旧貴族),134015,134015,3211.368,615,14577,0.47,0.5,0,1.00:2.04,,0.34:0.92,1.6
若水,黒曜の秘典4,攻撃%+攻撃%+攻撃%,フィッシュル(千岩)+フリーナ+ベネット(西風、旧貴族),133514,133514,3465.622,615,16144.52,0.7,0,0,1.00:2.13,,0.42:0.75,1.6
若水,黒曜の秘典4,攻撃%+攻撃%+攻撃%,フリーナ+ベネット(西風、旧貴族),133514,133514,3465.622,615,16144.52,0.7,0,0,1.00:2.13,,0.42:0.75,1.6
黒岩の戦弓(5)フル,しめ縄4,攻撃%+攻撃%+会心率,フィッシュル(千岩)+フリーナ+ベネット(西風、旧貴族),133196.8,133196.8,3921.184,615,14577,0.35,0.5,0,0.89:1.79,,0.34:0.92,1.6
