武器,聖遺物セット,聖遺物メイン,バフキャラ,合計期待値,一発目期待値,攻撃力,防御力,HP,共通バフ,通常バフ,熟知,率ダメ,聖遺物組み合わせ,サブステ,スコア
星鷲の紅き羽(拡散あり、異元素2),黒曜の秘典4,攻撃%+元素バフ+攻撃%,フィッシュル(千岩)+フリーナ+ベネット(西風、旧貴族),43198.56,43198.56,3421.26,615,14577,0.966,0,0,1.00:2.02,,0.37:0.86,1.6
星鷲の紅き羽(拡散あり、異元素2),黒曜の秘典4,攻撃%+元素バフ+攻撃%,フリーナ+ベネット(西風、旧貴族),43198.56,43198.56,3421.26,615,14577,0.966,0,0,1.00:2.02,,0.37:0.86,1.6
星鷲の紅き羽(拡散あり、異元素2),ファントム4,攻撃%+元素バフ+攻撃%,フィッシュル(千岩)+フリーナ+ベネット(西風、旧貴族),42386.1,42386.1,3421.26,615,14577,0.816,0.15,0,0.99:1.98,,0.39:0.82,1.6
星鷲の紅き羽(拡散あり、異元素2),ファントム4,攻撃%+元素バフ+攻撃%,フリーナ+ベネット(西風、旧貴族),42386.1,42386.1,3421.26,615,14577,0.816,0.15,0,0.99:1.98,,0.39:0.82,1.6
星鷲の紅き羽(拡散あり、異元素2),しめ縄4,攻撃%+元素バフ+会心率,フィッシュル(千岩)+フリーナ+ベネット(西風、旧貴族),42006.92,42006.92,3148.13,615,14577,0.816,0.5,0,0.97:1.93,,0.41:0.77,1.6
星鷲の紅き羽(拡散あり、異元素2),しめ縄4,攻撃%+元素バフ+会心ダメージ,フィッシュル(千岩)+フリーナ+ベネット(西風、旧貴族),42006.92,42006.92,3148.13,615,14577,0.816,0.5,0,0.97:1.93,,0.73:0.15,1.6
星鷲の紅き羽(拡散あり、異元素2),しめ縄4,攻撃%+元素バフ+会心率,フリーナ+ベネット(西風、旧貴族),42006.92,42006.92,3148.13,615,14577,0.816,0.5,0,0.97:1.93,,0.41:0.77,1.6
星鷲の紅き羽(拡散あり、異元素2),しめ縄4,攻撃%+元素バフ+会心ダメージ,フリーナ+ベネット(西風、旧貴族),42006.92,42006.92,3148.13,615,14577,0.816,0.5,0,0.97:1.93,,0.73:0.15,1.6
星鷲の紅き羽(拡散あり、異元素2),黒曜の秘典4,攻撃%+攻撃%+攻撃%,フィッシュル(千岩)+フリーナ+ベネット(西風、旧貴族),41469.85,41469.85,3866.29,615,14577,0.5,0,0,1.00:2.02,,0.37:0.86,1.6
星鷲の紅き羽(拡散あり、異元素2),黒曜の秘典4,攻撃%+攻撃%+攻撃%,フリーナ+ベネット(西風、旧貴族),41469.85,41469.85,3866.29,615,14577,0.5,0,0,1.00:2.02,,0.37:0.86,1.6
星鷲の紅き羽(拡散あり、異元素2),しめ縄4,攻撃%+攻撃%+会心率,フィッシュル(千岩)+フリーナ+ベネット(西風、旧貴族),41461.57,41461.57,3593.16,615,14577,0.35,0.5,0,0.97:1.93,,0.41:0.77,1.6
星鷲の紅き羽(拡散あり、異元素2),しめ縄4,攻撃%+攻撃%+会心ダメージ,フィッシュル(千岩)+フリーナ+ベネット(西風、旧貴族),41461.57,41461.57,3593.16,615,14577,0.35,0.5,0,0.97:1.93,,0.73:0.15,1.6
星鷲の紅き羽(拡散あり、異元素2),しめ縄4,攻撃%+攻撃%+会心率,フリーナ+ベネット(西風、旧貴族),41461.57,41461.57,3593.16,615,14577,0.35,0.5,0,0.97:1.93,,0.41:0.77,1.6
星鷲の紅き羽(拡散あり、異元素2),しめ縄4,攻撃%+攻撃%+会心ダメージ,フリーナ+ベネット(西風、旧貴族),41461.57,41461.57,3593.16,615,14577,0.35,0.5,0,0.97:1.93,,0.73:0.15,1.6
星鷲の紅き羽(拡散あり、異元素2),黒曜の秘典4,攻撃%+元素バフ+会心率,フィッシュル(千岩)+フリーナ+ベネット(西風、旧貴族),41445.48,41445.48,2976.23,615,14577,0.966,0,0,1.00:2.33,,0.21:1.17,1.6
星鷲の紅き羽(拡散あり、異元素2),黒曜の秘典4,攻撃%+元素バフ+会心ダメージ,フィッシュル(千岩)+フリーナ+ベネット(西風、旧貴族),41445.48,41445.48,2976.23,615,14577,0.966,0,0,1.00:2.33,,0.53:0.55,1.6
星鷲の紅き羽(拡散あり、異元素2),黒曜の秘典4,攻撃%+元素バフ+会心率,フリーナ+ベネット(西風、旧貴族),41445.48,41445.48,2976.23,615,14577,0.966,0,0,1.00:2.33,,0.21:1.17,1.6
星鷲の紅き羽(拡散あり、異元素2),黒曜の秘典4,攻撃%+元素バフ+会心ダメージ,フリーナ+ベネット(西風、旧貴族),41445.48,41445.48,2976.23,615,14577,0.966,0,0,1.00:2.33,,0.53:0.55,1.6
星鷲の紅き羽(拡散あり、異元素2),ファントム4,攻撃%+元素バフ+会心率,フィッシュル(千岩)+フリーナ+ベネット(西風、旧貴族),40948.23,40948.23,2976.23,615,14577,0.816,0.15,0,1.00:2.29,,0.23:1.13,1.6
星鷲の紅き羽(拡散あり、異元素2),ファントム4,攻撃%+元素バフ+会心ダメージ,フィッシュル(千岩)+フリーナ+ベネット(西風、旧貴族),40948.23,40948.23,2976.23,615,14577,0.816,0.15,0,1.00:2.29,,0.55:0.51,1.6
星鷲の紅き羽(拡散あり、異元素2),ファントム4,攻撃%+元素バフ+会心率,フリーナ+ベネット(西風、旧貴族),40948.23,40948.23,2976.23,615,14577,0.816,0.15,0,1.00:2.29,,0.23:1.13,1.6
星鷲の紅き羽(拡散あり、異元素2),ファントム4,攻撃%+元素バフ+会心ダメージ,フリーナ+ベネット(西風、旧貴族),40948.23,40948.23,2976.23,615,14577,0.816,0.15,0,1.00:2.29,,0.55:0.51,1.6
星鷲の紅き羽(拡散あり、異元素2),ファントム4,攻撃%+攻撃%+攻撃%,フィッシュル(千岩)+フリーナ+ベネット(西風、旧貴族),40689.9,40689.9,3866.29,615,14577,0.35,0.15,0,0.99:1.98,,0.39:0.82,1.6
星鷲の紅き羽(拡散あり、異元素2),ファントム4,攻撃%+攻撃%+攻撃%,フリーナ+ベネット(西風、旧貴族),40689.9,40689.9,3866.29,615,14577,0.35,0.15,0,0.99:1.98,,0.39:0.82,1.6
星鷲の紅き羽(拡散あり、異元素2),黒曜の秘典4,攻撃%+攻撃%+会心率,フィッシュル(千岩)+フリーナ+ベネット(西風、旧貴族),40471.71,40471.71,3421.26,615,14577,0.5,0,0,1.00:2.33,,0.21:1.17,1.6
星鷲の紅き羽(拡散あり、異元素2),黒曜の秘典4,攻撃%+攻撃%+会心ダメージ,フィッシュル(千岩)+フリーナ+ベネット(西風、旧貴族),40471.71,40471.71,3421.26,615,14577,0.5,0,0,1.00:2.33,,0.53:0.55,1.6
星鷲の紅き羽(拡散あり、異元素2),黒曜の秘典4,攻撃%+攻撃%+会心率,フリーナ+ベネット(西風、旧貴族),40471.71,40471.71,3421.26,615,14577,0.5,0,0,1.00:2.33,,0.21:1.17,1.6
星鷲の紅き羽(拡散あり、異元素2),黒曜の秘典4,攻撃%+攻撃%+会心ダメージ,フリーナ+ベネット(西風、旧貴族),40471.71,40471.71,3421.26,615,14577,0.5,0,0,1.00:2.33,,0.53:0.55,1.6
星鷲の紅き羽(拡散あり、異元素2),砂上4,攻撃%+元素バフ+会心率,フィッシュル(千岩)+フリーナ+ベネット(西風、旧貴族),40289.4,40289.4,2976.23,615,14577,0.966,0.4,0,0.97:1.93,,0.41:0.77,1.6
星鷲の紅き羽(拡散あり、異元素2),砂上4,攻撃%+元素バフ+会心ダメージ,フィッシュル(千岩)+フリーナ+ベネット(西風、旧貴族),40289.4,40289.4,2976.23,615,14577,0.966,0.4,0,0.97:1.93,,0.73:0.15,1.6
