武器,聖遺物セット,聖遺物メイン,バフキャラ,合計期待値,一発目期待値,攻撃力,防御力,HP,共通バフ,通常バフ,熟知,率ダメ,聖遺物組み合わせ,サブステ,スコア
烈日の後嗣(5),しめ縄4,攻撃%+攻撃%+会心率,ベネット(西風、旧貴族)+申鶴(長押し),149122.1,149122.1,3264.544,615,14577,0,0.65,0,0.97:1.94,,0.08:1.44,1.6
烈日の後嗣(5),しめ縄4,攻撃%+攻撃%+会心ダメージ,ベネット(西風、旧貴族)+申鶴(長押し),149122.1,149122.1,3264.544,615,14577,0,0.65,0,0.97:1.94,,0.39:0.82,1.6
烈日の後嗣(5),しめ縄4,攻撃%+攻撃%+会心率,ベネット(西風、旧貴族)+申鶴(長押し)+水キャラ,149122.1,149122.1,3264.544,615,14577,0,0.65,0,0.97:1.94,,0.08:1.44,1.6
烈日の後嗣(5),しめ縄4,攻撃%+攻撃%+会心ダメージ,ベネット(西風、旧貴族)+申鶴(長押し)+水キャラ,149122.1,149122.1,3264.544,615,14577,0,0.65,0,0.97:1.94,,0.39:0.82,1.6
烈日の後嗣(5),黒曜の秘典4,攻撃%+攻撃%+攻撃%,ベネット(西風、旧貴族)+申鶴(長押し),148065.7,148065.7,3525.376,615,14577,0.15,0.15,0,1.00:2.03,,0.04:1.53,1.6
烈日の後嗣(5),黒曜の秘典4,攻撃%+攻撃%+攻撃%,ベネット(西風、旧貴族)+申鶴(長押し)+水キャラ,148065.7,148065.7,3525.376,615,14577,0.15,0.15,0,1.00:2.03,,0.04:1.53,1.6
始まりの大魔術(同元素1),しめ縄4,攻撃%+攻撃%+会心率,ベネット(西風、旧貴族)+申鶴(長押し),147555.6,147555.6,3516.76,615,14577,0,0.65,0,1.00:2.08,,0.34:0.92,1.6
始まりの大魔術(同元素1),しめ縄4,攻撃%+攻撃%+会心ダメージ,ベネット(西風、旧貴族)+申鶴(長押し),147555.6,147555.6,3516.76,615,14577,0,0.65,0,1.00:2.08,,0.65:0.30,1.6
始まりの大魔術(同元素1),しめ縄4,攻撃%+攻撃%+会心率,ベネット(西風、旧貴族)+申鶴(長押し)+水キャラ,147555.6,147555.6,3516.76,615,14577,0,0.65,0,1.00:2.08,,0.34:0.92,1.6
始まりの大魔術(同元素1),しめ縄4,攻撃%+攻撃%+会心ダメージ,ベネット(西風、旧貴族)+申鶴(長押し)+水キャラ,147555.6,147555.6,3516.76,615,14577,0,0.65,0,1.00:2.08,,0.65:0.30,1.6
烈日の後嗣(5),黒曜の秘典4,攻撃%+攻撃%+会心ダメージ,ベネット(西風、旧貴族)+申鶴(長押し),144656.9,144656.9,3100.384,615,14577,0.15,0.15,0,1.00:2.34,,0.19:1.22,1.6
烈日の後嗣(5),黒曜の秘典4,攻撃%+攻撃%+会心ダメージ,ベネット(西風、旧貴族)+申鶴(長押し)+水キャラ,144656.9,144656.9,3100.384,615,14577,0.15,0.15,0,1.00:2.34,,0.19:1.22,1.6
黒岩の戦弓(5)フル,しめ縄4,攻撃%+攻撃%+会心率,ベネット(西風、旧貴族)+申鶴(長押し),142651.3,142651.3,3921.184,615,14577,0,0.65,0,0.97:1.94,,0.27:1.07,1.6
黒岩の戦弓(5)フル,しめ縄4,攻撃%+攻撃%+会心ダメージ,ベネット(西風、旧貴族)+申鶴(長押し),142651.3,142651.3,3921.184,615,14577,0,0.65,0,0.97:1.94,,0.58:0.45,1.6
黒岩の戦弓(5)フル,しめ縄4,攻撃%+攻撃%+会心率,ベネット(西風、旧貴族)+申鶴(長押し)+水キャラ,142651.3,142651.3,3921.184,615,14577,0,0.65,0,0.97:1.94,,0.27:1.07,1.6
黒岩の戦弓(5)フル,しめ縄4,攻撃%+攻撃%+会心ダメージ,ベネット(西風、旧貴族)+申鶴(長押し)+水キャラ,142651.3,142651.3,3921.184,615,14577,0,0.65,0,0.97:1.94,,0.58:0.45,1.6
若水,しめ縄4,攻撃%+攻撃%+会心率,ベネット(西風、旧貴族)+申鶴(長押し),142543.5,142543.5,3211.368,615,16144.52,0.2,0.65,0,1.00:2.19,,0.39:0.81,1.6
若水,しめ縄4,攻撃%+攻撃%+会心ダメージ,ベネット(西風、旧貴族)+申鶴(長押し),142543.5,142543.5,3211.368,615,16144.52,0.2,0.65,0,1.00:2.19,,0.71:0.19,1.6
若水,しめ縄4,攻撃%+攻撃%+会心率,ベネット(西風、旧貴族)+申鶴(長押し)+水キャラ,142543.5,142543.5,3211.368,615,16144.52,0.2,0.65,0,1.00:2.19,,0.39:0.81,1.6
若水,しめ縄4,攻撃%+攻撃%+会心ダメージ,ベネット(西風、旧貴族)+申鶴(長押し)+水キャラ,142543.5,142543.5,3211.368,615,16144.52,0.2,0.65,0,1.00:2.19,,0.71:0.19,1.6
破魔の弓(5)2倍,黒曜の秘典4,攻撃%+攻撃%+会心ダメージ,ベネット(西風、旧貴族)+申鶴(長押し),140530.8,140530.8,3305.083,615,14577,0.15,0.79,0,1.00:2.15,,0.28:1.03,1.6
破魔の弓(5)2倍,黒曜の秘典4,攻撃%+攻撃%+会心ダメージ,ベネット(西風、旧貴族)+申鶴(長押し)+水キャラ,140530.8,140530.8,3305.083,615,14577,0.15,0.79,0,1.00:2.15,,0.28:1.03,1.6
始まりの大魔術(同元素1),黒曜の秘典4,攻撃%+攻撃%+攻撃%,ベネット(西風、旧貴族)+申鶴(長押し),139782.7,139782.7,3789.89,615,14577,0.15,0.15,0,1.00:2.17,,0.29:1.01,1.6
