武器,聖遺物セット,聖遺物メイン,バフキャラ,通常期待値,スキル期待値,攻撃力,HP,バフ,会心ダメ期待値,熟知,率ダメ,会心ダメ比率,聖遺物組み合わせ,サブステ,サブHP%,サブHP,スコア
有楽御簾切(効果二倍),ファントムハンター,防御%、元素バフ、防御%,ゴロー+鍾離,184543.5,43185,1176,16218,0.816,3.586,0,1.00:2.59,2.59,a,0.398,0,0,0
有楽御簾切(効果二倍),華館4,防御%、元素バフ、会心率,ゴロー+鍾離,184272.6,45741.11,1176,16218,1.056,3.488,0,1.00:2.49,2.49,a,0.447,0,0,0
有楽御簾切(効果二倍),華館4,防御%、元素バフ、会心ダメージ,ゴロー+鍾離,184272.6,45741.11,1176,16218,1.056,3.488,0,1.00:2.49,2.49,a,0.758,0,0,0
有楽御簾切(効果二倍),ファントムハンター,防御%、元素バフ、会心率,ゴロー+鍾離,180443.7,40983.7,1176,16218,0.816,4.208,0,1.00:3.21,3.21,a,0.08700001,0,0,0
有楽御簾切(効果二倍),ファントムハンター,防御%、元素バフ、会心ダメージ,ゴロー+鍾離,180443.7,40983.7,1176,16218,0.816,4.208,0,1.00:3.21,3.21,a,0.398,0,0,0
有楽御簾切(効果二倍),華館4,防御%、元素バフ、防御%,ゴロー+鍾離,177112.4,44910.4,1176,16218,1.056,2.868245,0,0.97:1.93,2.00,a,0.7245,0,0,0
有楽御簾切(効果二倍),しめ縄4,防御%、元素バフ、会心率,ゴロー+鍾離,175980.7,33971.27,1331.7,16218,0.816,3.488,0,1.00:2.49,2.49,a,0.447,0,0,0
有楽御簾切(効果二倍),しめ縄4,防御%、元素バフ、会心ダメージ,ゴロー+鍾離,175980.7,33971.27,1331.7,16218,0.816,3.488,0,1.00:2.49,2.49,a,0.758,0,0,0
有楽御簾切(効果二倍),しめ縄4,防御%、防御%、会心率,ゴロー+鍾離,173282.4,33479.45,1331.7,16218,0.35,3.488,0,1.00:2.49,2.49,a,0.447,0,0,0
有楽御簾切(効果二倍),しめ縄4,防御%、防御%、会心ダメージ,ゴロー+鍾離,173282.4,33479.45,1331.7,16218,0.35,3.488,0,1.00:2.49,2.49,a,0.758,0,0,0
