武器,聖遺物セット,聖遺物メイン,バフキャラ,通常期待値,スキル期待値,攻撃力,HP,バフ,会心ダメ期待値,熟知,率ダメ,会心ダメ比率,聖遺物組み合わせ,サブステ,サブHP%,サブHP,スコア
有楽御簾切(効果二倍),華館4,防御%、元素バフ、会心率,ゴロー+鍾離,184272.6,45741.11,1176,16218,1.056,3.488,0,1.00:2.49,2.49,a,0.447,0,0,0
有楽御簾切(効果二倍),華館4,防御%、元素バフ、会心ダメージ,ゴロー+鍾離,184272.6,45741.11,1176,16218,1.056,3.488,0,1.00:2.49,2.49,a,0.758,0,0,0
有楽御簾切(効果二倍),華館4,防御%、元素バフ、防御%,ゴロー+鍾離,177112.4,44910.4,1176,16218,1.056,2.868245,0,0.97:1.93,2.00,a,0.7245,0,0,0
有楽御簾切(効果二倍),しめ縄4,防御%、元素バフ、会心率,ゴロー+鍾離,175980.7,33971.27,1331.7,16218,0.816,3.488,0,1.00:2.49,2.49,a,0.447,0,0,0
有楽御簾切(効果二倍),しめ縄4,防御%、元素バフ、会心ダメージ,ゴロー+鍾離,175980.7,33971.27,1331.7,16218,0.816,3.488,0,1.00:2.49,2.49,a,0.758,0,0,0
有楽御簾切(効果二倍),しめ縄4,防御%、防御%、会心率,ゴロー+鍾離,173282.4,33479.45,1331.7,16218,0.35,3.488,0,1.00:2.49,2.49,a,0.447,0,0,0
有楽御簾切(効果二倍),しめ縄4,防御%、防御%、会心ダメージ,ゴロー+鍾離,173282.4,33479.45,1331.7,16218,0.35,3.488,0,1.00:2.49,2.49,a,0.758,0,0,0
有楽御簾切(効果二倍),華館4,防御%、防御%、会心率,ゴロー+鍾離,173139.5,44578.79,1176,16218,0.59,3.488,0,1.00:2.49,2.49,a,0.447,0,0,0
有楽御簾切(効果二倍),華館4,防御%、防御%、会心ダメージ,ゴロー+鍾離,173139.5,44578.79,1176,16218,0.59,3.488,0,1.00:2.49,2.49,a,0.758,0,0,0
有楽御簾切(効果二倍),しめ縄4,防御%、元素バフ、防御%,ゴロー+鍾離,173093.2,34541.32,1331.7,16218,0.816,2.868245,0,0.97:1.93,2.00,a,0.7245,0,0,0
有楽御簾切,華館4,防御%、元素バフ、会心率,ゴロー+鍾離,171863.6,41412.3,1176,16218,1.056,3.488,0,1.00:2.49,2.49,a,0.447,0,0,0
有楽御簾切,華館4,防御%、元素バフ、会心ダメージ,ゴロー+鍾離,171863.6,41412.3,1176,16218,1.056,3.488,0,1.00:2.49,2.49,a,0.758,0,0,0
有楽御簾切(効果二倍),砂上4,防御%、元素バフ、会心率,ゴロー+鍾離,165926.3,33971.27,1176,16218,0.816,3.488,0,1.00:2.49,2.49,a,0.447,0,0,0
有楽御簾切(効果二倍),砂上4,防御%、元素バフ、会心ダメージ,ゴロー+鍾離,165926.3,33971.27,1176,16218,0.816,3.488,0,1.00:2.49,2.49,a,0.758,0,0,0
有楽御簾切(効果二倍),しめ縄4,防御%、防御%、防御%,ゴロー+鍾離,165857,32796.09,1331.7,16218,0.35,2.868245,0,0.97:1.93,2.00,a,0.7245,0,0,0
有楽御簾切,しめ縄4,防御%、元素バフ、会心率,ゴロー+鍾離,165299,30420.27,1331.7,16218,0.816,3.488,0,1.00:2.49,2.49,a,0.447,0,0,0
有楽御簾切,しめ縄4,防御%、元素バフ、会心ダメージ,ゴロー+鍾離,165299,30420.27,1331.7,16218,0.816,3.488,0,1.00:2.49,2.49,a,0.758,0,0,0
有楽御簾切,華館4,防御%、元素バフ、防御%,ゴロー+鍾離,165185.6,40660.2,1176,16218,1.056,2.868245,0,0.97:1.93,2.00,a,0.7245,0,0,0
有楽御簾切(効果二倍),砂上4,防御%、元素バフ、防御%,ゴロー+鍾離,163748.6,34541.32,1176,16218,0.816,2.868245,0,0.97:1.93,2.00,a,0.7245,0,0,0
有楽御簾切(効果二倍),華館4,防御%、防御%、防御%,ゴロー+鍾離,162940.1,42613.8,1176,16218,0.59,2.868245,0,0.97:1.93,2.00,a,0.7245,0,0,0
有楽御簾切,しめ縄4,防御%、元素バフ、防御%,ゴロー+鍾離,162586.8,30930.73,1331.7,16218,0.816,2.868245,0,0.97:1.93,2.00,a,0.7245,0,0,0
有楽御簾切(効果二倍),砂上4,防御%、防御%、会心率,ゴロー+鍾離,162539.5,33479.45,1176,16218,0.35,3.488,0,1.00:2.49,2.49,a,0.447,0,0,0
有楽御簾切(効果二倍),砂上4,防御%、防御%、会心ダメージ,ゴロー+鍾離,162539.5,33479.45,1176,16218,0.35,3.488,0,1.00:2.49,2.49,a,0.758,0,0,0
有楽御簾切(効果二倍),華館4,攻撃%、元素バフ、会心率,ゴロー+鍾離,161357.6,36867.82,1579.09,16218,1.056,3.488,0,1.00:2.49,2.49,a,0.447,0,0,0
有楽御簾切(効果二倍),華館4,攻撃%、元素バフ、会心ダメージ,ゴロー+鍾離,161357.6,36867.82,1579.09,16218,1.056,3.488,0,1.00:2.49,2.49,a,0.758,0,0,0
有楽御簾切,しめ縄4,防御%、防御%、会心率,ゴロー+鍾離,160505.8,29088.71,1331.7,16218,0.35,3.488,0,1.00:2.49,2.49,a,0.447,0,0,0
有楽御簾切,しめ縄4,防御%、防御%、会心ダメージ,ゴロー+鍾離,160505.8,29088.71,1331.7,16218,0.35,3.488,0,1.00:2.49,2.49,a,0.758,0,0,0
有楽御簾切(効果二倍),沈淪4,防御%、元素バフ、会心率,ゴロー+鍾離,159383.5,33971.27,1176,16218,0.816,3.488,0,1.00:2.49,2.49,a,0.447,0,0,0
有楽御簾切(効果二倍),沈淪4,防御%、元素バフ、会心ダメージ,ゴロー+鍾離,159383.5,33971.27,1176,16218,0.816,3.488,0,1.00:2.49,2.49,a,0.758,0,0,0
有楽御簾切,華館4,防御%、防御%、会心率,ゴロー+鍾離,158635.6,39410.23,1176,16218,0.59,3.488,0,1.00:2.49,2.49,a,0.447,0,0,0
有楽御簾切,華館4,防御%、防御%、会心ダメージ,ゴロー+鍾離,158635.6,39410.23,1176,16218,0.59,3.488,0,1.00:2.49,2.49,a,0.758,0,0,0
有楽御簾切(効果二倍),華館4,攻撃%、元素バフ、防御%,ゴロー+鍾離,158269,37613.73,1579.09,16218,1.056,2.868245,0,0.97:1.93,2.00,a,0.7245,0,0,0
有楽御簾切(効果二倍),華館4,防御%、元素バフ、攻撃%,ゴロー+鍾離,158269,37613.73,1579.09,16218,1.056,2.868245,0,0.97:1.93,2.00,a,0.7245,0,0,0
有楽御簾切(効果二倍),沈淪4,防御%、元素バフ、防御%,ゴロー+鍾離,157291.6,34541.32,1176,16218,0.816,2.868245,0,0.97:1.93,2.00,a,0.7245,0,0,0
有楽御簾切(効果二倍),砂上4,防御%、防御%、防御%,ゴロー+鍾離,155946.3,32796.09,1176,16218,0.35,2.868245,0,0.97:1.93,2.00,a,0.7245,0,0,0
有楽御簾切,砂上4,防御%、元素バフ、会心率,ゴロー+鍾離,155457.8,30420.27,1176,16218,0.816,3.488,0,1.00:2.49,2.49,a,0.447,0,0,0
有楽御簾切,砂上4,防御%、元素バフ、会心ダメージ,ゴロー+鍾離,155457.8,30420.27,1176,16218,0.816,3.488,0,1.00:2.49,2.49,a,0.758,0,0,0
有楽御簾切(効果二倍),華館4,攻撃%、防御%、会心率,ゴロー+鍾離,154718.8,37336,1579.09,16218,0.59,3.488,0,1.00:2.49,2.49,a,0.447,0,0,0
有楽御簾切(効果二倍),華館4,攻撃%、防御%、会心ダメージ,ゴロー+鍾離,154718.8,37336,1579.09,16218,0.59,3.488,0,1.00:2.49,2.49,a,0.758,0,0,0
有楽御簾切(効果二倍),華館4,防御%、攻撃%、会心率,ゴロー+鍾離,154718.8,37336,1579.09,16218,0.59,3.488,0,1.00:2.49,2.49,a,0.447,0,0,0
有楽御簾切(効果二倍),華館4,防御%、攻撃%、会心ダメージ,ゴロー+鍾離,154718.8,37336,1579.09,16218,0.59,3.488,0,1.00:2.49,2.49,a,0.758,0,0,0
有楽御簾切(効果二倍),沈淪4,防御%、防御%、会心率,ゴロー+鍾離,154687.4,33479.45,1176,16218,0.35,3.488,0,1.00:2.49,2.49,a,0.447,0,0,0
有楽御簾切(効果二倍),沈淪4,防御%、防御%、会心ダメージ,ゴロー+鍾離,154687.4,33479.45,1176,16218,0.35,3.488,0,1.00:2.49,2.49,a,0.758,0,0,0
黎明の神剣,華館4,防御%、元素バフ、会心率,ゴロー+鍾離,153966,36074.48,1035,16218,1.056,3.635,0,1.00:2.64,2.64,a,0.167,0,0,0
黎明の神剣,華館4,防御%、元素バフ、会心ダメージ,ゴロー+鍾離,153966,36074.48,1035,16218,1.056,3.635,0,1.00:2.64,2.64,a,0.478,0,0,0
萃光の裁葉,華館4,防御%、元素バフ、会心率,ゴロー+鍾離,153665.3,35409.57,1176,16218,1.056,3.568,0,1.00:2.57,2.57,a,0.407,0,0,0
萃光の裁葉,華館4,防御%、元素バフ、会心ダメージ,ゴロー+鍾離,153665.3,35409.57,1176,16218,1.056,3.568,0,1.00:2.57,2.57,a,0.718,0,0,0
有楽御簾切,しめ縄4,防御%、防御%、防御%,ゴロー+鍾離,153627.9,28494.96,1331.7,16218,0.35,2.868245,0,0.97:1.93,2.00,a,0.7245,0,0,0
有楽御簾切,砂上4,防御%、元素バフ、防御%,ゴロー+鍾離,153417.5,30930.73,1176,16218,0.816,2.868245,0,0.97:1.93,2.00,a,0.7245,0,0,0
有楽御簾切(効果二倍),華館4,HP%、元素バフ、会心率,ゴロー+鍾離,153163.3,36867.82,1176,21548.11,1.056,3.488,0,1.00:2.49,2.49,a,0.447,0,0,0
有楽御簾切(効果二倍),華館4,HP%、元素バフ、会心ダメージ,ゴロー+鍾離,153163.3,36867.82,1176,21548.11,1.056,3.488,0,1.00:2.49,2.49,a,0.758,0,0,0
有楽御簾切(効果二倍),華館4,元素熟知、元素バフ、会心率,ゴロー+鍾離,153163.3,36867.82,1176,16218,1.056,3.488,187,1.00:2.49,2.49,a,0.447,0,0,0
有楽御簾切(効果二倍),華館4,元素熟知、元素バフ、会心ダメージ,ゴロー+鍾離,153163.3,36867.82,1176,16218,1.056,3.488,187,1.00:2.49,2.49,a,0.758,0,0,0
有楽御簾切(効果二倍),華館4,元チャ、元素バフ、会心率,ゴロー+鍾離,153163.3,36867.82,1176,16218,1.056,3.488,0,1.00:2.49,2.49,a,0.447,0,0,0
有楽御簾切(効果二倍),華館4,元チャ、元素バフ、会心ダメージ,ゴロー+鍾離,153163.3,36867.82,1176,16218,1.056,3.488,0,1.00:2.49,2.49,a,0.758,0,0,0
有楽御簾切(効果二倍),しめ縄4,攻撃%、防御%、会心率,ゴロー+鍾離,152354.2,27076.41,1734.79,16218,0.35,3.488,0,1.00:2.49,2.49,a,0.447,0,0,0
有楽御簾切(効果二倍),しめ縄4,攻撃%、防御%、会心ダメージ,ゴロー+鍾離,152354.2,27076.41,1734.79,16218,0.35,3.488,0,1.00:2.49,2.49,a,0.758,0,0,0
有楽御簾切(効果二倍),しめ縄4,防御%、攻撃%、会心率,ゴロー+鍾離,152354.2,27076.41,1734.79,16218,0.35,3.488,0,1.00:2.49,2.49,a,0.447,0,0,0
有楽御簾切(効果二倍),しめ縄4,防御%、攻撃%、会心ダメージ,ゴロー+鍾離,152354.2,27076.41,1734.79,16218,0.35,3.488,0,1.00:2.49,2.49,a,0.758,0,0,0
有楽御簾切(効果二倍),しめ縄4,攻撃%、元素バフ、防御%,ゴロー+鍾離,152187.8,27935.19,1734.79,16218,0.816,2.868245,0,0.97:1.93,2.00,a,0.7245,0,0,0
有楽御簾切(効果二倍),しめ縄4,防御%、元素バフ、攻撃%,ゴロー+鍾離,152187.8,27935.19,1734.79,16218,0.816,2.868245,0,0.97:1.93,2.00,a,0.7245,0,0,0
有楽御簾切(効果二倍),華館4,防御%、元素バフ、HP%,ゴロー+鍾離,151530.6,37613.73,1176,21548.11,1.056,2.868245,0,0.97:1.93,2.00,a,0.7245,0,0,0
有楽御簾切(効果二倍),華館4,防御%、元素バフ、元素熟知,ゴロー+鍾離,151530.6,37613.73,1176,16218,1.056,2.868245,187,0.97:1.93,2.00,a,0.7245,0,0,0
有楽御簾切(効果二倍),華館4,防御%、元素バフ、治癒効果,ゴロー+鍾離,151530.6,37613.73,1176,16218,1.056,2.868245,0,0.97:1.93,2.00,a,0.7245,0,0,0
有楽御簾切(効果二倍),華館4,HP%、元素バフ、防御%,ゴロー+鍾離,151530.6,37613.73,1176,21548.11,1.056,2.868245,0,0.97:1.93,2.00,a,0.7245,0,0,0
有楽御簾切(効果二倍),華館4,元素熟知、元素バフ、防御%,ゴロー+鍾離,151530.6,37613.73,1176,16218,1.056,2.868245,187,0.97:1.93,2.00,a,0.7245,0,0,0
有楽御簾切(効果二倍),華館4,元チャ、元素バフ、防御%,ゴロー+鍾離,151530.6,37613.73,1176,16218,1.056,2.868245,0,0.97:1.93,2.00,a,0.7245,0,0,0
霧切(通常無し),華館4,防御%、元素バフ、会心率,ゴロー+鍾離,151403.1,34357.21,1308,16218,1.336,3.047,0,1.00:2.05,2.05,a,0.447,0,0,0
霧切(通常無し),華館4,防御%、元素バフ、会心ダメージ,ゴロー+鍾離,151403.1,34357.21,1308,16218,1.336,3.047,0,1.00:2.05,2.05,a,0.758,0,0,0
黎明の神剣,華館4,防御%、元素バフ、防御%,ゴロー+鍾離,150873.8,36115.77,1035,16218,1.056,3.013,0,1.00:2.01,2.01,a,0.478,0,0,0
有楽御簾切(効果二倍),しめ縄4,攻撃%、元素バフ、会心率,ゴロー+鍾離,150558.2,25937.73,1734.79,16218,0.816,3.488,0,1.00:2.49,2.49,a,0.447,0,0,0
有楽御簾切(効果二倍),しめ縄4,攻撃%、元素バフ、会心ダメージ,ゴロー+鍾離,150558.2,25937.73,1734.79,16218,0.816,3.488,0,1.00:2.49,2.49,a,0.758,0,0,0
有楽御簾切,華館4,攻撃%、元素バフ、会心率,ゴロー+鍾離,150491.8,33378.75,1579.09,16218,1.056,3.488,0,1.00:2.49,2.49,a,0.447,0,0,0
有楽御簾切,華館4,攻撃%、元素バフ、会心ダメージ,ゴロー+鍾離,150491.8,33378.75,1579.09,16218,1.056,3.488,0,1.00:2.49,2.49,a,0.758,0,0,0
磐岩結緑,華館4,防御%、元素バフ、会心率,ゴロー+鍾離,150219.9,34615.63,1176,18505.6,1.056,3.488,0,1.00:2.49,2.49,a,0.005999982,0,0,0
