武器,聖遺物セット,聖遺物メイン,バフキャラ,通常期待値,スキル期待値,攻撃力,HP,バフ,会心ダメ期待値,熟知,率ダメ,会心ダメ比率,聖遺物組み合わせ,サブステ,サブHP%,サブHP,スコア
有楽御簾切(効果二倍),劇団4(控え),防御%、防御%、会心率,ゴロー+鍾離,28379.94,47200.54,1176,16218,0.35,3.488,0,1.00:2.49,2.49,a,0.447,0,0,0
有楽御簾切(効果二倍),劇団4(控え),防御%、防御%、会心ダメージ,ゴロー+鍾離,28379.94,47200.54,1176,16218,0.35,3.488,0,1.00:2.49,2.49,a,0.758,0,0,0
有楽御簾切(効果二倍),劇団4(控え),防御%、防御%、防御%,ゴロー+鍾離,26933.41,46237.11,1176,16218,0.35,2.868245,0,0.97:1.93,2.00,a,0.7245,0,0,0
有楽御簾切(効果二倍),劇団4(控え),防御%、元素バフ、防御%,ゴロー+鍾離,29849.42,45824.41,1176,16218,0.816,2.868245,0,0.97:1.93,2.00,a,0.7245,0,0,0
有楽御簾切(効果二倍),華館4,防御%、元素バフ、会心率,ゴロー+鍾離,39918.78,45741.11,1176,16218,1.056,3.488,0,1.00:2.49,2.49,a,0.447,0,0,0
有楽御簾切(効果二倍),華館4,防御%、元素バフ、会心ダメージ,ゴロー+鍾離,39918.78,45741.11,1176,16218,1.056,3.488,0,1.00:2.49,2.49,a,0.758,0,0,0
有楽御簾切(効果二倍),劇団4(控え),防御%、元素バフ、会心率,ゴロー+鍾離,30705.74,45068.16,1176,16218,0.816,3.488,0,1.00:2.49,2.49,a,0.447,0,0,0
有楽御簾切(効果二倍),劇団4(控え),防御%、元素バフ、会心ダメージ,ゴロー+鍾離,30705.74,45068.16,1176,16218,0.816,3.488,0,1.00:2.49,2.49,a,0.758,0,0,0
有楽御簾切(効果二倍),華館4,防御%、元素バフ、防御%,ゴロー+鍾離,37942.27,44910.4,1176,16218,1.056,2.868245,0,0.97:1.93,2.00,a,0.7245,0,0,0
有楽御簾切(効果二倍),華館4,防御%、防御%、会心率,ゴロー+鍾離,37091.17,44578.79,1176,16218,0.59,3.488,0,1.00:2.49,2.49,a,0.447,0,0,0
有楽御簾切(効果二倍),華館4,防御%、防御%、会心ダメージ,ゴロー+鍾離,37091.17,44578.79,1176,16218,0.59,3.488,0,1.00:2.49,2.49,a,0.758,0,0,0
シナバースピンドル(完凸),劇団4(控え),防御%、元素バフ、会心率,ゴロー+鍾離,22320.27,42984.73,1088,16218,0.816,2.625404,0,0.90:1.80,2.00,a,0.3485,0,0,0
シナバースピンドル(完凸),劇団4(控え),防御%、元素バフ、会心ダメージ,ゴロー+鍾離,22320.27,42984.73,1088,16218,0.816,2.625404,0,0.90:1.80,2.00,a,0.6595,0,0,0
有楽御簾切,劇団4(控え),防御%、防御%、会心率,ゴロー+鍾離,25660.9,42809.79,1176,16218,0.35,3.488,0,1.00:2.49,2.49,a,0.447,0,0,0
有楽御簾切,劇団4(控え),防御%、防御%、会心ダメージ,ゴロー+鍾離,25660.9,42809.79,1176,16218,0.35,3.488,0,1.00:2.49,2.49,a,0.758,0,0,0
有楽御簾切(効果二倍),花海4,防御%、防御%、会心率,ゴロー+鍾離,28379.94,42626.85,1176,18505.6,0.35,3.488,0,1.00:2.49,2.49,a,0.447,0,0,0
有楽御簾切(効果二倍),花海4,防御%、防御%、会心ダメージ,ゴロー+鍾離,28379.94,42626.85,1176,18505.6,0.35,3.488,0,1.00:2.49,2.49,a,0.758,0,0,0
有楽御簾切(効果二倍),華館4,防御%、防御%、防御%,ゴロー+鍾離,34613.62,42613.8,1176,16218,0.59,2.868245,0,0.97:1.93,2.00,a,0.7245,0,0,0
有楽御簾切,劇団4(控え),防御%、元素バフ、防御%,ゴロー+鍾離,27613.51,42213.82,1176,16218,0.816,2.868245,0,0.97:1.93,2.00,a,0.7245,0,0,0
シナバースピンドル(完凸),劇団4(控え),防御%、防御%、会心率,ゴロー+鍾離,19253.6,42118.16,1088,16218,0.35,2.625404,0,0.90:1.80,2.00,a,0.3485,0,0,0
シナバースピンドル(完凸),劇団4(控え),防御%、防御%、会心ダメージ,ゴロー+鍾離,19253.6,42118.16,1088,16218,0.35,2.625404,0,0.90:1.80,2.00,a,0.6595,0,0,0
有楽御簾切(効果二倍),花海4,防御%、元素バフ、防御%,ゴロー+鍾離,29849.42,42063.38,1176,18505.6,0.816,2.868245,0,0.97:1.93,2.00,a,0.7245,0,0,0
有楽御簾切,劇団4(控え),防御%、防御%、防御%,ゴロー+鍾離,24352.97,41935.99,1176,16218,0.35,2.868245,0,0.97:1.93,2.00,a,0.7245,0,0,0
有楽御簾切(効果二倍),花海4,防御%、防御%、防御%,ゴロー+鍾離,26933.41,41756.77,1176,18505.6,0.35,2.868245,0,0.97:1.93,2.00,a,0.7245,0,0,0
