武器,聖遺物セット,聖遺物メイン,バフキャラ,通常期待値,スキル期待値,攻撃力,防御力,バフ,会心ダメ期待値,率ダメ,会心ダメ比率,聖遺物組み合わせ,サブステ,サブHP%,サブHP,スコア
有楽御簾切(効果二倍),華館4,防御%+岩バフ+会心ダメージ,ゴロー(6凸、岩3)+フリーナ(フル)+雲菫,299731,38602,1176,2890.069,2.226,3.404,1.00:2.40,2.40,,0.80:0.00,0,0,1.6
霧切(完凸),ファントム4,防御%+岩バフ+防御%,ゴロー(6凸、岩3)+フリーナ(フル)+雲菫,296278,35299,1308,2740.448,2.616,3.0725,1.00:2.07,2.07,,0.43:0.73,0,0,1.6
霧切(完凸),華館4,防御%+岩バフ+会心ダメージ,ゴロー(6凸、岩3)+フリーナ(フル)+雲菫,295978,36848,1308,2699.469,2.706,3.0235,1.00:2.02,2.02,,0.77:0.06,0,0,1.6
霧切(完凸),華館4,防御%+岩バフ+会心率,ゴロー(6凸、岩3)+フリーナ(フル)+雲菫,295978,36848,1308,2699.469,2.706,3.0235,1.00:2.02,2.02,,0.46:0.68,0,0,1.6
霧切(完凸),華館4,防御%+防御%+会心ダメージ,ゴロー(6凸、岩3)+フリーナ(フル)+雲菫,292336,36761,1308,3255.068,2.24,3.0235,1.00:2.02,2.02,,0.77:0.06,0,0,1.6
霧切(完凸),華館4,防御%+防御%+会心率,ゴロー(6凸、岩3)+フリーナ(フル)+雲菫,292336,36761,1308,3255.068,2.24,3.0235,1.00:2.02,2.02,,0.46:0.68,0,0,1.6
霧切(完凸),ファントム4,防御%+防御%+防御%,ゴロー(6凸、岩3)+フリーナ(フル)+雲菫,291268,34783,1308,3296.047,2.15,3.0725,1.00:2.07,2.07,,0.43:0.73,0,0,1.6
有楽御簾切(効果二倍),しめ縄4,防御%+岩バフ+会心ダメージ,ゴロー(6凸、岩3)+フリーナ(フル)+雲菫,290356,32112,1331.7,2375.449,2.486,3.404,1.00:2.40,2.40,,0.80:0.00,0,0,1.6
有楽御簾切(効果二倍),残響4,防御%+岩バフ+会心ダメージ,ゴロー(6凸、岩3)+フリーナ(フル)+雲菫,290356,37471,1331.7,2375.449,2.486,3.404,1.00:2.40,2.40,,0.80:0.00,0,0,1.6
有楽御簾切(効果二倍),華館4,防御%+防御%+会心ダメージ,ゴロー(6凸、岩3)+フリーナ(フル)+雲菫,288635,37829,1176,3445.668,1.76,3.404,1.00:2.40,2.40,,0.80:0.00,0,0,1.6
有楽御簾切(効果二倍),しめ縄4,防御%+防御%+会心ダメージ,ゴロー(6凸、岩3)+フリーナ(フル)+雲菫,286776,31488,1331.7,2931.048,2.02,3.404,1.00:2.40,2.40,,0.80:0.00,0,0,1.6
有楽御簾切(効果二倍),残響4,防御%+防御%+会心ダメージ,ゴロー(6凸、岩3)+フリーナ(フル)+雲菫,286776,37711,1331.7,2931.048,2.02,3.404,1.00:2.40,2.40,,0.80:0.00,0,0,1.6
霧切(完凸),しめ縄4,防御%+防御%+会心ダメージ,ゴロー(6凸、岩3)+フリーナ(フル)+雲菫,286454,30991,1487.46,2740.448,2.5,3.0235,1.00:2.02,2.02,,0.77:0.06,0,0,1.6
霧切(完凸),しめ縄4,防御%+防御%+会心率,ゴロー(6凸、岩3)+フリーナ(フル)+雲菫,286454,30991,1487.46,2740.448,2.5,3.0235,1.00:2.02,2.02,,0.46:0.68,0,0,1.6
霧切(完凸),残響4,防御%+防御%+会心ダメージ,ゴロー(6凸、岩3)+フリーナ(フル)+雲菫,286454,36429,1487.46,2740.448,2.5,3.0235,1.00:2.02,2.02,,0.77:0.06,0,0,1.6
霧切(完凸),残響4,防御%+防御%+会心率,ゴロー(6凸、岩3)+フリーナ(フル)+雲菫,286454,36429,1487.46,2740.448,2.5,3.0235,1.00:2.02,2.02,,0.46:0.68,0,0,1.6
有楽御簾切(効果二倍),華館4,防御%+岩バフ+会心率,ゴロー(6凸、岩3)+フリーナ(フル)+雲菫,285643,36787,1176,2890.069,2.226,3.244,1.00:2.24,2.24,,0.57:0.46,0,0,1.6
有楽御簾切(効果二倍),ファントム4,防御%+岩バフ+防御%,ゴロー(6凸、岩3)+フリーナ(フル)+雲菫,284479,34942,1176,2931.048,2.136,3.293,1.00:2.29,2.29,,0.54:0.51,0,0,1.6
霧切(完凸),ファントム4,防御%+岩バフ+会心ダメージ,ゴロー(6凸、岩3)+フリーナ(フル)+雲菫,284336,33178,1308,2184.849,2.616,3.3835,1.00:2.38,2.38,,0.59:0.42,0,0,1.6
霧切(完凸),ファントム4,防御%+岩バフ+会心率,ゴロー(6凸、岩3)+フリーナ(フル)+雲菫,284336,33178,1308,2184.849,2.616,3.3835,1.00:2.38,2.38,,0.28:1.04,0,0,1.6
有楽御簾切(効果二倍),華館4,防御%+岩バフ+防御%,ゴロー(6凸、岩3)+フリーナ(フル)+雲菫,284270,37237,1176,3445.668,2.226,2.868245,0.97:1.93,2.00,,0.72:0.15,0,0,1.6
霧切(完凸),ファントム4,防御%+防御%+会心ダメージ,ゴロー(6凸、岩3)+フリーナ(フル)+雲菫,284221,33410,1308,2740.448,2.15,3.3835,1.00:2.38,2.38,,0.59:0.42,0,0,1.6
霧切(完凸),ファントム4,防御%+防御%+会心率,ゴロー(6凸、岩3)+フリーナ(フル)+雲菫,284221,33410,1308,2740.448,2.15,3.3835,1.00:2.38,2.38,,0.28:1.04,0,0,1.6
霧切(完凸),しめ縄4,防御%+岩バフ+会心ダメージ,ゴロー(6凸、岩3)+フリーナ(フル)+雲菫,283496,30971,1487.46,2184.849,2.966,3.0235,1.00:2.02,2.02,,0.77:0.06,0,0,1.6
霧切(完凸),しめ縄4,防御%+岩バフ+会心率,ゴロー(6凸、岩3)+フリーナ(フル)+雲菫,283496,30971,1487.46,2184.849,2.966,3.0235,1.00:2.02,2.02,,0.46:0.68,0,0,1.6
霧切(完凸),残響4,防御%+岩バフ+会心ダメージ,ゴロー(6凸、岩3)+フリーナ(フル)+雲菫,283496,35640,1487.46,2184.849,2.966,3.0235,1.00:2.02,2.02,,0.77:0.06,0,0,1.6
霧切(完凸),残響4,防御%+岩バフ+会心率,ゴロー(6凸、岩3)+フリーナ(フル)+雲菫,283496,35640,1487.46,2184.849,2.966,3.0235,1.00:2.02,2.02,,0.46:0.68,0,0,1.6
