武器,聖遺物セット,聖遺物メイン,バフキャラ,合計期待値,攻撃力,HP,バフ,熟知,率ダメ
葦海の標,金メッキ4(同元素0),元チャ+元素バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,120388.3,3239.9,19853.08,1.216,230,0.92:1.84
葦海の標,金メッキ4(同元素0),元チャ+元素バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,120388.3,3239.9,19853.08,1.216,230,0.92:1.84
葦海の標,ファントム4,元チャ+元素バフ+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,118691,3239.9,19853.08,1.216,187,0.95:1.89
赤角石塵滅砕,金メッキ4(同元素0),元チャ+元素バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,117102.4,2751.16,16199,1.216,230,0.98:1.95
赤角石塵滅砕,金メッキ4(同元素0),元チャ+元素バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,117102.4,2751.16,16199,1.216,230,0.98:1.95
雨裁,ファントム4,元チャ+元素熟知+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,117068.6,2690.68,16199,1.11,352,0.94:1.87
雨裁,ファントム4,元チャ+元素熟知+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,117068.6,2690.68,16199,1.11,352,0.94:1.87
葦海の標,ファントム4,元チャ+元素熟知+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,116966.5,3239.9,19853.08,0.75,187,1.00:2.40
葦海の標,ファントム4,元チャ+元素熟知+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,116966.5,3239.9,19853.08,0.75,187,1.00:2.40
葦海の標,金メッキ4(同元素1),元チャ+元素バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,116742,3367.3,19853.08,1.216,180,0.92:1.84
葦海の標,金メッキ4(同元素1),元チャ+元素バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,116742,3367.3,19853.08,1.216,180,0.92:1.84
雨裁,ファントム4,元チャ+元素バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,116736.8,2690.68,16199,1.576,165,0.94:1.87
雨裁,ファントム4,元チャ+元素バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,116736.8,2690.68,16199,1.576,165,0.94:1.87
赤角石塵滅砕,ファントム4,元チャ+元素バフ+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,115386.5,2751.16,16199,1.216,187,1.00:2.00
葦海の標,火魔女4(1),元チャ+元素熟知+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,115025.3,3239.9,19853.08,0.975,187,0.92:1.84
葦海の標,火魔女4(1),元チャ+元素熟知+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,115025.3,3239.9,19853.08,0.975,187,0.92:1.84
葦海の標,ファントム4,元チャ+元素熟知+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,114440.9,3239.9,19853.08,0.75,374,0.95:1.89
葦海の標,金メッキ4(同元素0),元チャ+元素熟知+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,114308.1,3239.9,19853.08,0.75,417,0.92:1.84
葦海の標,金メッキ4(同元素0),元チャ+元素熟知+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,114308.1,3239.9,19853.08,0.75,417,0.92:1.84
葦海の標,金メッキ4(同元素0),元チャ+元素バフ+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,114076.9,3239.9,19853.08,1.216,417,0.77:1.53
赤角石塵滅砕,金メッキ4(同元素1),元チャ+元素バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,113632.2,2869.32,16199,1.216,180,0.98:1.95
赤角石塵滅砕,金メッキ4(同元素1),元チャ+元素バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,113632.2,2869.32,16199,1.216,180,0.98:1.95
雨裁,ファントム4,元チャ+元素バフ+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,113394.2,2690.68,16199,1.576,352,0.78:1.56
雨裁,金メッキ4(同元素0),元チャ+元素バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,113284,2690.68,16199,1.576,395,0.76:1.51
雨裁,金メッキ4(同元素0),元チャ+元素バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲,113284,2690.68,16199,1.576,395,0.76:1.51
