武器,聖遺物セット,聖遺物メイン,バフキャラ,合計期待値,攻撃力,熟知,率ダメ,サブステ,スコア
雨裁,ファントム4,元素熟知+元素バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),141897.5,2690.68,352,0.87:1.73,0.08:1.23,1.4
雨裁,ファントム4,元素熟知+元素バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),141897.5,2690.68,352,0.87:1.73,0.40:0.61,1.4
葦海の標(1),ファントム4,元素熟知+元素バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),139912.7,3057.9,187,1.00:2.06,0.23:0.94,1.4
赤角石塵滅砕,ファントム4,元素熟知+元素バフ+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),139348.1,2751.16,374,0.93:1.86,0.46:0.48,1.4
赤角石塵滅砕,金メッキ4(同元素0),元素熟知+元素バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),139166.6,2751.16,417,0.91:1.81,0.49:0.43,1.4
葦海の標(1),ファントム4,元素熟知+元素バフ+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),138265.3,3057.9,374,0.88:1.75,0.07:1.25,1.4
赤角石塵滅砕,金メッキ4(同元素0),元素熟知+元素バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),138195.5,2751.16,417,0.81:2.00,0.70:0.00,1.4
葦海の標(1),金メッキ4(同元素0),元素熟知+元素バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),138020.1,3057.9,417,0.85:1.70,0.10:1.20,1.4
葦海の標(1),金メッキ4(同元素0),元素熟知+元素バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),138020.1,3057.9,417,0.85:1.70,0.41:0.58,1.4
赤角石塵滅砕,金メッキ4(同元素1),元素熟知+元素バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),137635.8,2869.32,367,0.91:1.81,0.49:0.43,1.4
赤角石塵滅砕,火魔女4(1),元素熟知+元素バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),137245.5,2751.16,187,0.91:1.81,0.49:0.43,1.4
赤角石塵滅砕,金メッキ4(同元素1),元素熟知+元素バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),136675.5,2869.32,367,0.81:2.00,0.70:0.00,1.4
裁断,ファントム4,元素熟知+元素バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),136653.7,3195.84,187,0.98:1.95,0.29:0.83,1.4
葦海の標(1),金メッキ4(同元素1),元素熟知+元素バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),136529.3,3185.3,367,0.85:1.70,0.10:1.20,1.4
葦海の標(1),金メッキ4(同元素1),元素熟知+元素バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),136529.3,3185.3,367,0.85:1.70,0.41:0.58,1.4
裁断,ファントム4,元素熟知+元素バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),136411.3,3195.84,187,1.00:1.90,0.00:1.40,1.4
赤角石塵滅砕,火魔女4(1),元素熟知+元素バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),136287.8,2751.16,187,0.81:2.00,0.70:0.00,1.4
葦海の標(1),火魔女4(1),元素熟知+元素バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),136114.8,3057.9,187,0.85:1.70,0.10:1.20,1.4
葦海の標(1),火魔女4(1),元素熟知+元素バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),136114.8,3057.9,187,0.85:1.70,0.41:0.58,1.4
赤角石塵滅砕,金メッキ4(同元素2),元素熟知+元素バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),135511.4,2987.48,317,0.91:1.81,0.49:0.43,1.4
赤角石塵滅砕,ファントム4,元素熟知+元素バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),135450.8,2751.16,187,1.00:2.17,0.31:0.79,1.4
赤角石塵滅砕,ファントム4,元素熟知+元素バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),135450.8,2751.16,187,1.00:2.17,0.62:0.17,1.4
黒岩完凸(平均),ファントム4,元素熟知+元素バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),135180.8,2983,187,1.00:2.01,0.22:0.96,1.4
黒岩完凸(平均),ファントム4,元素熟知+元素バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),135180.8,2983,187,1.00:2.01,0.53:0.33,1.4
葦海の標(1),ファントム4,元素熟知+元素熟知+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),134902.7,3057.9,374,1.00:2.06,0.23:0.94,1.4
赤角石塵滅砕,金メッキ4(同元素2),元素熟知+元素バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),134565.9,2987.48,317,0.81:2.00,0.70:0.00,1.4
葦海の標(1),金メッキ4(同元素2),元素熟知+元素バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),134447.5,3312.7,317,0.85:1.70,0.10:1.20,1.4
葦海の標(1),金メッキ4(同元素2),元素熟知+元素バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),134447.5,3312.7,317,0.85:1.70,0.41:0.58,1.4
雨裁,ファントム4,元素熟知+元素熟知+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),134300.5,2690.68,539,0.87:1.73,0.08:1.23,1.4
雨裁,ファントム4,元素熟知+元素熟知+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),134300.5,2690.68,539,0.87:1.73,0.40:0.61,1.4
