武器,聖遺物セット,聖遺物メイン,バフキャラ,合計期待値,攻撃力,HP,バフ,会心ダメ期待値,熟知,率ダメ,会心ダメ比率,聖遺物組み合わせ,サブステ,サブHP%,サブHP,スコア
螭龍の剣(完凸),金メッキ4(同元素0),元素熟知、元素バフ、会心率,ベネット(西風、旧貴族)+閑雲+鍾離,157633.5,2487.68,4791.419,0.966,2.422985,417,0.84:1.69,2,a,0.2065,0,0,0
螭龍の剣(完凸),金メッキ4(同元素0),元素熟知、元素バフ、会心ダメージ,ベネット(西風、旧貴族)+閑雲+鍾離,157633.5,2487.68,4791.419,0.966,2.422985,417,0.84:1.69,2,a,0.5175,0,0,0
螭龍の剣(完凸),ファントムハンター,元素熟知、元素バフ、元素熟知,ベネット(西風、旧貴族)+閑雲+鍾離,157072.9,2487.68,4791.419,0.966,2.506848,374,0.87:1.74,2,a,0.182,0,0,0
螭龍の剣(完凸),金メッキ4(同元素0),元素熟知、元素バフ、会心率,フリーナ+ベネット(西風、旧貴族)+閑雲,156947.3,2487.68,4791.419,1.316,2.422985,417,0.84:1.69,2,a,0.2065,0,0,0
螭龍の剣(完凸),金メッキ4(同元素0),元素熟知、元素バフ、会心ダメージ,フリーナ+ベネット(西風、旧貴族)+閑雲,156947.3,2487.68,4791.419,1.316,2.422985,417,0.84:1.69,2,a,0.5175,0,0,0
螭龍の剣(完凸),ファントムハンター,元素熟知、元素バフ、元素熟知,フリーナ+ベネット(西風、旧貴族)+閑雲,156389.2,2487.68,4791.419,1.316,2.506848,374,0.87:1.74,2,a,0.182,0,0,0
螭龍の剣(完凸),金メッキ4(同元素1),元素熟知、元素バフ、会心率,ベネット(西風、旧貴族)+閑雲+鍾離,155837.3,2601.36,4791.419,0.966,2.422985,367,0.84:1.69,2,a,0.2065,0,0,0
螭龍の剣(完凸),金メッキ4(同元素1),元素熟知、元素バフ、会心ダメージ,ベネット(西風、旧貴族)+閑雲+鍾離,155837.3,2601.36,4791.419,0.966,2.422985,367,0.84:1.69,2,a,0.5175,0,0,0
螭龍の剣(完凸),金メッキ4(同元素1),元素熟知、元素バフ、会心率,フリーナ+ベネット(西風、旧貴族)+閑雲,155159,2601.36,4791.419,1.316,2.422985,367,0.84:1.69,2,a,0.2065,0,0,0
螭龍の剣(完凸),金メッキ4(同元素1),元素熟知、元素バフ、会心ダメージ,フリーナ+ベネット(西風、旧貴族)+閑雲,155159,2601.36,4791.419,1.316,2.422985,367,0.84:1.69,2,a,0.5175,0,0,0
螭龍の剣(完凸),ファントムハンター,元素熟知、元素バフ、会心ダメージ,ベネット(西風、旧貴族)+閑雲+鍾離,155039.9,2487.68,4791.419,0.966,3.094,187,1.00:2.09,2.09,a,0.314,0,0,0
螭龍の剣(完凸),ファントムハンター,元素熟知、元素バフ、会心ダメージ,フリーナ+ベネット(西風、旧貴族)+閑雲,154365,2487.68,4791.419,1.316,3.094,187,1.00:2.09,2.09,a,0.314,0,0,0
螭龍の剣(完凸),金メッキ4(同元素2),元素熟知、元素バフ、会心率,ベネット(西風、旧貴族)+閑雲+鍾離,153373.8,2715.04,4791.419,0.966,2.422985,317,0.84:1.69,2,a,0.2065,0,0,0
螭龍の剣(完凸),金メッキ4(同元素2),元素熟知、元素バフ、会心ダメージ,ベネット(西風、旧貴族)+閑雲+鍾離,153373.8,2715.04,4791.419,0.966,2.422985,317,0.84:1.69,2,a,0.5175,0,0,0
螭龍の剣(完凸),金メッキ4(同元素2),元素熟知、元素バフ、会心率,フリーナ+ベネット(西風、旧貴族)+閑雲,152706.2,2715.04,4791.419,1.316,2.422985,317,0.84:1.69,2,a,0.2065,0,0,0
螭龍の剣(完凸),金メッキ4(同元素2),元素熟知、元素バフ、会心ダメージ,フリーナ+ベネット(西風、旧貴族)+閑雲,152706.2,2715.04,4791.419,1.316,2.422985,317,0.84:1.69,2,a,0.5175,0,0,0
螭龍の剣(完凸),火魔女,元素熟知、元素バフ、会心率,ベネット(西風、旧貴族)+閑雲+鍾離,152061.8,2487.68,4791.419,1.116,2.422985,187,0.84:1.69,2,a,0.2065,0,0,0
螭龍の剣(完凸),火魔女,元素熟知、元素バフ、会心ダメージ,ベネット(西風、旧貴族)+閑雲+鍾離,152061.8,2487.68,4791.419,1.116,2.422985,187,0.84:1.69,2,a,0.5175,0,0,0
螭龍の剣(完凸),ファントムハンター,元素熟知、元素熟知、会心ダメージ,フリーナ+ベネット(西風、旧貴族)+閑雲,150251.2,2487.68,4791.419,0.85,3.094,374,1.00:2.09,2.09,a,0.314,0,0,0
螭龍の剣(完凸),金メッキ4(同元素3),元素熟知、元素バフ、会心率,ベネット(西風、旧貴族)+閑雲+鍾離,150182.8,2828.72,4791.419,0.966,2.422985,267,0.84:1.69,2,a,0.2065,0,0,0
螭龍の剣(完凸),金メッキ4(同元素3),元素熟知、元素バフ、会心ダメージ,ベネット(西風、旧貴族)+閑雲+鍾離,150182.8,2828.72,4791.419,0.966,2.422985,267,0.84:1.69,2,a,0.5175,0,0,0
螭龍の剣(完凸),火魔女,元素熟知、元素バフ、会心率,フリーナ+ベネット(西風、旧貴族)+閑雲,150035.8,2487.68,4791.419,1.466,2.422985,187,0.84:1.69,2,a,0.2065,0,0,0
螭龍の剣(完凸),火魔女,元素熟知、元素バフ、会心ダメージ,フリーナ+ベネット(西風、旧貴族)+閑雲,150035.8,2487.68,4791.419,1.466,2.422985,187,0.84:1.69,2,a,0.5175,0,0,0
螭龍の剣(完凸),金メッキ4(同元素3),元素熟知、元素バフ、会心率,フリーナ+ベネット(西風、旧貴族)+閑雲,149529,2828.72,4791.419,1.316,2.422985,267,0.84:1.69,2,a,0.2065,0,0,0
螭龍の剣(完凸),金メッキ4(同元素3),元素熟知、元素バフ、会心ダメージ,フリーナ+ベネット(西風、旧貴族)+閑雲,149529,2828.72,4791.419,1.316,2.422985,267,0.84:1.69,2,a,0.5175,0,0,0
螭龍の剣(完凸),楽団+金メッキ,元素熟知、元素バフ、会心率,ベネット(西風、旧貴族)+閑雲+鍾離,149378,2487.68,4791.419,0.966,2.422985,347,0.84:1.69,2,a,0.2065,0,0,0
螭龍の剣(完凸),楽団+金メッキ,元素熟知、元素バフ、会心ダメージ,ベネット(西風、旧貴族)+閑雲+鍾離,149378,2487.68,4791.419,0.966,2.422985,347,0.84:1.69,2,a,0.5175,0,0,0
螭龍の剣(完凸),楽団+金メッキ,元素熟知、元素バフ、会心率,フリーナ+ベネット(西風、旧貴族)+閑雲,148727.7,2487.68,4791.419,1.316,2.422985,347,0.84:1.69,2,a,0.2065,0,0,0
螭龍の剣(完凸),楽団+金メッキ,元素熟知、元素バフ、会心ダメージ,フリーナ+ベネット(西風、旧貴族)+閑雲,148727.7,2487.68,4791.419,1.316,2.422985,347,0.84:1.69,2,a,0.5175,0,0,0
螭龍の剣(完凸),悠久4,元素熟知、元素バフ、会心率,ベネット(西風、旧貴族)+閑雲+鍾離,148420.2,2487.68,4791.419,1.316,2.422985,187,0.84:1.69,2,a,0.2065,0,0,0
螭龍の剣(完凸),悠久4,元素熟知、元素バフ、会心ダメージ,ベネット(西風、旧貴族)+閑雲+鍾離,148420.2,2487.68,4791.419,1.316,2.422985,187,0.84:1.69,2,a,0.5175,0,0,0
螭龍の剣(完凸),火魔女,元素熟知、元素バフ、元素熟知,ベネット(西風、旧貴族)+閑雲+鍾離,146122.5,2487.68,4791.419,1.116,1.946688,374,0.69:1.38,2,a,0.362,0,0,0
螭龍の剣(完凸),金メッキ4(同元素0),攻撃%、元素バフ、会心率,ベネット(西風、旧貴族)+閑雲+鍾離,145848.6,2866.072,4791.419,0.966,2.422985,230,0.84:1.69,2,a,0.2065,0,0,0
螭龍の剣(完凸),金メッキ4(同元素0),攻撃%、元素バフ、会心ダメージ,ベネット(西風、旧貴族)+閑雲+鍾離,145848.6,2866.072,4791.419,0.966,2.422985,230,0.84:1.69,2,a,0.5175,0,0,0
葦海の標,金メッキ4(同元素0),元素熟知、元素バフ、会心率,フリーナ+ベネット(西風、旧貴族)+閑雲,145785.3,3012.4,4795.073,0.816,2.517282,417,0.87:1.74,2,a,0.179,0,0,0
葦海の標,金メッキ4(同元素0),元素熟知、元素バフ、会心ダメージ,フリーナ+ベネット(西風、旧貴族)+閑雲,145785.3,3012.4,4795.073,0.816,2.517282,417,0.87:1.74,2,a,0.49,0,0,0
螭龍の剣(完凸),火魔女,元素熟知、元素熟知、会心率,フリーナ+ベネット(西風、旧貴族)+閑雲,145458.7,2487.68,4791.419,1,2.422985,374,0.84:1.69,2,a,0.2065,0,0,0
螭龍の剣(完凸),火魔女,元素熟知、元素熟知、会心ダメージ,フリーナ+ベネット(西風、旧貴族)+閑雲,145458.7,2487.68,4791.419,1,2.422985,374,0.84:1.69,2,a,0.5175,0,0,0
螭龍の剣(完凸),ファントムハンター,元素熟知、元素熟知、会心ダメージ,ベネット(西風、旧貴族)+閑雲+鍾離,145365,2487.68,4791.419,0.5,3.094,374,1.00:2.09,2.09,a,0.314,0,0,0
螭龍の剣(完凸),金メッキ4(同元素0),攻撃%、元素バフ、会心率,フリーナ+ベネット(西風、旧貴族)+閑雲,145213.8,2866.072,4791.419,1.316,2.422985,230,0.84:1.69,2,a,0.2065,0,0,0
螭龍の剣(完凸),金メッキ4(同元素0),攻撃%、元素バフ、会心ダメージ,フリーナ+ベネット(西風、旧貴族)+閑雲,145213.8,2866.072,4791.419,1.316,2.422985,230,0.84:1.69,2,a,0.5175,0,0,0
螭龍の剣(完凸),悠久4,元素熟知、元素バフ、元素熟知,ベネット(西風、旧貴族)+閑雲+鍾離,145022,2487.68,4791.419,1.316,1.946688,374,0.69:1.38,2,a,0.362,0,0,0
螭龍の剣(完凸),悠久4,元素熟知、元素熟知、会心率,フリーナ+ベネット(西風、旧貴族)+閑雲,144968.2,2487.68,4791.419,1.2,2.422985,374,0.84:1.69,2,a,0.2065,0,0,0
螭龍の剣(完凸),悠久4,元素熟知、元素熟知、会心ダメージ,フリーナ+ベネット(西風、旧貴族)+閑雲,144968.2,2487.68,4791.419,1.2,2.422985,374,0.84:1.69,2,a,0.5175,0,0,0
螭龍の剣(完凸),悠久4,元素熟知、元素バフ、会心率,フリーナ+ベネット(西風、旧貴族)+閑雲,144914.5,2487.68,4791.419,1.666,2.422985,187,0.84:1.69,2,a,0.2065,0,0,0
螭龍の剣(完凸),悠久4,元素熟知、元素バフ、会心ダメージ,フリーナ+ベネット(西風、旧貴族)+閑雲,144914.5,2487.68,4791.419,1.666,2.422985,187,0.84:1.69,2,a,0.5175,0,0,0
螭龍の剣(完凸),金メッキ4(同元素0),元素熟知、元素バフ、元素熟知,ベネット(西風、旧貴族)+閑雲+鍾離,144658,2487.68,4791.419,0.966,1.946688,604,0.69:1.38,2,a,0.362,0,0,0
螭龍の剣(完凸),金メッキ4(同元素1),元素熟知、元素バフ、元素熟知,ベネット(西風、旧貴族)+閑雲+鍾離,144488.3,2601.36,4791.419,0.966,1.946688,554,0.69:1.38,2,a,0.362,0,0,0
螭龍の剣(完凸),悠久4,元素熟知、元素熟知、会心率,ベネット(西風、旧貴族)+閑雲+鍾離,144464.8,2487.68,4791.419,0.85,2.422985,374,0.84:1.69,2,a,0.2065,0,0,0
螭龍の剣(完凸),悠久4,元素熟知、元素熟知、会心ダメージ,ベネット(西風、旧貴族)+閑雲+鍾離,144464.8,2487.68,4791.419,0.85,2.422985,374,0.84:1.69,2,a,0.5175,0,0,0
螭龍の剣(完凸),ファントムハンター,元素熟知、元素熟知、元素熟知,フリーナ+ベネット(西風、旧貴族)+閑雲,144222.8,2487.68,4791.419,0.85,2.506848,561,0.87:1.74,2,a,0.182,0,0,0
螭龍の剣(完凸),火魔女,元素熟知、元素バフ、元素熟知,フリーナ+ベネット(西風、旧貴族)+閑雲,144175.7,2487.68,4791.419,1.466,1.946688,374,0.69:1.38,2,a,0.362,0,0,0
葦海の標,金メッキ4(同元素1),元素熟知、元素バフ、会心率,フリーナ+ベネット(西風、旧貴族)+閑雲,144117.6,3139.8,4795.073,0.816,2.517282,367,0.87:1.74,2,a,0.179,0,0,0
葦海の標,金メッキ4(同元素1),元素熟知、元素バフ、会心ダメージ,フリーナ+ベネット(西風、旧貴族)+閑雲,144117.6,3139.8,4795.073,0.816,2.517282,367,0.87:1.74,2,a,0.49,0,0,0
螭龍の剣(完凸),金メッキ4(同元素0),元素熟知、元素バフ、元素熟知,フリーナ+ベネット(西風、旧貴族)+閑雲,144028.3,2487.68,4791.419,1.316,1.946688,604,0.69:1.38,2,a,0.362,0,0,0
螭龍の剣(完凸),金メッキ4(同元素2),元素熟知、元素バフ、元素熟知,ベネット(西風、旧貴族)+閑雲+鍾離,143894.6,2715.04,4791.419,0.966,1.946688,504,0.69:1.38,2,a,0.362,0,0,0
螭龍の剣(完凸),金メッキ4(同元素1),元素熟知、元素バフ、元素熟知,フリーナ+ベネット(西風、旧貴族)+閑雲,143859.4,2601.36,4791.419,1.316,1.946688,554,0.69:1.38,2,a,0.362,0,0,0
螭龍の剣(完凸),辰砂4,元素熟知、元素バフ、会心率,ベネット(西風、旧貴族)+閑雲+鍾離,143780.3,3023.6,4791.419,0.966,2.422985,187,0.84:1.69,2,a,0.2065,0,0,0
螭龍の剣(完凸),辰砂4,元素熟知、元素バフ、会心ダメージ,ベネット(西風、旧貴族)+閑雲+鍾離,143780.3,3023.6,4791.419,0.966,2.422985,187,0.84:1.69,2,a,0.5175,0,0,0
