武器,聖遺物セット,聖遺物メイン,バフキャラ,合計期待値,攻撃力,熟知,率ダメ,サブステ,スコア
赤角石塵滅砕,金メッキ4(同元素0),元チャ+元素バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),152437,2751.16,230,1.00:2.40,0.70:0.00,1.4
雨裁,ファントム4,元チャ+元素バフ+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),150873.1,2690.68,352,0.91:1.82,0.24:0.92,1.4
雨裁,金メッキ4(同元素0),元チャ+元素バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),150854.1,2690.68,395,0.89:1.77,0.26:0.87,1.4
雨裁,金メッキ4(同元素0),元チャ+元素バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),150854.1,2690.68,395,0.89:1.77,0.58:0.25,1.4
雨裁,金メッキ4(同元素1),元チャ+元素バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),148860.3,2804.36,345,0.89:1.77,0.26:0.87,1.4
雨裁,金メッキ4(同元素1),元チャ+元素バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),148860.3,2804.36,345,0.89:1.77,0.58:0.25,1.4
葦海の標(1),金メッキ4(同元素0),元チャ+元素バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),148643.6,3057.9,230,1.00:2.10,0.10:1.20,1.4
葦海の標(1),金メッキ4(同元素0),元チャ+元素バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),148643.6,3057.9,230,1.00:2.10,0.41:0.58,1.4
赤角石塵滅砕,金メッキ4(同元素1),元チャ+元素バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),148059,2869.32,180,1.00:2.40,0.70:0.00,1.4
雨裁,ファントム4,元チャ+元素熟知+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),147988,2690.68,352,1.00:2.13,0.08:1.23,1.4
雨裁,ファントム4,元チャ+元素熟知+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),147988,2690.68,352,1.00:2.13,0.40:0.61,1.4
赤角石塵滅砕,金メッキ4(同元素0),元チャ+元素バフ+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),147871,2751.16,417,0.95:1.90,0.64:0.12,1.4
雨裁,ファントム4,元チャ+元素バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),147568.6,2690.68,165,1.00:2.13,0.08:1.23,1.4
雨裁,ファントム4,元チャ+元素バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),147568.6,2690.68,165,1.00:2.13,0.40:0.61,1.4
裁断,金メッキ4(同元素0),元チャ+元素バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),147200.2,3195.84,230,1.00:1.99,0.15:1.09,1.4
裁断,金メッキ4(同元素0),元チャ+元素バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),147200.2,3195.84,230,1.00:1.99,0.47:0.47,1.4
葦海の標(1),金メッキ4(同元素0),元チャ+元素バフ+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),146782.4,3057.9,417,0.90:1.79,0.25:0.89,1.4
赤角石塵滅砕,金メッキ4(同元素1),元チャ+元素バフ+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),146244.5,2869.32,367,0.95:1.90,0.64:0.12,1.4
雨裁,金メッキ4(同元素2),元チャ+元素バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),146199.4,2918.04,295,0.89:1.77,0.26:0.87,1.4
雨裁,金メッキ4(同元素2),元チャ+元素バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),146199.4,2918.04,295,0.89:1.77,0.58:0.25,1.4
雨裁,火魔女4(1),元チャ+元素バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),146036.8,2690.68,165,0.89:1.77,0.26:0.87,1.4
雨裁,火魔女4(1),元チャ+元素バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),146036.8,2690.68,165,0.89:1.77,0.58:0.25,1.4
雨裁,火魔女4(1),元チャ+元素熟知+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),146036,2690.68,352,0.89:1.77,0.26:0.87,1.4
雨裁,火魔女4(1),元チャ+元素熟知+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),146036,2690.68,352,0.89:1.77,0.58:0.25,1.4
赤角石塵滅砕,火魔女4(1),元チャ+元素バフ+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),145829.7,2751.16,187,0.95:1.90,0.64:0.12,1.4
赤角石塵滅砕,火魔女4(1),元チャ+元素熟知+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),145646.3,2751.16,187,1.00:2.40,0.70:0.00,1.4
葦海の標(1),金メッキ4(同元素1),元チャ+元素バフ+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),145197,3185.3,367,0.90:1.79,0.25:0.89,1.4
黒岩完凸(平均),金メッキ4(同元素0),元チャ+元素バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),144900.2,2983,230,1.00:2.07,0.70:0.00,1.4
葦海の標(1),火魔女4(1),元チャ+元素バフ+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),144756.2,3057.9,187,0.90:1.79,0.25:0.89,1.4
赤角石塵滅砕,金メッキ4(同元素0),元チャ+元素熟知+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),144738.2,2751.16,417,1.00:2.40,0.70:0.00,1.4
葦海の標(1),金メッキ4(同元素1),元チャ+元素バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),144403.4,3185.3,180,1.00:2.10,0.10:1.20,1.4
葦海の標(1),金メッキ4(同元素1),元チャ+元素バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),144403.4,3185.3,180,1.00:2.10,0.41:0.58,1.4
赤角石塵滅砕,金メッキ4(同元素2),元チャ+元素バフ+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),143987.3,2987.48,317,0.95:1.90,0.64:0.12,1.4
葦海の標(1),ファントム4,元チャ+元素バフ+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),143979.4,3057.9,187,1.00:2.15,0.07:1.25,1.4
赤角石塵滅砕,金メッキ4(同元素0),元チャ+元素バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),143838.9,2751.16,230,1.00:2.21,0.49:0.43,1.4
黒岩完凸(平均),金メッキ4(同元素0),元チャ+元素バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),143650.6,2983,230,1.00:2.05,0.40:0.60,1.4
裁断,金メッキ4(同元素1),元チャ+元素バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),143159.6,3332.48,180,1.00:1.99,0.15:1.09,1.4
裁断,金メッキ4(同元素1),元チャ+元素バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),143159.6,3332.48,180,1.00:1.99,0.47:0.47,1.4
赤角石塵滅砕,金メッキ4(同元素1),元チャ+元素熟知+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),143146.2,2869.32,367,1.00:2.40,0.70:0.00,1.4
裁断,ファントム4,元チャ+元素バフ+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),143043.8,3195.84,187,1.00:2.04,0.13:1.14,1.4
葦海の標(1),金メッキ4(同元素2),元チャ+元素バフ+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),142983,3312.7,317,0.90:1.79,0.25:0.89,1.4
雨裁,金メッキ4(同元素3),元チャ+元素バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),142810.9,3031.72,245,0.89:1.77,0.26:0.87,1.4
雨裁,金メッキ4(同元素3),元チャ+元素バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),142810.9,3031.72,245,0.89:1.77,0.58:0.25,1.4
雨裁,ファントム4,元チャ+元素熟知+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),142795.5,2690.68,539,0.91:1.82,0.24:0.92,1.4
赤角石塵滅砕,金メッキ4(同元素2),元チャ+元素バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+閑雲(翠緑冠会心炎共鳴),142665.1,2987.48,130,1.00:2.40,0.70:0.00,1.4
