武器,聖遺物セット,聖遺物メイン,バフキャラ,合計期待値,攻撃力,加算,HP,バフ,バフ共通,元素バフ,バフ落下,会心ダメ期待値,熟知,元素反応,耐性ダウン計算後,率ダメ,聖遺物組み合わせ,花,羽,時計,杯,冠,サブステ,サブHP%,サブHP,スコア
赤砂の杖(スキル命中1),長き夜の誓い4,元素熟知+元素熟知+会心ダメージ,フリーナ(フル)+モナ(5/9秒平均)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),186786,2774,9000,24220,2.36,1.08,0,1.28,2.774728,374,2.603429,0.45,0.94:1.88,,(),(),(),(),(),0.31:0.38,0,0,1
赤砂の杖(スキル命中1),長き夜の誓い4,元素熟知+元素熟知+会心率,フリーナ(フル)+モナ(5/9秒平均)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),186786,2774,9000,24220,2.36,1.08,0,1.28,2.774728,374,2.603429,0.45,0.94:1.88,,(),(),(),(),(),0.00:1.00,0,0,1
護摩,長き夜の誓い4,元素熟知+元素熟知+会心率,フリーナ(フル)+モナ(5/9秒平均)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),186656,3228,9000,27330,2.36,1.08,0,1.28,2.573538,374,2.603429,0.45,0.89:1.77,,(),(),(),(),(),0.39:0.23,0,0,1
赤砂の杖(スキル命中1),長き夜の誓い4,元素熟知+元素熟知+会心ダメージ,シロネン(灰燼以外、2凸、2色以上)+フリーナ(フル)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),184443,2823,9000,20332,2.03,0.75,0,1.28,2.627208,374,2.378429,0.565,0.90:1.80,,(),(),(),(),(),0.35:0.30,0,0,1
赤砂の杖(スキル命中1),長き夜の誓い4,元素熟知+元素熟知+会心率,シロネン(灰燼以外、2凸、2色以上)+フリーナ(フル)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),184443,2823,9000,20332,2.03,0.75,0,1.28,2.627208,374,2.378429,0.565,0.90:1.80,,(),(),(),(),(),0.04:0.92,0,0,1
赤砂の杖(スキル命中1),長き夜の誓い4,元素熟知+元素熟知+会心ダメージ,シロネン(灰燼以外、2凸、2色以上)+モナ(5/9秒平均)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),183671,2823,9000,20332,1.61,0.33,0,1.28,2.774728,374,2.603429,0.565,0.94:1.88,,(),(),(),(),(),0.31:0.38,0,0,1
赤砂の杖(スキル命中1),長き夜の誓い4,元素熟知+元素熟知+会心率,シロネン(灰燼以外、2凸、2色以上)+モナ(5/9秒平均)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),183671,2823,9000,20332,1.61,0.33,0,1.28,2.774728,374,2.603429,0.565,0.94:1.88,,(),(),(),(),(),0.00:1.00,0,0,1
赤砂の杖(スキル命中0),長き夜の誓い4,元素熟知+元素熟知+会心ダメージ,フリーナ(フル)+モナ(5/9秒平均)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),183446,2670,9000,24220,2.36,1.08,0,1.28,2.774728,374,2.603429,0.45,0.94:1.88,,(),(),(),(),(),0.31:0.38,0,0,1
赤砂の杖(スキル命中0),長き夜の誓い4,元素熟知+元素熟知+会心率,フリーナ(フル)+モナ(5/9秒平均)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),183446,2670,9000,24220,2.36,1.08,0,1.28,2.774728,374,2.603429,0.45,0.94:1.88,,(),(),(),(),(),0.00:1.00,0,0,1
護摩,長き夜の誓い4,元素熟知+元素熟知+会心率,シロネン(灰燼以外、2凸、2色以上)+フリーナ(フル)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),182897,3236,9000,23442,2.03,0.75,0,1.28,2.434818,374,2.378429,0.565,0.85:1.69,,(),(),(),(),(),0.43:0.15,0,0,1
護摩,長き夜の誓い4,元素熟知+炎バフ+会心率,シロネン(灰燼以外、2凸、2色以上)+モナ(5/9秒平均)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),182847,3236,9000,23442,2.076,0.33,0.466,1.28,2.573538,187,2.215968,0.565,0.89:1.77,,(),(),(),(),(),0.39:0.23,0,0,1
護摩,長き夜の誓い4,元素熟知+元素熟知+会心率,シロネン(灰燼以外、2凸、2色以上)+モナ(5/9秒平均)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),182274,3236,9000,23442,1.61,0.33,0,1.28,2.573538,374,2.603429,0.565,0.89:1.77,,(),(),(),(),(),0.39:0.23,0,0,1
赤砂の杖(スキル命中0),長き夜の誓い4,元素熟知+元素熟知+会心ダメージ,シロネン(灰燼以外、2凸、2色以上)+フリーナ(フル)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),181172,2718,9000,20332,2.03,0.75,0,1.28,2.627208,374,2.378429,0.565,0.90:1.80,,(),(),(),(),(),0.35:0.30,0,0,1
赤砂の杖(スキル命中0),長き夜の誓い4,元素熟知+元素熟知+会心率,シロネン(灰燼以外、2凸、2色以上)+フリーナ(フル)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),181172,2718,9000,20332,2.03,0.75,0,1.28,2.627208,374,2.378429,0.565,0.90:1.80,,(),(),(),(),(),0.04:0.92,0,0,1
護摩,長き夜の誓い4,元素熟知+元素熟知+会心ダメージ,フリーナ(フル)+モナ(5/9秒平均)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),181026,3228,9000,27330,2.36,1.08,0,1.28,2.49592,374,2.603429,0.45,0.69:2.17,,(),(),(),(),(),0.50:0.00,0,0,1
護摩,長き夜の誓い4,元素熟知+炎バフ+会心率,フリーナ(フル)+モナ(5/9秒平均)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),180911,3228,9000,27330,2.826,1.08,0.466,1.28,2.573538,187,2.215968,0.45,0.89:1.77,,(),(),(),(),(),0.39:0.23,0,0,1
赤砂の杖(スキル命中0),長き夜の誓い4,元素熟知+元素熟知+会心ダメージ,シロネン(灰燼以外、2凸、2色以上)+モナ(5/9秒平均)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),180414,2718,9000,20332,1.61,0.33,0,1.28,2.774728,374,2.603429,0.565,0.94:1.88,,(),(),(),(),(),0.31:0.38,0,0,1
赤砂の杖(スキル命中0),長き夜の誓い4,元素熟知+元素熟知+会心率,シロネン(灰燼以外、2凸、2色以上)+モナ(5/9秒平均)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),180414,2718,9000,20332,1.61,0.33,0,1.28,2.774728,374,2.603429,0.565,0.94:1.88,,(),(),(),(),(),0.00:1.00,0,0,1
赤砂の杖(スキル命中1),長き夜の誓い4,元素熟知+炎バフ+会心ダメージ,シロネン(灰燼以外、2凸、2色以上)+モナ(5/9秒平均)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),179581,2673,9000,20332,2.076,0.33,0.466,1.28,2.774728,187,2.215968,0.565,0.94:1.88,,(),(),(),(),(),0.31:0.38,0,0,1
赤砂の杖(スキル命中1),長き夜の誓い4,元素熟知+炎バフ+会心率,シロネン(灰燼以外、2凸、2色以上)+モナ(5/9秒平均)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),179581,2673,9000,20332,2.076,0.33,0.466,1.28,2.774728,187,2.215968,0.565,0.94:1.88,,(),(),(),(),(),0.00:1.00,0,0,1
赤砂の杖(スキル命中0),長き夜の誓い4,元素熟知+炎バフ+会心ダメージ,シロネン(灰燼以外、2凸、2色以上)+モナ(5/9秒平均)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),177947,2621,9000,20332,2.076,0.33,0.466,1.28,2.774728,187,2.215968,0.565,0.94:1.88,,(),(),(),(),(),0.31:0.38,0,0,1
赤砂の杖(スキル命中0),長き夜の誓い4,元素熟知+炎バフ+会心率,シロネン(灰燼以外、2凸、2色以上)+モナ(5/9秒平均)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),177947,2621,9000,20332,2.076,0.33,0.466,1.28,2.774728,187,2.215968,0.565,0.94:1.88,,(),(),(),(),(),0.00:1.00,0,0,1
護摩,長き夜の誓い4,元素熟知+炎バフ+会心ダメージ,シロネン(灰燼以外、2凸、2色以上)+モナ(5/9秒平均)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),177332,3236,9000,23442,2.076,0.33,0.466,1.28,2.49592,187,2.215968,0.565,0.69:2.17,,(),(),(),(),(),0.50:0.00,0,0,1
護摩,長き夜の誓い4,元素熟知+元素熟知+会心ダメージ,シロネン(灰燼以外、2凸、2色以上)+モナ(5/9秒平均)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),176776,3236,9000,23442,1.61,0.33,0,1.28,2.49592,374,2.603429,0.565,0.69:2.17,,(),(),(),(),(),0.50:0.00,0,0,1
護摩,長き夜の誓い4,元素熟知+炎バフ+会心率,シロネン(灰燼以外、2凸、2色以上)+フリーナ(フル)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),176648,3236,9000,23442,2.496,0.75,0.466,1.28,2.434818,187,1.990968,0.565,0.85:1.69,,(),(),(),(),(),0.43:0.15,0,0,1
