武器,聖遺物セット,聖遺物メイン,バフキャラ,合計期待値,攻撃力,HP,バフ,会心ダメ期待値,熟知,元素反応,率ダメ,聖遺物組み合わせ,サブステ,サブHP%,サブHP,スコア
護摩,ファントム4,元素熟知+炎バフ+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+夜蘭(終焉、9秒平均),108014,4537,27330,1.886,2.966145,474,2.553895,0.99:1.98,,0.58:0.44,0,0,1.6
護摩,しめ縄4,元素熟知+炎バフ+会心率,ベネット(西風、旧貴族)+万葉(翠緑4)+夜蘭(終焉、9秒平均),106964,4352,23442,1.786,2.870178,287,2.208852,0.97:1.93,,0.61:0.39,0,0,1.6
護摩,しめ縄4,元素熟知+炎バフ+会心ダメージ,ベネット(西風、旧貴族)+万葉(翠緑4)+夜蘭(終焉、9秒平均),105943,4352,23442,1.786,2.8428,287,2.208852,0.85:2.17,,0.80:0.00,0,0,1.6
護摩,ファントム4,HP%+炎バフ+元素熟知,フリーナ(フル)+ベネット(西風、旧貴族)+夜蘭(終焉、9秒平均),105449,5121,34578,1.886,2.966145,287,2.208852,0.99:1.98,,0.58:0.44,0,0,1.6
護摩,しめ縄4,元素熟知+炎バフ+会心ダメージ,ベネット(西風、旧貴族)+モナ(5/9秒平均)+夜蘭(終焉、9秒平均),105030,4665,27330,1.816,3.01624,287,2.433852,0.93:2.17,,0.80:0.00,0,0,1.6
護摩,しめ縄4,元素熟知+炎バフ+会心率,ベネット(西風、旧貴族)+モナ(5/9秒平均)+夜蘭(終焉、9秒平均),104952,4665,27330,1.816,3.014,287,2.433852,1.00:2.01,,0.57:0.47,0,0,1.6
護摩,しめ縄4,元素熟知+炎バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+夜蘭(終焉、9秒平均),104233,4665,27330,2.236,2.870178,287,2.208852,0.97:1.93,,0.61:0.39,0,0,1.6
護摩,ファントム4,元素熟知+炎バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+夜蘭(終焉、9秒平均),103747,4537,27330,1.886,3.294,287,2.208852,1.00:2.29,,0.74:0.13,0,0,1.6
護摩,ファントム4,元素熟知+炎バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+夜蘭(終焉、9秒平均),103747,4537,27330,1.886,3.294,287,2.208852,1.00:2.29,,0.43:0.75,0,0,1.6
護摩,しめ縄4,元素熟知+炎バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+夜蘭(終焉、9秒平均),103239,4665,27330,2.236,2.8428,287,2.208852,0.85:2.17,,0.80:0.00,0,0,1.6
護摩,しめ縄4,元素熟知+元素熟知+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+夜蘭(終焉、9秒平均),103160,4665,27330,1.77,2.870178,474,2.553895,0.97:1.93,,0.61:0.39,0,0,1.6
