武器,聖遺物セット,聖遺物メイン,バフキャラ,合計期待値,攻撃力,HP,バフ,会心ダメ期待値,熟知,元素反応,率ダメ,聖遺物組み合わせ,花,羽,時計,杯,冠,サブステ,サブHP%,サブHP,スコア
護摩,ファントム4,HP%+炎バフ+会心ダメージ,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+万葉(翠緑4),73023,4582,39561,2.066,3.22183,0,1.5,0.81:2.74,a+a+a+a+a,ファントム(crit_rate:8.9+crit_dmg:12.4+hp_rate:9.3),ファントム(crit_rate:14+crit_dmg:7+atk_rate:4.1+hp_rate:11.1),ファントム(crit_rate:11.3+crit_dmg:19.4+hp:478),来歆(crit_rate:5.8+crit_dmg:18.7+hp_rate:10.5),ファントム(atk:18+def_rate:11.7+hp:866+hp_rate:17.5),0.40:0.58,0.484,1344,1.416
護摩,ファントム4,HP%+炎バフ+会心ダメージ,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+万葉(翠緑4),72704,4467,38137,2.066,3.290176,44,1.626962,0.90:2.56,a+a+a+b+a,ファントム(crit_rate:8.9+crit_dmg:12.4+hp_rate:9.3),ファントム(crit_rate:14+crit_dmg:7+atk_rate:4.1+hp_rate:11.1),ファントム(crit_rate:11.3+crit_dmg:19.4+hp:478),しめ縄(crit_rate:14.4+def_rate:5.8+hp:209+elemental_mastery:44),ファントム(atk:18+def_rate:11.7+hp:866+hp_rate:17.5),0.49:0.39,0.379,1553,1.401
護摩,ファントム4,HP%+炎バフ+会心ダメージ,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+万葉(翠緑4),72484,4608,39879,2.066,3.180268,0,1.5,0.85:2.56,a+a+a+d+a,ファントム(crit_rate:8.9+crit_dmg:12.4+hp_rate:9.3),ファントム(crit_rate:14+crit_dmg:7+atk_rate:4.1+hp_rate:11.1),ファントム(crit_rate:11.3+crit_dmg:19.4+hp:478),雷(crit_rate:10.1+hp:598+hp_rate:8.7),ファントム(atk:18+def_rate:11.7+hp:866+hp_rate:17.5),0.44:0.39,0.466,1942,1.315
護摩,ファントム4,HP%+炎バフ+会心ダメージ,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+万葉(翠緑4),72138,4586,37928,2.066,3.180268,21,1.561576,0.85:2.56,a+a+a++a,ファントム(crit_rate:8.9+crit_dmg:12.4+hp_rate:9.3),ファントム(crit_rate:14+crit_dmg:7+atk_rate:4.1+hp_rate:11.1),ファントム(crit_rate:11.3+crit_dmg:19.4+hp:478),楽団(crit_rate:10.1+atk_rate:14.6+atk:31+elemental_mastery:21),ファントム(atk:18+def_rate:11.7+hp:866+hp_rate:17.5),0.44:0.39,0.379,1344,1.461
護摩,ファントム4,HP%+HP%+会心ダメージ,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+万葉(翠緑4),71718,5059,45474,1.6,3.37984,0,1.5,0.89:2.68,a+a+a+n+a,ファントム(crit_rate:8.9+crit_dmg:12.4+hp_rate:9.3),ファントム(crit_rate:14+crit_dmg:7+atk_rate:4.1+hp_rate:11.1),ファントム(crit_rate:11.3+crit_dmg:19.4+hp:478),劇団(crit_rate:13.6+crit_dmg:12.4+hp:299),ファントム(atk:18+def_rate:11.7+hp:866+hp_rate:17.5),0.48:0.51,0.379,1643,1.509
護摩,ファントム4,HP%+炎バフ+会心ダメージ,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+モナ(5/9秒平均),71492,4896,43449,2.096,3.44127,0,1.725,0.89:2.74,a+a+a+a+a,ファントム(crit_rate:8.9+crit_dmg:12.4+hp_rate:9.3),ファントム(crit_rate:14+crit_dmg:7+atk_rate:4.1+hp_rate:11.1),ファントム(crit_rate:11.3+crit_dmg:19.4+hp:478),来歆(crit_rate:5.8+crit_dmg:18.7+hp_rate:10.5),ファントム(atk:18+def_rate:11.7+hp:866+hp_rate:17.5),0.40:0.58,0.484,1344,1.416
護摩,ファントム4,HP%+炎バフ+会心ダメージ,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+万葉(翠緑4),71473,4485,38379,2.066,3.22183,0,1.5,0.81:2.74,a+a+a+a+b,ファントム(crit_rate:8.9+crit_dmg:12.4+hp_rate:9.3),ファントム(crit_rate:14+crit_dmg:7+atk_rate:4.1+hp_rate:11.1),ファントム(crit_rate:11.3+crit_dmg:19.4+hp:478),来歆(crit_rate:5.8+crit_dmg:18.7+hp_rate:10.5),ファントム(atk:16+hp:866+hp_rate:9.9),0.40:0.58,0.408,1344,1.416
護摩,ファントム4,HP%+HP%+会心ダメージ,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+万葉(翠緑4),71432,5116,45713,1.6,3.328807,0,1.5,0.85:2.74,a+a+a+s+a,ファントム(crit_rate:8.9+crit_dmg:12.4+hp_rate:9.3),ファントム(crit_rate:14+crit_dmg:7+atk_rate:4.1+hp_rate:11.1),ファントム(crit_rate:11.3+crit_dmg:19.4+hp:478),旧貴族(crit_rate:9.7+crit_dmg:18.7+atk_rate:5.3+hp:538),ファントム(atk:18+def_rate:11.7+hp:866+hp_rate:17.5),0.44:0.58,0.379,1882,1.547
護摩,ファントム4,HP%+炎バフ+会心ダメージ,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+万葉(翠緑4),71237,4466,38114,2.066,3.225083,47,1.635337,0.79:2.81,b+a+a+a+a,ファントム(crit_rate:7+crit_dmg:19.4+def_rate:5.1+elemental_mastery:47),ファントム(crit_rate:14+crit_dmg:7+atk_rate:4.1+hp_rate:11.1),ファントム(crit_rate:11.3+crit_dmg:19.4+hp:478),来歆(crit_rate:5.8+crit_dmg:18.7+hp_rate:10.5),ファントム(atk:18+def_rate:11.7+hp:866+hp_rate:17.5),0.38:0.65,0.391,1344,1.448
護摩,ファントム4,HP%+炎バフ+会心ダメージ,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+万葉(翠緑4),71121,4370,36955,2.066,3.290176,44,1.626962,0.90:2.56,a+a+a+b+b,ファントム(crit_rate:8.9+crit_dmg:12.4+hp_rate:9.3),ファントム(crit_rate:14+crit_dmg:7+atk_rate:4.1+hp_rate:11.1),ファントム(crit_rate:11.3+crit_dmg:19.4+hp:478),しめ縄(crit_rate:14.4+def_rate:5.8+hp:209+elemental_mastery:44),ファントム(atk:16+hp:866+hp_rate:9.9),0.49:0.39,0.303,1553,1.401
