武器,聖遺物セット,聖遺物メイン,バフキャラ,通常期待値,スキル期待値,攻撃力,HP,バフ,会心ダメ期待値,熟知,率ダメ,会心ダメ比率,聖遺物組み合わせ,サブステ,サブHP%,サブHP,スコア
有楽御簾切(効果二倍),華館4,防御%、元素バフ、会心率,ゴロー+鍾離,39918.78,45741.11,1176,16218,1.056,3.488,0,1.00:2.49,2.49,a,0.447,0,0,0
有楽御簾切(効果二倍),華館4,防御%、元素バフ、会心ダメージ,ゴロー+鍾離,39918.78,45741.11,1176,16218,1.056,3.488,0,1.00:2.49,2.49,a,0.758,0,0,0
有楽御簾切(効果二倍),しめ縄4,防御%、元素バフ、会心率,ゴロー+鍾離,39045.82,33971.27,1331.7,16218,0.816,3.488,0,1.00:2.49,2.49,a,0.447,0,0,0
有楽御簾切(効果二倍),しめ縄4,防御%、元素バフ、会心ダメージ,ゴロー+鍾離,39045.82,33971.27,1331.7,16218,0.816,3.488,0,1.00:2.49,2.49,a,0.758,0,0,0
有楽御簾切(効果二倍),華館4,防御%、元素バフ、防御%,ゴロー+鍾離,37942.27,44910.4,1176,16218,1.056,2.868245,0,0.97:1.93,2.00,a,0.7245,0,0,0
有楽御簾切(効果二倍),しめ縄4,防御%、防御%、会心率,ゴロー+鍾離,37825.61,33479.45,1331.7,16218,0.35,3.488,0,1.00:2.49,2.49,a,0.447,0,0,0
有楽御簾切(効果二倍),しめ縄4,防御%、防御%、会心ダメージ,ゴロー+鍾離,37825.61,33479.45,1331.7,16218,0.35,3.488,0,1.00:2.49,2.49,a,0.758,0,0,0
有楽御簾切(効果二倍),しめ縄4,防御%、元素バフ、防御%,ゴロー+鍾離,37784.29,34541.32,1331.7,16218,0.816,2.868245,0,0.97:1.93,2.00,a,0.7245,0,0,0
有楽御簾切,華館4,防御%、元素バフ、会心率,ゴロー+鍾離,37230.65,41412.3,1176,16218,1.056,3.488,0,1.00:2.49,2.49,a,0.447,0,0,0
有楽御簾切,華館4,防御%、元素バフ、会心ダメージ,ゴロー+鍾離,37230.65,41412.3,1176,16218,1.056,3.488,0,1.00:2.49,2.49,a,0.758,0,0,0
有楽御簾切(効果二倍),華館4,防御%、防御%、会心率,ゴロー+鍾離,37091.17,44578.79,1176,16218,0.59,3.488,0,1.00:2.49,2.49,a,0.447,0,0,0
有楽御簾切(効果二倍),華館4,防御%、防御%、会心ダメージ,ゴロー+鍾離,37091.17,44578.79,1176,16218,0.59,3.488,0,1.00:2.49,2.49,a,0.758,0,0,0
有楽御簾切,しめ縄4,防御%、元素バフ、会心率,ゴロー+鍾離,36675.82,30420.27,1331.7,16218,0.816,3.488,0,1.00:2.49,2.49,a,0.447,0,0,0
有楽御簾切,しめ縄4,防御%、元素バフ、会心ダメージ,ゴロー+鍾離,36675.82,30420.27,1331.7,16218,0.816,3.488,0,1.00:2.49,2.49,a,0.758,0,0,0
有楽御簾切(効果二倍),砂上4,防御%、元素バフ、会心率,ゴロー+鍾離,36455.88,33971.27,1176,16218,0.816,3.488,0,1.00:2.49,2.49,a,0.447,0,0,0
有楽御簾切(効果二倍),砂上4,防御%、元素バフ、会心ダメージ,ゴロー+鍾離,36455.88,33971.27,1176,16218,0.816,3.488,0,1.00:2.49,2.49,a,0.758,0,0,0
有楽御簾切(効果二倍),華館4,攻撃%、元素バフ、会心率,ゴロー+鍾離,36386.11,36867.82,1579.09,16218,1.056,3.488,0,1.00:2.49,2.49,a,0.447,0,0,0
有楽御簾切(効果二倍),華館4,攻撃%、元素バフ、会心ダメージ,ゴロー+鍾離,36386.11,36867.82,1579.09,16218,1.056,3.488,0,1.00:2.49,2.49,a,0.758,0,0,0
有楽御簾切(効果二倍),しめ縄4,防御%、防御%、防御%,ゴロー+鍾離,35777.43,32796.09,1331.7,16218,0.35,2.868245,0,0.97:1.93,2.00,a,0.7245,0,0,0
有楽御簾切,しめ縄4,防御%、元素バフ、防御%,ゴロー+鍾離,35490.86,30930.73,1331.7,16218,0.816,2.868245,0,0.97:1.93,2.00,a,0.7245,0,0,0
有楽御簾切(効果二倍),砂上4,防御%、元素バフ、防御%,ゴロー+鍾離,35439.2,34541.32,1176,16218,0.816,2.868245,0,0.97:1.93,2.00,a,0.7245,0,0,0
有楽御簾切,華館4,防御%、元素バフ、防御%,ゴロー+鍾離,35387.24,40660.2,1176,16218,1.056,2.868245,0,0.97:1.93,2.00,a,0.7245,0,0,0
