武器,聖遺物セット,聖遺物メイン,バフキャラ,合計期待値,攻撃力,防御力,HP,バフ,熟知,率ダメ,聖遺物組み合わせ,サブステ,スコア
古祠の瓏(完凸),黒曜の秘典4,HP%+元素バフ+HP%,アルベド+トーマ+万葉,890122,947,570,43835.82,0.916,205,1.00:2.06,,0.02:1.56,1.6
古祠の瓏(完凸),黒曜の秘典4,HP%+元素バフ+元素熟知,アルベド+トーマ+万葉,885740.5,947,570,36759.61,0.916,392,1.00:2.06,,0.02:1.56,1.6
古祠の瓏(完凸),黒曜の秘典4,HP%+元素バフ+元素熟知,トーマ+鍾離+万葉,868455.8,947,570,36759.61,0.916,267,1.00:2.06,,0.02:1.56,1.6
サーフィンタイム,黒曜の秘典4,HP%+HP%+元素熟知,アルベド+トーマ+万葉,864611.5,1035,570,37154.42,0.45,312,1.00:2.13,,0.42:0.75,1.6
サーフィンタイム,黒曜の秘典4,HP%+元素バフ+HP%,アルベド+トーマ+万葉,862605.5,1035,570,37154.42,0.916,125,1.00:2.13,,0.42:0.75,1.6
サーフィンタイム,黒曜の秘典4,HP%+元素バフ+元素熟知,アルベド+トーマ+万葉,856756.9,1035,570,30078.21,0.916,312,1.00:2.13,,0.42:0.75,1.6
古祠の瓏(完凸),しめ縄4,HP%+元素バフ+会心率,アルベド+トーマ+万葉,839346.4,1061.48,570,36759.61,0.766,205,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),しめ縄4,HP%+元素バフ+会心ダメージ,アルベド+トーマ+万葉,839346.4,1061.48,570,36759.61,0.766,205,0.99:1.97,,0.38:0.85,1.6
サーフィンタイム,黒曜の秘典4,HP%+HP%+HP%,アルベド+トーマ+万葉,838937.9,1035,570,44230.63,0.45,125,1.00:2.13,,0.42:0.75,1.6
サーフィンタイム,黒曜の秘典4,HP%+HP%+元素熟知,トーマ+鍾離+万葉,831172.7,1035,570,37154.42,0.45,187,1.00:2.13,,0.42:0.75,1.6
サーフィンタイム,金メッキ4(同元素0),HP%+元素バフ+HP%,アルベド+トーマ+万葉,824646.4,1035,570,37154.42,0.766,355,0.87:1.73,,0.62:0.35,1.6
古祠の瓏(完凸),黒曜の秘典4,HP%+元素バフ+HP%,トーマ+鍾離+万葉,824364.7,947,570,43835.82,0.916,80,1.00:2.06,,0.02:1.56,1.6
サーフィンタイム,黒曜の秘典4,HP%+元素バフ+元素熟知,トーマ+鍾離+万葉,823621.8,1035,570,30078.21,0.916,187,1.00:2.13,,0.42:0.75,1.6
古祠の瓏(完凸),黒曜の秘典4,HP%+元素バフ+会心ダメージ,アルベド+トーマ+万葉,822296.8,947,570,36759.61,0.916,205,1.00:2.37,,0.18:1.25,1.6
古祠の瓏(完凸),沈淪4,HP%+元素バフ+会心率,アルベド+トーマ+万葉,821975.8,947,570,36759.61,0.916,205,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),沈淪4,HP%+元素バフ+会心ダメージ,アルベド+トーマ+万葉,821975.8,947,570,36759.61,0.916,205,0.99:1.97,,0.38:0.85,1.6
古祠の瓏(完凸),黒曜の秘典4,HP%+HP%+元素熟知,アルベド+トーマ+万葉,818002.1,947,570,43835.82,0.45,392,1.00:2.06,,0.02:1.56,1.6
古祠の瓏(完凸),黒曜の秘典4,元素熟知+元素バフ+元素熟知,トーマ+鍾離+万葉,815479.8,947,570,29683.4,0.916,454,1.00:2.06,,0.02:1.56,1.6
古祠の瓏(完凸),金メッキ4(同元素0),HP%+元素バフ+会心率,アルベド+トーマ+万葉,814854.3,947,570,36759.61,0.766,435,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),金メッキ4(同元素0),HP%+元素バフ+会心ダメージ,アルベド+トーマ+万葉,814854.3,947,570,36759.61,0.766,435,0.99:1.97,,0.38:0.85,1.6
サーフィンタイム,金メッキ4(同元素0),HP%+元素バフ+会心ダメージ,アルベド+トーマ+万葉,812322.4,1035,570,30078.21,0.766,355,1.00:2.04,,0.78:0.04,1.6
サーフィンタイム,金メッキ4(同元素0),HP%+元素バフ+会心率,アルベド+トーマ+万葉,812322.3,1035,570,30078.21,0.766,355,1.00:2.04,,0.47:0.66,1.6
古祠の瓏(完凸),しめ縄4,HP%+元素バフ+HP%,アルベド+トーマ+万葉,808853.9,1061.48,570,43835.82,0.766,205,0.83:1.66,,0.22:1.16,1.6
サーフィンタイム,金メッキ4(同元素0),HP%+HP%+会心ダメージ,アルベド+トーマ+万葉,808271.7,1035,570,37154.42,0.3,355,1.00:2.04,,0.78:0.04,1.6
サーフィンタイム,金メッキ4(同元素0),HP%+HP%+会心率,アルベド+トーマ+万葉,808271.6,1035,570,37154.42,0.3,355,1.00:2.04,,0.47:0.66,1.6
古祠の瓏(完凸),しめ縄4,HP%+HP%+会心率,アルベド+トーマ+万葉,807862,1061.48,570,43835.82,0.3,205,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),しめ縄4,HP%+HP%+会心ダメージ,アルベド+トーマ+万葉,807862,1061.48,570,43835.82,0.3,205,0.99:1.97,,0.38:0.85,1.6
サーフィンタイム,しめ縄4,HP%+HP%+元素熟知,アルベド+トーマ+万葉,806546.1,1165.32,570,37154.42,0.3,312,0.87:1.73,,0.62:0.35,1.6
古祠の瓏(完凸),黒曜の秘典4,元素熟知+元素バフ+元素熟知,アルベド+トーマ+万葉,806467.2,947,570,29683.4,0.916,579,1.00:2.06,,0.02:1.56,1.6
古祠の瓏(完凸),金メッキ4(同元素0),HP%+元素バフ+会心率,トーマ+鍾離+万葉,805897.6,947,570,36759.61,0.766,310,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),金メッキ4(同元素0),HP%+元素バフ+会心ダメージ,トーマ+鍾離+万葉,805897.6,947,570,36759.61,0.766,310,0.99:1.97,,0.38:0.85,1.6
古祠の瓏(完凸),しめ縄4,HP%+元素バフ+元素熟知,アルベド+トーマ+万葉,804872.4,1061.48,570,36759.61,0.766,392,0.83:1.66,,0.22:1.16,1.6
古祠の瓏(完凸),しめ縄4,元素熟知+元素バフ+会心率,アルベド+トーマ+万葉,804265.1,1061.48,570,29683.4,0.766,392,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),しめ縄4,元素熟知+元素バフ+会心ダメージ,アルベド+トーマ+万葉,804265.1,1061.48,570,29683.4,0.766,392,0.99:1.97,,0.38:0.85,1.6
サーフィンタイム,黒曜の秘典4,HP%+元素熟知+元素熟知,アルベド+トーマ+万葉,803889.3,1035,570,30078.21,0.45,499,1.00:2.13,,0.42:0.75,1.6
古祠の瓏(完凸),しめ縄4,HP%+元素熟知+会心率,アルベド+トーマ+万葉,803885.4,1061.48,570,36759.61,0.3,392,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),しめ縄4,HP%+元素熟知+会心ダメージ,アルベド+トーマ+万葉,803885.4,1061.48,570,36759.61,0.3,392,0.99:1.97,,0.38:0.85,1.6
サーフィンタイム,黒曜の秘典4,HP%+元素熟知+元素熟知,トーマ+鍾離+万葉,803819.7,1035,570,30078.21,0.45,374,1.00:2.13,,0.42:0.75,1.6
古祠の瓏(完凸),黒曜の秘典4,HP%+HP%+元素熟知,トーマ+鍾離+万葉,802039.3,947,570,43835.82,0.45,267,1.00:2.06,,0.02:1.56,1.6
サーフィンタイム,金メッキ4(同元素0),HP%+元素バフ+HP%,トーマ+鍾離+万葉,801737.9,1035,570,37154.42,0.766,230,0.87:1.73,,0.62:0.35,1.6
古祠の瓏(完凸),黒曜の秘典4,HP%+HP%+HP%,アルベド+トーマ+万葉,800627.5,947,570,50912.03,0.45,205,1.00:2.06,,0.02:1.56,1.6
サーフィンタイム,しめ縄4,HP%+HP%+会心ダメージ,アルベド+トーマ+万葉,799916,1165.32,570,37154.42,0.3,125,1.00:2.04,,0.78:0.04,1.6
サーフィンタイム,しめ縄4,HP%+HP%+会心率,アルベド+トーマ+万葉,799915.9,1165.32,570,37154.42,0.3,125,1.00:2.04,,0.47:0.66,1.6
古祠の瓏(完凸),黒曜の秘典4,HP%+元素バフ+元素熟知,エミリエ+トーマ+万葉,796084.4,947,570,36759.61,0.916,267,1.00:2.06,,0.02:1.56,1.6
古祠の瓏(完凸),黒曜の秘典4,HP%+元素バフ+元素熟知,トーマ+白朮+万葉,796084.4,947,570,36759.61,0.916,267,1.00:2.06,,0.02:1.56,1.6
古祠の瓏(完凸),黒曜の秘典4,HP%+元素バフ+元素熟知,トーマ+万葉,796084.4,947,570,36759.61,0.916,267,1.00:2.06,,0.02:1.56,1.6
サーフィンタイム,しめ縄4,HP%+元素熟知+会心ダメージ,アルベド+トーマ+万葉,794492.5,1165.32,570,30078.21,0.3,312,1.00:2.04,,0.78:0.04,1.6
サーフィンタイム,しめ縄4,HP%+元素熟知+会心率,アルベド+トーマ+万葉,794492.4,1165.32,570,30078.21,0.3,312,1.00:2.04,,0.47:0.66,1.6
古祠の瓏(完凸),沈淪4,HP%+元素バフ+HP%,アルベド+トーマ+万葉,792114.4,947,570,43835.82,0.916,205,0.83:1.66,,0.22:1.16,1.6
サーフィンタイム,金メッキ4(同元素0),HP%+HP%+HP%,アルベド+トーマ+万葉,790771.3,1035,570,44230.63,0.3,355,0.87:1.73,,0.62:0.35,1.6
サーフィンタイム,金メッキ4(同元素1),HP%+元素バフ+HP%,アルベド+トーマ+万葉,790337.1,1136.36,570,37154.42,0.766,305,0.87:1.73,,0.62:0.35,1.6
サーフィンタイム,沈淪4,HP%+HP%+元素熟知,アルベド+トーマ+万葉,789950.4,1035,570,37154.42,0.45,312,0.87:1.73,,0.62:0.35,1.6
