武器,聖遺物セット,聖遺物メイン,バフキャラ,合計期待値,一発目期待値,攻撃力,防御力,HP,バフ,熟知,率ダメ,聖遺物組み合わせ,サブステ,スコア
古祠の瓏(完凸),黒曜の秘典4,HP%+元素バフ+HP%,アルベド+トーマ+万葉,1240776,603570.6,947,570,43835.82,0.916,205,1.00:2.06,,0.02:1.56,1.6
古祠の瓏(完凸),黒曜の秘典4,HP%+元素バフ+元素熟知,アルベド+トーマ+万葉,1234669,600599.6,947,570,36759.61,0.916,392,1.00:2.06,,0.02:1.56,1.6
古祠の瓏(完凸),黒曜の秘典4,HP%+元素バフ+元素熟知,トーマ+鍾離+万葉,1206189,586745.6,947,570,36759.61,0.916,267,1.00:2.06,,0.02:1.56,1.6
サーフィンタイム,黒曜の秘典4,HP%+HP%+元素熟知,アルベド+トーマ+万葉,1205216,586272.6,1035,570,37154.42,0.45,312,1.00:2.13,,0.42:0.75,1.6
サーフィンタイム,黒曜の秘典4,HP%+元素バフ+HP%,アルベド+トーマ+万葉,1202420,584912.3,1035,570,37154.42,0.916,125,1.00:2.13,,0.42:0.75,1.6
サーフィンタイム,黒曜の秘典4,HP%+元素バフ+元素熟知,アルベド+トーマ+万葉,1194267,580946.6,1035,570,30078.21,0.916,312,1.00:2.13,,0.42:0.75,1.6
古祠の瓏(完凸),しめ縄4,HP%+元素バフ+会心率,アルベド+トーマ+万葉,1169998,569140.9,1061.48,570,36759.61,0.766,205,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),しめ縄4,HP%+元素バフ+会心ダメージ,アルベド+トーマ+万葉,1169998,569140.9,1061.48,570,36759.61,0.766,205,0.99:1.97,,0.38:0.85,1.6
サーフィンタイム,黒曜の秘典4,HP%+HP%+HP%,アルベド+トーマ+万葉,1169429,568863.9,1035,570,44230.63,0.45,125,1.00:2.13,,0.42:0.75,1.6
サーフィンタイム,黒曜の秘典4,HP%+HP%+元素熟知,トーマ+鍾離+万葉,1154406,561556.4,1035,570,37154.42,0.45,187,1.00:2.13,,0.42:0.75,1.6
サーフィンタイム,金メッキ4(同元素0),HP%+元素バフ+HP%,アルベド+トーマ+万葉,1149507,559173.2,1035,570,37154.42,0.766,355,0.87:1.73,,0.62:0.35,1.6
古祠の瓏(完凸),黒曜の秘典4,HP%+元素バフ+会心ダメージ,アルベド+トーマ+万葉,1146232,557580,947,570,36759.61,0.916,205,1.00:2.37,,0.18:1.25,1.6
古祠の瓏(完凸),沈淪4,HP%+元素バフ+会心率,アルベド+トーマ+万葉,1145785,557362.3,947,570,36759.61,0.916,205,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),沈淪4,HP%+元素バフ+会心ダメージ,アルベド+トーマ+万葉,1145785,557362.3,947,570,36759.61,0.916,205,0.99:1.97,,0.38:0.85,1.6
古祠の瓏(完凸),黒曜の秘典4,HP%+元素バフ+HP%,トーマ+鍾離+万葉,1144951,556956.9,947,570,43835.82,0.916,80,1.00:2.06,,0.02:1.56,1.6
サーフィンタイム,黒曜の秘典4,HP%+元素バフ+元素熟知,トーマ+鍾離+万葉,1143919,556455,1035,570,30078.21,0.916,187,1.00:2.13,,0.42:0.75,1.6
古祠の瓏(完凸),黒曜の秘典4,HP%+HP%+元素熟知,アルベド+トーマ+万葉,1140245,554667.9,947,570,43835.82,0.45,392,1.00:2.06,,0.02:1.56,1.6
古祠の瓏(完凸),金メッキ4(同元素0),HP%+元素バフ+会心率,アルベド+トーマ+万葉,1135858,552533.4,947,570,36759.61,0.766,435,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),金メッキ4(同元素0),HP%+元素バフ+会心ダメージ,アルベド+トーマ+万葉,1135858,552533.4,947,570,36759.61,0.766,435,0.99:1.97,,0.38:0.85,1.6
古祠の瓏(完凸),黒曜の秘典4,元素熟知+元素バフ+元素熟知,トーマ+鍾離+万葉,1132611,550954,947,570,29683.4,0.916,454,1.00:2.06,,0.02:1.56,1.6
サーフィンタイム,金メッキ4(同元素0),HP%+元素バフ+会心率,アルベド+トーマ+万葉,1132328,550816.5,1035,570,30078.21,0.766,355,1.00:2.04,,0.47:0.66,1.6
サーフィンタイム,金メッキ4(同元素0),HP%+元素バフ+会心ダメージ,アルベド+トーマ+万葉,1132328,550816.6,1035,570,30078.21,0.766,355,1.00:2.04,,0.78:0.04,1.6
古祠の瓏(完凸),しめ縄4,HP%+元素バフ+HP%,アルベド+トーマ+万葉,1127493,548464.7,1061.48,570,43835.82,0.766,205,0.83:1.66,,0.22:1.16,1.6
サーフィンタイム,金メッキ4(同元素0),HP%+HP%+会心率,アルベド+トーマ+万葉,1126682,548069.8,1035,570,37154.42,0.3,355,1.00:2.04,,0.47:0.66,1.6
サーフィンタイム,金メッキ4(同元素0),HP%+HP%+会心ダメージ,アルベド+トーマ+万葉,1126682,548069.9,1035,570,37154.42,0.3,355,1.00:2.04,,0.78:0.04,1.6
古祠の瓏(完凸),しめ縄4,HP%+HP%+会心率,アルベド+トーマ+万葉,1126111,547792.1,1061.48,570,43835.82,0.3,205,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),しめ縄4,HP%+HP%+会心ダメージ,アルベド+トーマ+万葉,1126111,547792.1,1061.48,570,43835.82,0.3,205,0.99:1.97,,0.38:0.85,1.6
サーフィンタイム,しめ縄4,HP%+HP%+元素熟知,アルベド+トーマ+万葉,1124276,546899.8,1165.32,570,37154.42,0.3,312,0.87:1.73,,0.62:0.35,1.6
古祠の瓏(完凸),黒曜の秘典4,元素熟知+元素バフ+元素熟知,アルベド+トーマ+万葉,1124166,546846.3,947,570,29683.4,0.916,579,1.00:2.06,,0.02:1.56,1.6
古祠の瓏(完凸),しめ縄4,HP%+元素バフ+元素熟知,アルベド+トーマ+万葉,1121943,545764.9,1061.48,570,36759.61,0.766,392,0.83:1.66,,0.22:1.16,1.6
古祠の瓏(完凸),しめ縄4,元素熟知+元素バフ+会心率,アルベド+トーマ+万葉,1121097,545353.1,1061.48,570,29683.4,0.766,392,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),しめ縄4,元素熟知+元素バフ+会心ダメージ,アルベド+トーマ+万葉,1121097,545353.1,1061.48,570,29683.4,0.766,392,0.99:1.97,,0.38:0.85,1.6
サーフィンタイム,黒曜の秘典4,HP%+元素熟知+元素熟知,アルベド+トーマ+万葉,1120573,545098.3,1035,570,30078.21,0.45,499,1.00:2.13,,0.42:0.75,1.6
古祠の瓏(完凸),しめ縄4,HP%+元素熟知+会心率,アルベド+トーマ+万葉,1120568,545095.6,1061.48,570,36759.61,0.3,392,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),しめ縄4,HP%+元素熟知+会心ダメージ,アルベド+トーマ+万葉,1120568,545095.6,1061.48,570,36759.61,0.3,392,0.99:1.97,,0.38:0.85,1.6
古祠の瓏(完凸),金メッキ4(同元素0),HP%+元素バフ+会心率,トーマ+鍾離+万葉,1119302,544480.1,947,570,36759.61,0.766,310,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),金メッキ4(同元素0),HP%+元素バフ+会心ダメージ,トーマ+鍾離+万葉,1119302,544480.1,947,570,36759.61,0.766,310,0.99:1.97,,0.38:0.85,1.6
サーフィンタイム,黒曜の秘典4,HP%+元素熟知+元素熟知,トーマ+鍾離+万葉,1116416,543076.3,1035,570,30078.21,0.45,374,1.00:2.13,,0.42:0.75,1.6
古祠の瓏(完凸),黒曜の秘典4,HP%+HP%+HP%,アルベド+トーマ+万葉,1116026,542886.6,947,570,50912.03,0.45,205,1.00:2.06,,0.02:1.56,1.6
