武器,聖遺物セット,聖遺物メイン,バフキャラ,合計期待値,一発目期待値,攻撃力,防御力,HP,共通バフ,通常バフ,熟知,率ダメ,聖遺物組み合わせ,サブステ,スコア
古祠の瓏,黒曜の秘典4,HP%+元素バフ+元素熟知,エミリエ+トーマ+鍾離,721755.4,351095.1,947,570,31900.41,0.616,0.15,227,1.00:2.06,,0.02:1.56,1.6
古祠の瓏,黒曜の秘典4,HP%+元素バフ+元素熟知,トーマ+鍾離,721755.4,351095.1,947,570,31900.41,0.616,0.15,227,1.00:2.06,,0.02:1.56,1.6
古祠の瓏,黒曜の秘典4,HP%+元素バフ+元素熟知,トーマ+鍾離+白朮,721755.4,351095.1,947,570,31900.41,0.616,0.15,227,1.00:2.06,,0.02:1.56,1.6
凛流の監視者,黒曜の秘典4,HP%+元素バフ+元素熟知,エミリエ+トーマ+鍾離,688324.3,334832.6,1303.96,570,27041.21,0.616,0.63,187,0.96:1.91,,0.09:1.41,1.6
凛流の監視者,黒曜の秘典4,HP%+元素バフ+元素熟知,トーマ+鍾離,688324.3,334832.6,1303.96,570,27041.21,0.616,0.63,187,0.96:1.91,,0.09:1.41,1.6
凛流の監視者,黒曜の秘典4,HP%+元素バフ+元素熟知,トーマ+鍾離+白朮,688324.3,334832.6,1303.96,570,27041.21,0.616,0.63,187,0.96:1.91,,0.09:1.41,1.6
凛流の監視者,黒曜の秘典4,HP%+HP%+元素熟知,エミリエ+トーマ+鍾離,688261.3,334802,1303.96,570,34117.42,0.15,0.63,187,0.96:1.91,,0.09:1.41,1.6
凛流の監視者,黒曜の秘典4,HP%+HP%+元素熟知,トーマ+鍾離,688261.3,334802,1303.96,570,34117.42,0.15,0.63,187,0.96:1.91,,0.09:1.41,1.6
凛流の監視者,黒曜の秘典4,HP%+HP%+元素熟知,トーマ+鍾離+白朮,688261.3,334802,1303.96,570,34117.42,0.15,0.63,187,0.96:1.91,,0.09:1.41,1.6
トゥライトゥーラの記憶,黒曜の秘典4,HP%+元素バフ+元素熟知,エミリエ+トーマ+鍾離,688091.6,334719.4,1167,570,27041.21,0.616,0.63,187,0.96:1.91,,0.31:0.97,1.6
トゥライトゥーラの記憶,黒曜の秘典4,HP%+元素バフ+元素熟知,トーマ+鍾離,688091.6,334719.4,1167,570,27041.21,0.616,0.63,187,0.96:1.91,,0.31:0.97,1.6
トゥライトゥーラの記憶,黒曜の秘典4,HP%+元素バフ+元素熟知,トーマ+鍾離+白朮,688091.6,334719.4,1167,570,27041.21,0.616,0.63,187,0.96:1.91,,0.31:0.97,1.6
トゥライトゥーラの記憶,黒曜の秘典4,HP%+HP%+元素熟知,エミリエ+トーマ+鍾離,688028.7,334688.8,1167,570,34117.42,0.15,0.63,187,0.96:1.91,,0.31:0.97,1.6
トゥライトゥーラの記憶,黒曜の秘典4,HP%+HP%+元素熟知,トーマ+鍾離,688028.7,334688.8,1167,570,34117.42,0.15,0.63,187,0.96:1.91,,0.31:0.97,1.6
