武器,聖遺物セット,聖遺物メイン,バフキャラ,合計期待値,一発目期待値,攻撃力,防御力,HP,バフ,熟知,率ダメ,聖遺物組み合わせ,サブステ,スコア
古祠の瓏,黒曜の秘典4,HP%+元素バフ+HP%,アルベド+トーマ+万葉,1052806,512133.3,947,570,38976.62,0.916,165,1.00:2.06,,0.02:1.56,1.6
古祠の瓏,黒曜の秘典4,HP%+元素バフ+元素熟知,アルベド+トーマ+万葉,1038438,505144,947,570,31900.41,0.916,352,1.00:2.06,,0.02:1.56,1.6
古祠の瓏,黒曜の秘典4,HP%+元素バフ+元素熟知,トーマ+鍾離+万葉,1005195,488973.2,947,570,31900.41,0.916,227,1.00:2.06,,0.02:1.56,1.6
凛流の監視者,黒曜の秘典4,HP%+HP%+元素熟知,アルベド+トーマ+万葉,999593.9,486248.6,1303.96,570,34117.42,0.45,312,0.96:1.91,,0.09:1.41,1.6
トゥライトゥーラの記憶,黒曜の秘典4,HP%+HP%+元素熟知,アルベド+トーマ+万葉,999256.1,486084.2,1167,570,34117.42,0.45,312,0.96:1.91,,0.31:0.97,1.6
流浪完凸(期待値),黒曜の秘典4,HP%+元素バフ+HP%,アルベド+トーマ+万葉,998159.8,485550.9,1141.4,570,34117.42,1.076,205,0.98:1.97,,0.34:0.92,1.6
凛流の監視者,黒曜の秘典4,HP%+元素バフ+HP%,アルベド+トーマ+万葉,997274.6,485120.3,1303.96,570,34117.42,0.916,125,0.96:1.91,,0.09:1.41,1.6
トゥライトゥーラの記憶,黒曜の秘典4,HP%+元素バフ+HP%,アルベド+トーマ+万葉,996937.4,484956.3,1167,570,34117.42,0.916,125,0.96:1.91,,0.31:0.97,1.6
凛流の監視者,黒曜の秘典4,HP%+HP%+HP%,アルベド+トーマ+万葉,983724.8,478529,1303.96,570,41193.63,0.45,125,0.96:1.91,,0.09:1.41,1.6
トゥライトゥーラの記憶,黒曜の秘典4,HP%+HP%+HP%,アルベド+トーマ+万葉,983392.3,478367.3,1167,570,41193.63,0.45,125,0.96:1.91,,0.31:0.97,1.6
古祠の瓏,黒曜の秘典4,HP%+HP%+元素熟知,アルベド+トーマ+万葉,982603,477983.3,947,570,38976.62,0.45,352,1.00:2.06,,0.02:1.56,1.6
凛流の監視者,黒曜の秘典4,HP%+元素バフ+元素熟知,アルベド+トーマ+万葉,969769.8,471740.7,1303.96,570,27041.21,0.916,312,0.96:1.91,,0.09:1.41,1.6
トゥライトゥーラの記憶,黒曜の秘典4,HP%+元素バフ+元素熟知,アルベド+トーマ+万葉,969441.9,471581.2,1167,570,27041.21,0.916,312,0.96:1.91,,0.31:0.97,1.6
古祠の瓏,しめ縄4,HP%+元素バフ+会心率,アルベド+トーマ+万葉,968925.4,471329.9,1061.48,570,31900.41,0.766,165,0.99:1.97,,0.06:1.47,1.6
古祠の瓏,しめ縄4,HP%+元素バフ+会心ダメージ,アルベド+トーマ+万葉,968925.4,471329.9,1061.48,570,31900.41,0.766,165,0.99:1.97,,0.38:0.85,1.6
ヤチュシェの環(完凸),黒曜の秘典4,HP%+元素バフ+会心率,アルベド+トーマ+万葉,968414.6,471081.4,1003,570,33312.61,0.916,125,1.00:2.00,,0.05:1.50,1.6
ヤチュシェの環(完凸),黒曜の秘典4,HP%+元素バフ+会心ダメージ,アルベド+トーマ+万葉,968414.6,471081.4,1003,570,33312.61,0.916,125,1.00:2.00,,0.36:0.88,1.6
古祠の瓏,黒曜の秘典4,HP%+HP%+HP%,アルベド+トーマ+万葉,963363.3,468624.3,947,570,46052.83,0.45,165,1.00:2.06,,0.02:1.56,1.6
ヤチュシェの環(完凸),黒曜の秘典4,HP%+元素バフ+元素熟知,アルベド+トーマ+万葉,961993.2,467957.8,1003,570,33312.61,0.916,312,0.85:1.69,,0.20:1.19,1.6
久遠流転の大典,黒曜の秘典4,HP%+元素バフ+HP%,アルベド+トーマ+万葉,959775.1,466878.8,1035,570,36547.02,0.916,125,1.00:2.13,,0.42:0.75,1.6
古祠の瓏,金メッキ4(同元素0),HP%+元素バフ+会心率,アルベド+トーマ+万葉,957641.6,465841,947,570,31900.41,0.766,395,0.99:1.97,,0.06:1.47,1.6
古祠の瓏,金メッキ4(同元素0),HP%+元素バフ+会心ダメージ,アルベド+トーマ+万葉,957641.6,465841,947,570,31900.41,0.766,395,0.99:1.97,,0.38:0.85,1.6
凛流の監視者,黒曜の秘典4,HP%+HP%+元素熟知,トーマ+鍾離+万葉,957452.9,465749.2,1303.96,570,34117.42,0.45,187,0.96:1.91,,0.09:1.41,1.6
トゥライトゥーラの記憶,黒曜の秘典4,HP%+HP%+元素熟知,トーマ+鍾離+万葉,957129.3,465591.8,1167,570,34117.42,0.45,187,0.96:1.91,,0.31:0.97,1.6
古祠の瓏,しめ縄4,HP%+元素バフ+HP%,アルベド+トーマ+万葉,956684.8,465375.6,1061.48,570,38976.62,0.766,165,0.83:1.66,,0.22:1.16,1.6
ヤチュシェの環(完凸),黒曜の秘典4,HP%+元素熟知+会心率,アルベド+トーマ+万葉,956083.9,465083.3,1003,570,33312.61,0.45,312,1.00:2.00,,0.05:1.50,1.6
ヤチュシェの環(完凸),黒曜の秘典4,HP%+元素熟知+会心ダメージ,アルベド+トーマ+万葉,956083.9,465083.3,1003,570,33312.61,0.45,312,1.00:2.00,,0.36:0.88,1.6
古祠の瓏,しめ縄4,HP%+HP%+会心率,アルベド+トーマ+万葉,955511.6,464804.8,1061.48,570,38976.62,0.3,165,0.99:1.97,,0.06:1.47,1.6
古祠の瓏,しめ縄4,HP%+HP%+会心ダメージ,アルベド+トーマ+万葉,955511.6,464804.8,1061.48,570,38976.62,0.3,165,0.99:1.97,,0.38:0.85,1.6
古祠の瓏,黒曜の秘典4,HP%+元素バフ+HP%,トーマ+鍾離+万葉,953427.8,463791.2,947,570,38976.62,0.916,40,1.00:2.06,,0.02:1.56,1.6
流浪完凸(期待値),黒曜の秘典4,HP%+HP%+HP%,アルベド+トーマ+万葉,952887.2,463528.2,1141.4,570,41193.63,0.61,205,0.98:1.97,,0.34:0.92,1.6
古祠の瓏,黒曜の秘典4,HP%+HP%+元素熟知,トーマ+鍾離+万葉,951147.7,462682.1,947,570,38976.62,0.45,227,1.00:2.06,,0.02:1.56,1.6
ヤチュシェの環(完凸),黒曜の秘典4,HP%+元素バフ+HP%,アルベド+トーマ+万葉,950649.9,462439.9,1003,570,40388.82,0.916,125,0.85:1.69,,0.20:1.19,1.6
久遠流転の大典,黒曜の秘典4,HP%+元素バフ+元素熟知,アルベド+トーマ+万葉,949540.5,461900.3,1035,570,29470.81,0.916,312,1.00:2.13,,0.42:0.75,1.6
古祠の瓏,黒曜の秘典4,HP%+元素バフ+会心ダメージ,アルベド+トーマ+万葉,949243.8,461755.9,947,570,31900.41,0.916,165,1.00:2.37,,0.18:1.25,1.6
古祠の瓏,沈淪4,HP%+元素バフ+会心率,アルベド+トーマ+万葉,948873.1,461575.6,947,570,31900.41,0.916,165,0.99:1.97,,0.06:1.47,1.6
古祠の瓏,沈淪4,HP%+元素バフ+会心ダメージ,アルベド+トーマ+万葉,948873.1,461575.6,947,570,31900.41,0.916,165,0.99:1.97,,0.38:0.85,1.6
古祠の瓏,金メッキ4(同元素0),HP%+元素バフ+HP%,アルベド+トーマ+万葉,945543.6,459955.9,947,570,38976.62,0.766,395,0.83:1.66,,0.22:1.16,1.6
ヤチュシェの環(完凸),黒曜の秘典4,HP%+HP%+会心率,アルベド+トーマ+万葉,944810.3,459599.2,1003,570,40388.82,0.45,125,1.00:2.00,,0.05:1.50,1.6
ヤチュシェの環(完凸),黒曜の秘典4,HP%+HP%+会心ダメージ,アルベド+トーマ+万葉,944810.3,459599.2,1003,570,40388.82,0.45,125,1.00:2.00,,0.36:0.88,1.6
古祠の瓏,しめ縄4,HP%+元素バフ+元素熟知,アルベド+トーマ+万葉,943628.5,459024.3,1061.48,570,31900.41,0.766,352,0.83:1.66,,0.22:1.16,1.6
古祠の瓏,しめ縄4,HP%+元素熟知+会心率,アルベド+トーマ+万葉,942471.2,458461.4,1061.48,570,31900.41,0.3,352,0.99:1.97,,0.06:1.47,1.6
古祠の瓏,しめ縄4,HP%+元素熟知+会心ダメージ,アルベド+トーマ+万葉,942471.2,458461.4,1061.48,570,31900.41,0.3,352,0.99:1.97,,0.38:0.85,1.6
流浪完凸(期待値),黒曜の秘典4,HP%+元素バフ+元素熟知,アルベド+トーマ+万葉,938783.1,456667.3,1141.4,570,27041.21,1.076,392,0.98:1.97,,0.34:0.92,1.6
ヤチュシェの環(完凸),黒曜の秘典4,HP%+HP%+元素熟知,アルベド+トーマ+万葉,938545.5,456551.8,1003,570,40388.82,0.45,312,0.85:1.69,,0.20:1.19,1.6
古祠の瓏,沈淪4,HP%+元素バフ+HP%,アルベド+トーマ+万葉,936885.8,455744.4,947,570,38976.62,0.916,165,0.83:1.66,,0.22:1.16,1.6
流浪完凸(期待値),黒曜の秘典4,HP%+HP%+元素熟知,アルベド+トーマ+万葉,936489.3,455551.5,1141.4,570,34117.42,0.61,392,0.98:1.97,,0.34:0.92,1.6
古祠の瓏,金メッキ4(同元素0),HP%+元素バフ+会心率,トーマ+鍾離+万葉,936153.1,455388,947,570,31900.41,0.766,270,0.99:1.97,,0.06:1.47,1.6
古祠の瓏,金メッキ4(同元素0),HP%+元素バフ+会心ダメージ,トーマ+鍾離+万葉,936153.1,455388,947,570,31900.41,0.766,270,0.99:1.97,,0.38:0.85,1.6
ヤチュシェの環(完凸),黒曜の秘典4,元素熟知+元素バフ+会心率,アルベド+トーマ+万葉,935752.2,455192.9,1003,570,26236.4,0.916,312,1.00:2.00,,0.05:1.50,1.6
ヤチュシェの環(完凸),黒曜の秘典4,元素熟知+元素バフ+会心ダメージ,アルベド+トーマ+万葉,935752.2,455192.9,1003,570,26236.4,0.916,312,1.00:2.00,,0.36:0.88,1.6
古祠の瓏,沈淪4,HP%+HP%+会心率,アルベド+トーマ+万葉,931011.3,452886.8,947,570,38976.62,0.45,165,0.99:1.97,,0.06:1.47,1.6
古祠の瓏,沈淪4,HP%+HP%+会心ダメージ,アルベド+トーマ+万葉,931011.3,452886.8,947,570,38976.62,0.45,165,0.99:1.97,,0.38:0.85,1.6
古祠の瓏,しめ縄4,HP%+HP%+元素熟知,アルベド+トーマ+万葉,930564.8,452669.6,1061.48,570,38976.62,0.3,352,0.83:1.66,,0.22:1.16,1.6
凛流の監視者,黒曜の秘典4,HP%+元素バフ+元素熟知,トーマ+鍾離+万葉,928886.1,451853,1303.96,570,27041.21,0.916,187,0.96:1.91,,0.09:1.41,1.6
トゥライトゥーラの記憶,黒曜の秘典4,HP%+元素バフ+元素熟知,トーマ+鍾離+万葉,928572.1,451700.2,1167,570,27041.21,0.916,187,0.96:1.91,,0.31:0.97,1.6
凛流の監視者,黒曜の秘典4,HP%+HP%+会心ダメージ,アルベド+トーマ+万葉,928242.3,451539.8,1303.96,570,34117.42,0.45,125,1.00:2.22,,0.25:1.10,1.6
トゥライトゥーラの記憶,黒曜の秘典4,HP%+HP%+会心率,アルベド+トーマ+万葉,928098.3,451469.8,1167,570,34117.42,0.45,125,1.00:2.22,,0.16:1.28,1.6
トゥライトゥーラの記憶,黒曜の秘典4,HP%+HP%+会心ダメージ,アルベド+トーマ+万葉,928098.3,451469.8,1167,570,34117.42,0.45,125,1.00:2.22,,0.47:0.66,1.6
古祠の瓏,黒曜の秘典4,HP%+元素バフ+元素熟知,エミリエ+トーマ+万葉,924779.5,449855.3,947,570,31900.41,0.916,227,1.00:2.06,,0.02:1.56,1.6
古祠の瓏,黒曜の秘典4,HP%+元素バフ+元素熟知,トーマ+白朮+万葉,924779.5,449855.3,947,570,31900.41,0.916,227,1.00:2.06,,0.02:1.56,1.6
古祠の瓏,黒曜の秘典4,HP%+元素バフ+元素熟知,トーマ+万葉,924779.5,449855.3,947,570,31900.41,0.916,227,1.00:2.06,,0.02:1.56,1.6
古祠の瓏,金メッキ4(同元素0),HP%+元素バフ+HP%,トーマ+鍾離+万葉,924326.5,449635,947,570,38976.62,0.766,270,0.83:1.66,,0.22:1.16,1.6
古祠の瓏,沈淪4,HP%+元素バフ+元素熟知,アルベド+トーマ+万葉,924099.8,449524.7,947,570,31900.41,0.916,352,0.83:1.66,,0.22:1.16,1.6
ヤチュシェの環(完凸),黒曜の秘典4,HP%+元素バフ+元素熟知,トーマ+鍾離+万葉,921437.4,448229.6,1003,570,33312.61,0.916,187,0.85:1.69,,0.20:1.19,1.6
古祠の瓏,黒曜の秘典4,元素熟知+元素バフ+元素熟知,トーマ+鍾離+万葉,921126.7,448078.4,947,570,24824.2,0.916,414,1.00:2.06,,0.02:1.56,1.6
流浪完凸(期待値),黒曜の秘典4,HP%+元素バフ+HP%,トーマ+鍾離+万葉,921071.9,448051.8,1141.4,570,34117.42,1.076,80,0.98:1.97,,0.34:0.92,1.6
古祠の瓏,金メッキ4(同元素1),HP%+元素バフ+会心率,アルベド+トーマ+万葉,920746.3,447893.4,1036.04,570,31900.41,0.766,345,0.99:1.97,,0.06:1.47,1.6
古祠の瓏,金メッキ4(同元素1),HP%+元素バフ+会心ダメージ,アルベド+トーマ+万葉,920746.3,447893.4,1036.04,570,31900.41,0.766,345,0.99:1.97,,0.38:0.85,1.6
古祠の瓏,花海+楽団,HP%+元素バフ+会心率,アルベド+トーマ+万葉,920218.6,447636.8,947,570,34937.41,0.766,245,0.99:1.97,,0.06:1.47,1.6
古祠の瓏,花海+楽団,HP%+元素バフ+会心ダメージ,アルベド+トーマ+万葉,920218.6,447636.8,947,570,34937.41,0.766,245,0.99:1.97,,0.38:0.85,1.6
古祠の瓏,花海+金メッキ,HP%+元素バフ+会心率,アルベド+トーマ+万葉,920218.6,447636.8,947,570,34937.41,0.766,245,0.99:1.97,,0.06:1.47,1.6
古祠の瓏,花海+金メッキ,HP%+元素バフ+会心ダメージ,アルベド+トーマ+万葉,920218.6,447636.8,947,570,34937.41,0.766,245,0.99:1.97,,0.38:0.85,1.6
古祠の瓏,楽団+千岩,HP%+元素バフ+会心率,アルベド+トーマ+万葉,920218.6,447636.8,947,570,34937.41,0.766,245,0.99:1.97,,0.06:1.47,1.6
古祠の瓏,楽団+千岩,HP%+元素バフ+会心ダメージ,アルベド+トーマ+万葉,920218.6,447636.8,947,570,34937.41,0.766,245,0.99:1.97,,0.38:0.85,1.6
古祠の瓏,金メッキ+千岩,HP%+元素バフ+会心率,アルベド+トーマ+万葉,920218.6,447636.8,947,570,34937.41,0.766,245,0.99:1.97,,0.06:1.47,1.6
古祠の瓏,金メッキ+千岩,HP%+元素バフ+会心ダメージ,アルベド+トーマ+万葉,920218.6,447636.8,947,570,34937.41,0.766,245,0.99:1.97,,0.38:0.85,1.6
古祠の瓏,黒曜の秘典4,元素熟知+元素バフ+元素熟知,アルベド+トーマ+万葉,919114.7,447099.7,947,570,24824.2,0.916,539,1.00:2.06,,0.02:1.56,1.6
古祠の瓏,沈淪4,HP%+元素熟知+会心率,アルベド+トーマ+万葉,918305.3,446706,947,570,31900.41,0.45,352,0.99:1.97,,0.06:1.47,1.6
