武器,聖遺物セット,聖遺物メイン,バフキャラ,合計期待値,攻撃力,加算,バフ合計,バフ共通,元素バフ,バフ通常,耐性ダウン,パーティ元素,熟知,率ダメ,サブステ,スコア
裁断,ファントム4,攻撃%+岩バフ+会心ダメージ,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+ベネット(西風、旧貴族),306106,3481,0,2.626,0.9,0.4,0.55,0,Pyro:1、Hydro:1、Geo:2、,0,0.94:1.88,0.31:0.38,1
裁断,ファントム4,攻撃%+岩バフ+会心率,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+ベネット(西風、旧貴族),306106,3481,0,2.626,0.9,0.4,0.55,0,Pyro:1、Hydro:1、Geo:2、,0,0.94:1.88,0.00:1.00,1
裁断,ファントム4,攻撃%+攻撃%+会心ダメージ,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+ベネット(西風、旧貴族),303408,3959,0,2.16,0.9,0.4,0.55,0,Pyro:1、Hydro:1、Geo:2、,0,0.94:1.88,0.31:0.38,1
裁断,ファントム4,攻撃%+攻撃%+会心率,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+ベネット(西風、旧貴族),303408,3959,0,2.16,0.9,0.4,0.55,0,Pyro:1、Hydro:1、Geo:2、,0,0.94:1.88,0.00:1.00,1
裁断,残響4,攻撃%+攻撃%+会心ダメージ,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+ベネット(西風、旧貴族),286493,4144,0,2.66,0.9,0.4,0.4,0,Pyro:1、Hydro:1、Geo:2、,0,0.76:1.52,0.49:0.02,1
裁断,残響4,攻撃%+攻撃%+会心率,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+ベネット(西風、旧貴族),286493,4144,0,2.66,0.9,0.4,0.4,0,Pyro:1、Hydro:1、Geo:2、,0,0.76:1.52,0.18:0.64,1
裁断,残響4,攻撃%+岩バフ+会心ダメージ,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+ベネット(西風、旧貴族),285704,3666,0,3.126,0.9,0.4,0.4,0,Pyro:1、Hydro:1、Geo:2、,0,0.76:1.52,0.49:0.02,1
裁断,残響4,攻撃%+岩バフ+会心率,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+ベネット(西風、旧貴族),285704,3666,0,3.126,0.9,0.4,0.4,0,Pyro:1、Hydro:1、Geo:2、,0,0.76:1.52,0.18:0.64,1
裁断,辰砂4,攻撃%+岩バフ+会心ダメージ,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+ベネット(西風、旧貴族),284815,4158,0,2.626,0.9,0.4,0.4,0,Pyro:1、Hydro:1、Geo:2、,0,0.76:1.52,0.49:0.02,1
裁断,辰砂4,攻撃%+岩バフ+会心率,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+ベネット(西風、旧貴族),284815,4158,0,2.626,0.9,0.4,0.4,0,Pyro:1、Hydro:1、Geo:2、,0,0.76:1.52,0.18:0.64,1
葦海の標(1_スキル命中or被ダメ),ファントム4,攻撃%+岩バフ+会心ダメージ,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+ベネット(西風、旧貴族),284152,3331,0,2.266,0.9,0.4,0.55,0,Pyro:1、Hydro:1、Geo:2、,0,1.00:1.99,0.26:0.49,1
裁断,ファントム4,攻撃%+岩バフ+攻撃%,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+ベネット(西風、旧貴族),280702,3959,0,2.626,0.9,0.4,0.55,0,Pyro:1、Hydro:1、Geo:2、,0,0.79:1.57,0.16:0.69,1
