武器,聖遺物セット,聖遺物メイン,バフキャラ,合計期待値,一発目期待値,攻撃力,防御力,HP,共通バフ,通常バフ,熟知,率ダメ,聖遺物組み合わせ,サブステ,スコア
久遠流転の大典,ファントム4,HP%+元素バフ+HP%,鍾離+白朮+万葉,41907.38,41907.38,1061,576,35521.94,1.066,0.15,0,1.00:2.09,,0.64:0.33,1.6
古祠の瓏(完凸),ファントム4,HP%+元素バフ+HP%,鍾離+白朮+万葉,41229.25,41229.25,973,576,42575.54,1.066,0.15,80,1.00:2.02,,0.23:1.14,1.6
久遠流転の大典,ファントム4,HP%+HP%+HP%,鍾離+白朮+万葉,41149.52,41149.52,1061,576,42369.81,0.6,0.15,0,1.00:2.09,,0.64:0.33,1.6
久遠流転の大典,ファントム4,HP%+元素バフ+HP%,フリーナ+鍾離+万葉,40922.92,40922.92,1061,576,39195.69,1.416,0.15,0,1.00:2.09,,0.64:0.33,1.6
久遠流転の大典,ファントム4,HP%+HP%+HP%,フリーナ+鍾離+万葉,40570.27,40570.27,1061,576,46043.56,0.95,0.15,0,1.00:2.09,,0.64:0.33,1.6
古祠の瓏(完凸),ファントム4,HP%+元素バフ+HP%,フリーナ+鍾離+万葉,40516.06,40516.06,973,576,46249.29,1.416,0.15,80,1.00:2.02,,0.23:1.14,1.6
久遠流転の大典,沈淪4,HP%+HP%+会心率,鍾離+白朮+万葉,38646.21,38646.21,1061,576,35521.94,0.75,0.3,0,1.00:2.04,,0.66:0.28,1.6
久遠流転の大典,ファントム4,HP%+元素バフ+HP%,アルベド+白朮+万葉,38554.79,38554.79,1061,576,35521.94,1.066,0.15,125,1.00:2.09,,0.64:0.33,1.6
久遠流転の大典,沈淪4,HP%+HP%+会心ダメージ,鍾離+白朮+万葉,38465.93,38465.93,1061,576,35521.94,0.75,0.3,0,0.85:2.39,,0.80:0.00,1.6
古祠の瓏(完凸),沈淪4,HP%+元素バフ+会心率,鍾離+白朮+万葉,38272.66,38272.66,973,576,35727.67,1.216,0.3,80,0.99:1.97,,0.26:1.09,1.6
古祠の瓏(完凸),沈淪4,HP%+元素バフ+会心ダメージ,鍾離+白朮+万葉,38272.66,38272.66,973,576,35727.67,1.216,0.3,80,0.99:1.97,,0.57:0.47,1.6
古祠の瓏(完凸),ファントム4,HP%+元素バフ+会心率,鍾離+白朮+万葉,38160.81,38160.81,973,576,35727.67,1.066,0.15,80,1.00:2.33,,0.08:1.45,1.6
