武器,聖遺物セット,聖遺物メイン,バフキャラ,合計期待値,攻撃力,HP,バフ,会心ダメ期待値,熟知,率ダメ,会心ダメ比率,聖遺物組み合わせ,サブステ,サブHP%,サブHP,スコア
赤角石塵滅砕,華館4,防御%、元素バフ、会心率,ゴロー+鍾離+雲菫,147689.9,4314.308,4792.071,1.056,3.104,0,1.00:2.10,2.10,a,0.639,0,0,0
赤角石塵滅砕,華館4,防御%、元素バフ、会心ダメージ,ゴロー+鍾離+雲菫,144806.5,4314.308,4792.071,1.056,3.0434,0,0.85:2.40,2.83,a,0.8,0,0,0
赤角石塵滅砕,剣闘士4,防御%、元素バフ、会心率,ゴロー+鍾離+雲菫,142128.8,3937.125,4792.071,0.816,3.104,0,1.00:2.10,2.10,a,0.639,0,0,0
赤角石塵滅砕,砂上4,防御%、元素バフ、会心率,ゴロー+鍾離+雲菫,141597.9,3805.185,4792.071,0.816,3.104,0,1.00:2.10,2.10,a,0.639,0,0,0
赤角石塵滅砕,華館4,攻撃%、元素バフ、会心率,ゴロー+鍾離+雲菫,139462.8,4106.221,4792.071,1.056,3.104,0,1.00:2.10,2.10,a,0.639,0,0,0
赤角石塵滅砕,剣闘士4,防御%、元素バフ、会心ダメージ,ゴロー+鍾離+雲菫,139354,3937.125,4792.071,0.816,3.0434,0,0.85:2.40,2.83,a,0.8,0,0,0
赤角石塵滅砕,砂上4,防御%、元素バフ、会心ダメージ,ゴロー+鍾離+雲菫,138833.5,3805.185,4792.071,0.816,3.0434,0,0.85:2.40,2.83,a,0.8,0,0,0
赤角石塵滅砕,華館4,攻撃%、元素バフ、会心ダメージ,ゴロー+鍾離+雲菫,136740,4106.221,4792.071,1.056,3.0434,0,0.85:2.40,2.83,a,0.8,0,0,0
赤角石塵滅砕,沈淪4,防御%、元素バフ、会心率,ゴロー+鍾離+雲菫,135613.3,3805.185,4792.071,0.816,3.104,0,1.00:2.10,2.10,a,0.639,0,0,0
赤角石塵滅砕,華館+悠久,防御%、元素バフ、会心率,ゴロー+鍾離+雲菫,134985.2,4088.031,4792.071,0.966,3.104,0,1.00:2.10,2.10,a,0.639,0,0,0
赤角石塵滅砕,華館+ファントム,防御%、元素バフ、会心率,ゴロー+鍾離+雲菫,134985.2,4088.031,4792.071,0.816,3.104,0,1.00:2.10,2.10,a,0.639,0,0,0
螭龍の剣(完凸),華館4,防御%、元素バフ、会心率,ゴロー+鍾離+雲菫,134821.3,4018.318,4792.071,1.556,2.780385,0,0.94:1.89,2.00,a,0.3065,0,0,0
螭龍の剣(完凸),華館4,防御%、元素バフ、会心ダメージ,ゴロー+鍾離+雲菫,134821.3,4018.318,4792.071,1.556,2.780385,0,0.94:1.89,2.00,a,0.6175,0,0,0
赤角石塵滅砕,剣闘士4,攻撃%、元素バフ、会心率,ゴロー+鍾離+雲菫,133491.5,3729.039,4792.071,0.816,3.104,0,1.00:2.10,2.10,a,0.639,0,0,0
赤角石塵滅砕,華館4,防御%、元素バフ、防御%,ゴロー+鍾離+雲菫,133354.4,4863.972,4792.071,1.056,2.5147,0,0.85:1.78,2.10,a,0.8,0,0,0
赤角石塵滅砕,ファントムハンター,防御%、元素バフ、会心率,ゴロー+フリーナ+閑雲,133201.1,3805.185,4792.071,1.466,3.424,0,1.00:2.42,2.42,a,0.279,0,0,0
赤角石塵滅砕,ファントムハンター,防御%、元素バフ、会心ダメージ,ゴロー+フリーナ+閑雲,133201.1,3805.185,4792.071,1.466,3.424,0,1.00:2.42,2.42,a,0.59,0,0,0
赤角石塵滅砕,沈淪4,防御%、元素バフ、会心ダメージ,ゴロー+鍾離+雲菫,132965.6,3805.185,4792.071,0.816,3.0434,0,0.85:2.40,2.83,a,0.8,0,0,0
赤角石塵滅砕,砂上4,攻撃%、元素バフ、会心率,ゴロー+鍾離+雲菫,132774.1,3597.099,4792.071,0.816,3.104,0,1.00:2.10,2.10,a,0.639,0,0,0
赤角石塵滅砕,華館+悠久,防御%、元素バフ、会心ダメージ,ゴロー+鍾離+雲菫,132349.9,4088.031,4792.071,0.966,3.0434,0,0.85:2.40,2.83,a,0.8,0,0,0
赤角石塵滅砕,華館+ファントム,防御%、元素バフ、会心ダメージ,ゴロー+鍾離+雲菫,132349.9,4088.031,4792.071,0.816,3.0434,0,0.85:2.40,2.83,a,0.8,0,0,0
赤角石塵滅砕,剣闘士4,攻撃%、元素バフ、会心ダメージ,ゴロー+鍾離+雲菫,130885.3,3729.039,4792.071,0.816,3.0434,0,0.85:2.40,2.83,a,0.8,0,0,0
赤角石塵滅砕,華館4,HP%、元素バフ、会心率,ゴロー+鍾離+雲菫,130774.8,3764.643,4797.696,1.056,3.104,0,1.00:2.10,2.10,a,0.639,0,0,0
赤角石塵滅砕,華館4,元素熟知、元素バフ、会心率,ゴロー+鍾離+雲菫,130774.8,3764.643,4792.071,1.056,3.104,187,1.00:2.10,2.10,a,0.639,0,0,0
赤角石塵滅砕,華館4,元チャ、元素バフ、会心率,ゴロー+鍾離+雲菫,130774.8,3764.643,4792.071,1.056,3.104,0,1.00:2.10,2.10,a,0.639,0,0,0
赤角石塵滅砕,砂上4,攻撃%、元素バフ、会心ダメージ,ゴロー+鍾離+雲菫,130182,3597.099,4792.071,0.816,3.0434,0,0.85:2.40,2.83,a,0.8,0,0,0
赤角石塵滅砕,華館4,防御%、防御%、会心率,ゴロー+鍾離+雲菫,129833.4,4863.972,4792.071,0.59,3.104,0,1.00:2.10,2.10,a,0.639,0,0,0
赤角石塵滅砕,剣闘士4,防御%、元素バフ、防御%,ゴロー+鍾離+雲菫,129532.4,4486.789,4792.071,0.816,2.5147,0,0.85:1.78,2.10,a,0.8,0,0,0
赤角石塵滅砕,砂上4,防御%、元素バフ、防御%,ゴロー+鍾離+雲菫,129412.9,4354.849,4792.071,0.816,2.5147,0,0.85:1.78,2.10,a,0.8,0,0,0
螭龍の剣(完凸),剣闘士4,防御%、元素バフ、会心率,ゴロー+鍾離+雲菫,129164.7,3635.375,4792.071,1.316,2.780385,0,0.94:1.89,2.00,a,0.3065,0,0,0
螭龍の剣(完凸),剣闘士4,防御%、元素バフ、会心ダメージ,ゴロー+鍾離+雲菫,129164.7,3635.375,4792.071,1.316,2.780385,0,0.94:1.89,2.00,a,0.6175,0,0,0
赤角石塵滅砕,辰砂4,防御%、元素バフ、会心率,ゴロー+鍾離+雲菫,128625.3,4288.965,4792.071,0.816,3.104,0,1.00:2.10,2.10,a,0.639,0,0,0
螭龍の剣(完凸),華館4,攻撃%、元素バフ、会心率,ゴロー+鍾離+雲菫,128589.1,3795.32,4792.071,1.556,2.780385,0,0.94:1.89,2.00,a,0.3065,0,0,0
螭龍の剣(完凸),華館4,攻撃%、元素バフ、会心ダメージ,ゴロー+鍾離+雲菫,128589.1,3795.32,4792.071,1.556,2.780385,0,0.94:1.89,2.00,a,0.6175,0,0,0
赤角石塵滅砕,砂上4,防御%、防御%、会心率,ゴロー+鍾離+雲菫,128278,4354.849,4792.071,0.35,3.104,0,1.00:2.10,2.10,a,0.639,0,0,0
赤角石塵滅砕,華館4,HP%、元素バフ、会心ダメージ,ゴロー+鍾離+雲菫,128221.7,3764.643,4797.696,1.056,3.0434,0,0.85:2.40,2.83,a,0.8,0,0,0
赤角石塵滅砕,華館4,元素熟知、元素バフ、会心ダメージ,ゴロー+鍾離+雲菫,128221.7,3764.643,4792.071,1.056,3.0434,187,0.85:2.40,2.83,a,0.8,0,0,0
赤角石塵滅砕,華館4,元チャ、元素バフ、会心ダメージ,ゴロー+鍾離+雲菫,128221.7,3764.643,4792.071,1.056,3.0434,0,0.85:2.40,2.83,a,0.8,0,0,0
螭龍の剣(完凸),砂上4,防御%、元素バフ、会心率,ゴロー+鍾離+雲菫,127723.3,3509.195,4792.071,1.316,2.780385,0,0.94:1.89,2.00,a,0.3065,0,0,0
螭龍の剣(完凸),砂上4,防御%、元素バフ、会心ダメージ,ゴロー+鍾離+雲菫,127723.3,3509.195,4792.071,1.316,2.780385,0,0.94:1.89,2.00,a,0.6175,0,0,0
赤角石塵滅砕,剣闘士4,防御%、防御%、会心率,ゴロー+鍾離+雲菫,127716.5,4486.789,4792.071,0.35,3.104,0,1.00:2.10,2.10,a,0.639,0,0,0
赤角石塵滅砕,華館4,防御%、防御%、会心ダメージ,ゴロー+鍾離+雲菫,127298.7,4863.972,4792.071,0.59,3.0434,0,0.85:2.40,2.83,a,0.8,0,0,0
赤角石塵滅砕,沈淪4,攻撃%、元素バフ、会心率,ゴロー+鍾離+雲菫,127162.4,3597.099,4792.071,0.816,3.104,0,1.00:2.10,2.10,a,0.639,0,0,0
赤角石塵滅砕,華館+悠久,攻撃%、元素バフ、会心率,ゴロー+鍾離+雲菫,127093.8,3879.945,4792.071,0.966,3.104,0,1.00:2.10,2.10,a,0.639,0,0,0
赤角石塵滅砕,華館+ファントム,攻撃%、元素バフ、会心率,ゴロー+鍾離+雲菫,127093.8,3879.945,4792.071,0.816,3.104,0,1.00:2.10,2.10,a,0.639,0,0,0
赤角石塵滅砕,華館4,攻撃%、元素バフ、防御%,ゴロー+鍾離+雲菫,126689.2,4655.886,4792.071,1.056,2.5147,0,0.85:1.78,2.10,a,0.8,0,0,0
赤角石塵滅砕,華館4,防御%、元素バフ、攻撃%,ゴロー+鍾離+雲菫,126689.2,4655.886,4792.071,1.056,2.5147,0,0.85:1.78,2.10,a,0.8,0,0,0
赤角石塵滅砕,悠久4,防御%、元素バフ、会心率,ゴロー+鍾離+雲菫,126636.2,3805.185,4792.071,0.966,3.104,0,1.00:2.10,2.10,a,0.639,0,0,0
赤角石塵滅砕,辰砂4,防御%、元素バフ、会心ダメージ,ゴロー+鍾離+雲菫,126114.1,4288.965,4792.071,0.816,3.0434,0,0.85:2.40,2.83,a,0.8,0,0,0
赤角石塵滅砕,ファントムハンター,防御%、防御%、会心率,ゴロー+フリーナ+閑雲,126077.3,4354.849,4792.071,1,3.424,0,1.00:2.42,2.42,a,0.279,0,0,0
赤角石塵滅砕,ファントムハンター,防御%、防御%、会心ダメージ,ゴロー+フリーナ+閑雲,126077.3,4354.849,4792.071,1,3.424,0,1.00:2.42,2.42,a,0.59,0,0,0
赤角石塵滅砕,砂上4,防御%、防御%、会心ダメージ,ゴロー+鍾離+雲菫,125773.6,4354.849,4792.071,0.35,3.0434,0,0.85:2.40,2.83,a,0.8,0,0,0
赤角石塵滅砕,ファントムハンター,防御%、元素バフ、防御%,ゴロー+フリーナ+閑雲,125756.2,4354.849,4792.071,1.466,2.806901,0,0.95:1.90,2.00,a,0.5405,0,0,0
赤角石塵滅砕,剣闘士4,防御%、防御%、会心ダメージ,ゴロー+鍾離+雲菫,125223.1,4486.789,4792.071,0.35,3.0434,0,0.85:2.40,2.83,a,0.8,0,0,0
赤角石塵滅砕,沈淪4,攻撃%、元素バフ、会心ダメージ,ゴロー+鍾離+雲菫,124679.8,3597.099,4792.071,0.816,3.0434,0,0.85:2.40,2.83,a,0.8,0,0,0
赤角石塵滅砕,華館+悠久,攻撃%、元素バフ、会心ダメージ,ゴロー+鍾離+雲菫,124612.5,3879.945,4792.071,0.966,3.0434,0,0.85:2.40,2.83,a,0.8,0,0,0
赤角石塵滅砕,華館+ファントム,攻撃%、元素バフ、会心ダメージ,ゴロー+鍾離+雲菫,124612.5,3879.945,4792.071,0.816,3.0434,0,0.85:2.40,2.83,a,0.8,0,0,0
赤角石塵滅砕,華館4,防御%、元素バフ、会心率,ゴロー+フリーナ+閑雲,124599.3,4314.308,4792.071,1.706,2.714952,0,0.93:1.85,2.00,a,0.565,0,0,0
赤角石塵滅砕,剣闘士4,HP%、元素バフ、会心率,ゴロー+鍾離+雲菫,124370.3,3387.461,4797.696,0.816,3.104,0,1.00:2.10,2.10,a,0.639,0,0,0
赤角石塵滅砕,剣闘士4,元素熟知、元素バフ、会心率,ゴロー+鍾離+雲菫,124370.3,3387.461,4792.071,0.816,3.104,187,1.00:2.10,2.10,a,0.639,0,0,0
赤角石塵滅砕,剣闘士4,元チャ、元素バフ、会心率,ゴロー+鍾離+雲菫,124370.3,3387.461,4792.071,0.816,3.104,0,1.00:2.10,2.10,a,0.639,0,0,0
螭龍の剣(完凸),華館4,防御%、防御%、会心率,ゴロー+鍾離+雲菫,124319.7,4567.982,4792.071,1.09,2.780385,0,0.94:1.89,2.00,a,0.3065,0,0,0
螭龍の剣(完凸),華館4,防御%、防御%、会心ダメージ,ゴロー+鍾離+雲菫,124319.7,4567.982,4792.071,1.09,2.780385,0,0.94:1.89,2.00,a,0.6175,0,0,0
螭龍の剣(完凸),華館+悠久,防御%、元素バフ、会心率,ゴロー+鍾離+雲菫,124223.8,3792.041,4792.071,1.466,2.780385,0,0.94:1.89,2.00,a,0.3065,0,0,0
螭龍の剣(完凸),華館+悠久,防御%、元素バフ、会心ダメージ,ゴロー+鍾離+雲菫,124223.8,3792.041,4792.071,1.466,2.780385,0,0.94:1.89,2.00,a,0.6175,0,0,0
螭龍の剣(完凸),華館+ファントム,防御%、元素バフ、会心率,ゴロー+鍾離+雲菫,124223.8,3792.041,4792.071,1.316,2.780385,0,0.94:1.89,2.00,a,0.3065,0,0,0
螭龍の剣(完凸),華館+ファントム,防御%、元素バフ、会心ダメージ,ゴロー+鍾離+雲菫,124223.8,3792.041,4792.071,1.316,2.780385,0,0.94:1.89,2.00,a,0.6175,0,0,0
赤角石塵滅砕,悠久4,防御%、元素バフ、会心ダメージ,ゴロー+鍾離+雲菫,124163.9,3805.185,4792.071,0.966,3.0434,0,0.85:2.40,2.83,a,0.8,0,0,0
赤角石塵滅砕,華館4,防御%、元素バフ、会心ダメージ,ゴロー+フリーナ+閑雲,124069.1,4314.308,4792.071,1.706,2.7034,0,0.85:2.00,2.36,a,0.8,0,0,0
葦海の標,華館4,防御%、元素バフ、会心率,ゴロー+鍾離+雲菫,123946.6,4435.918,4795.934,1.056,2.885682,0,0.97:1.94,2.00,a,0.279,0,0,0
葦海の標,華館4,防御%、元素バフ、会心ダメージ,ゴロー+鍾離+雲菫,123946.6,4435.918,4795.934,1.056,2.885682,0,0.97:1.94,2.00,a,0.59,0,0,0
赤角石塵滅砕,沈淪4,防御%、元素バフ、防御%,ゴロー+鍾離+雲菫,123943.2,4354.849,4792.071,0.816,2.5147,0,0.85:1.78,2.10,a,0.8,0,0,0
赤角石塵滅砕,しめ縄+剣闘士,防御%、元素バフ、会心率,ゴロー+鍾離+雲菫,123640.7,4069.065,4792.071,0.816,3.104,0,1.00:2.10,2.10,a,0.639,0,0,0
赤角石塵滅砕,砂上4,HP%、元素バフ、会心率,ゴロー+鍾離+雲菫,123456.1,3255.521,4797.696,0.816,3.104,0,1.00:2.10,2.10,a,0.639,0,0,0
赤角石塵滅砕,砂上4,元素熟知、元素バフ、会心率,ゴロー+鍾離+雲菫,123456.1,3255.521,4792.071,0.816,3.104,187,1.00:2.10,2.10,a,0.639,0,0,0
赤角石塵滅砕,砂上4,元チャ、元素バフ、会心率,ゴロー+鍾離+雲菫,123456.1,3255.521,4792.071,0.816,3.104,0,1.00:2.10,2.10,a,0.639,0,0,0
赤角石塵滅砕,ファントムハンター,攻撃%、元素バフ、会心率,ゴロー+フリーナ+閑雲,123375,3597.099,4792.071,1.466,3.424,0,1.00:2.42,2.42,a,0.279,0,0,0
赤角石塵滅砕,ファントムハンター,攻撃%、元素バフ、会心ダメージ,ゴロー+フリーナ+閑雲,123375,3597.099,4792.071,1.466,3.424,0,1.00:2.42,2.42,a,0.59,0,0,0
赤角石塵滅砕,華館4,攻撃%、防御%、会心率,ゴロー+鍾離+雲菫,123344.3,4655.886,4792.071,0.59,3.104,0,1.00:2.10,2.10,a,0.639,0,0,0
赤角石塵滅砕,華館4,防御%、攻撃%、会心率,ゴロー+鍾離+雲菫,123344.3,4655.886,4792.071,0.59,3.104,0,1.00:2.10,2.10,a,0.639,0,0,0
螭龍の剣(完凸),沈淪4,防御%、元素バフ、会心率,ゴロー+鍾離+雲菫,123266.8,3509.195,4792.071,1.316,2.780385,0,0.94:1.89,2.00,a,0.3065,0,0,0
螭龍の剣(完凸),沈淪4,防御%、元素バフ、会心ダメージ,ゴロー+鍾離+雲菫,123266.8,3509.195,4792.071,1.316,2.780385,0,0.94:1.89,2.00,a,0.6175,0,0,0
螭龍の剣(完凸),剣闘士4,攻撃%、元素バフ、会心率,ゴロー+鍾離+雲菫,122679.3,3412.377,4792.071,1.316,2.780385,0,0.94:1.89,2.00,a,0.3065,0,0,0
螭龍の剣(完凸),剣闘士4,攻撃%、元素バフ、会心ダメージ,ゴロー+鍾離+雲菫,122679.3,3412.377,4792.071,1.316,2.780385,0,0.94:1.89,2.00,a,0.6175,0,0,0
赤角石塵滅砕,剣闘士4,攻撃%、元素バフ、防御%,ゴロー+鍾離+雲菫,122534.9,4278.703,4792.071,0.816,2.5147,0,0.85:1.78,2.10,a,0.8,0,0,0
赤角石塵滅砕,剣闘士4,防御%、元素バフ、攻撃%,ゴロー+鍾離+雲菫,122534.9,4278.703,4792.071,0.816,2.5147,0,0.85:1.78,2.10,a,0.8,0,0,0
赤角石塵滅砕,華館+悠久,防御%、元素バフ、防御%,ゴロー+鍾離+雲菫,122502.7,4637.695,4792.071,0.966,2.5147,0,0.85:1.78,2.10,a,0.8,0,0,0
