武器,聖遺物セット,聖遺物メイン,バフキャラ,爆発一発目期待値,爆発通常合計期待値,願力,爆発一発目倍率,元チャ,攻撃力,加算,バフ合計,バフ共通,元素バフ,バフ爆発,耐性ダウン,耐性ダウン計算後,パーティ元素,熟知,率ダメ,サブステ,スコア
死闘の槍(R5、敵1のみ),絶縁4,攻撃%+雷バフ+会心ダメージ,イアンサ(灰燼4、爆発lv10)+ベネット(西風、旧貴族)+万葉(翠緑4),129302,39129,38,9.87,1.52,3598,0,2.024,0.3,1.074,0.65,0,0.575,Pyro:1、Electro:2、Anemo:1、,0,0.74:1.48,0.32:0.36,1
死闘の槍(R5、敵1のみ),絶縁4,攻撃%+雷バフ+会心率,イアンサ(灰燼4、爆発lv10)+ベネット(西風、旧貴族)+万葉(翠緑4),129302,39129,38,9.87,1.52,3598,0,2.024,0.3,1.074,0.65,0,0.575,Pyro:1、Electro:2、Anemo:1、,0,0.74:1.48,0.01:0.98,1
死闘の槍(R5、敵1のみ),絶縁4,元チャ+雷バフ+会心ダメージ,イアンサ(灰燼4、爆発lv10)+ベネット(西風、旧貴族)+万葉(翠緑4),128979,39031,38,9.87,2.038,3230,0,2.3607,0.3,1.2812,0.7795,0,0.575,Pyro:1、Electro:2、Anemo:1、,0,0.74:1.48,0.32:0.36,1
死闘の槍(R5、敵1のみ),絶縁4,元チャ+雷バフ+会心率,イアンサ(灰燼4、爆発lv10)+ベネット(西風、旧貴族)+万葉(翠緑4),128979,39031,38,9.87,2.038,3230,0,2.3607,0.3,1.2812,0.7795,0,0.575,Pyro:1、Electro:2、Anemo:1、,0,0.74:1.48,0.01:0.98,1
和璞鳶,絶縁4,攻撃%+雷バフ+会心ダメージ,イアンサ(灰燼4、爆発lv10)+ベネット(西風、旧貴族)+万葉(翠緑4),128350,38840,38,9.87,1.52,3812,0,2.144,0.42,1.074,0.65,0,0.575,Pyro:1、Electro:2、Anemo:1、,0,0.67:1.33,0.40:0.21,1
和璞鳶,絶縁4,攻撃%+雷バフ+会心率,イアンサ(灰燼4、爆発lv10)+ベネット(西風、旧貴族)+万葉(翠緑4),128350,38840,38,9.87,1.52,3812,0,2.144,0.42,1.074,0.65,0,0.575,Pyro:1、Electro:2、Anemo:1、,0,0.67:1.33,0.08:0.83,1
護摩(HP50%以上),絶縁4,攻撃%+雷バフ+会心率,イアンサ(灰燼4、爆発lv10)+ベネット(西風、旧貴族)+万葉(翠緑4),127331,38532,38,9.87,1.52,3638,0,2.024,0.3,1.074,0.65,0,0.575,Pyro:1、Electro:2、Anemo:1、,0,0.72:1.44,0.36:0.28,1
赤砂の杖(スキル命中1),絶縁4,攻撃%+雷バフ+会心ダメージ,イアンサ(灰燼4、爆発lv10)+ベネット(西風、旧貴族)+万葉(翠緑4),127317,38528,38,9.87,1.52,3365,0,2.024,0.3,1.074,0.65,0,0.575,Pyro:1、Electro:2、Anemo:1、,0,0.78:1.55,0.29:0.43,1
赤砂の杖(スキル命中1),絶縁4,攻撃%+雷バフ+会心率,イアンサ(灰燼4、爆発lv10)+ベネット(西風、旧貴族)+万葉(翠緑4),127239,38504,38,9.87,1.52,3365,0,2.024,0.3,1.074,0.65,0,0.575,Pyro:1、Electro:2、Anemo:1、,0,0.80:1.50,0.00:1.00,1
草薙の稲光,絶縁4,元チャ+雷バフ+会心率,イアンサ(灰燼4、爆発lv10)+ベネット(西風、旧貴族)+万葉(翠緑4),126973,38424,38,9.87,2.889,3535,0,2.91385,0.3,1.6216,0.99225,0,0.575,Pyro:1、Electro:2、Anemo:1、,0,0.56:1.11,0.19:0.61,1
草薙の稲光,絶縁4,元チャ+雷バフ+会心ダメージ,イアンサ(灰燼4、爆発lv10)+ベネット(西風、旧貴族)+万葉(翠緑4),126968,38422,38,9.87,2.889,3535,0,2.91385,0.3,1.6216,0.99225,0,0.575,Pyro:1、Electro:2、Anemo:1、,0,0.55:1.12,0.50:0.00,1
草薙の稲光,絶縁4,攻撃%+雷バフ+会心率,イアンサ(灰燼4、爆発lv10)+ベネット(西風、旧貴族)+万葉(翠緑4),126007,38132,38,9.87,2.371,3838,0,2.57715,0.3,1.4144,0.86275,0,0.575,Pyro:1、Electro:2、Anemo:1、,0,0.56:1.11,0.19:0.61,1
草薙の稲光,絶縁4,攻撃%+雷バフ+会心ダメージ,イアンサ(灰燼4、爆発lv10)+ベネット(西風、旧貴族)+万葉(翠緑4),126003,38130,38,9.87,2.371,3838,0,2.57715,0.3,1.4144,0.86275,0,0.575,Pyro:1、Electro:2、Anemo:1、,0,0.55:1.12,0.50:0.00,1
草薙の稲光,絶縁4,元チャ+攻撃%+会心率,イアンサ(灰燼4、爆発lv10)+ベネット(西風、旧貴族)+万葉(翠緑4),125790,38066,38,9.87,2.889,3975,0,2.44785,0.3,1.1556,0.99225,0,0.575,Pyro:1、Electro:2、Anemo:1、,0,0.56:1.11,0.19:0.61,1
草薙の稲光,絶縁4,元チャ+攻撃%+会心ダメージ,イアンサ(灰燼4、爆発lv10)+ベネット(西風、旧貴族)+万葉(翠緑4),125785,38064,38,9.87,2.889,3975,0,2.44785,0.3,1.1556,0.99225,0,0.575,Pyro:1、Electro:2、Anemo:1、,0,0.55:1.12,0.50:0.00,1
死闘の槍(R5、敵2以上),絶縁4,攻撃%+雷バフ+会心ダメージ,イアンサ(灰燼4、爆発lv10)+ベネット(西風、旧貴族)+万葉(翠緑4),124754,37752,38,9.87,1.52,3472,0,2.024,0.3,1.074,0.65,0,0.575,Pyro:1、Electro:2、Anemo:1、,0,0.74:1.48,0.32:0.36,1
死闘の槍(R5、敵2以上),絶縁4,攻撃%+雷バフ+会心率,イアンサ(灰燼4、爆発lv10)+ベネット(西風、旧貴族)+万葉(翠緑4),124754,37752,38,9.87,1.52,3472,0,2.024,0.3,1.074,0.65,0,0.575,Pyro:1、Electro:2、Anemo:1、,0,0.74:1.48,0.01:0.98,1
和璞鳶,絶縁4,元チャ+雷バフ+会心ダメージ,イアンサ(灰燼4、爆発lv10)+ベネット(西風、旧貴族)+万葉(翠緑4),124532,37685,38,9.87,2.038,3341,0,2.4807,0.42,1.2812,0.7795,0,0.575,Pyro:1、Electro:2、Anemo:1、,0,0.67:1.33,0.40:0.21,1
和璞鳶,絶縁4,元チャ+雷バフ+会心率,イアンサ(灰燼4、爆発lv10)+ベネット(西風、旧貴族)+万葉(翠緑4),124532,37685,38,9.87,2.038,3341,0,2.4807,0.42,1.2812,0.7795,0,0.575,Pyro:1、Electro:2、Anemo:1、,0,0.67:1.33,0.08:0.83,1
護摩(HP50%以上),絶縁4,元チャ+雷バフ+会心率,イアンサ(灰燼4、爆発lv10)+ベネット(西風、旧貴族)+万葉(翠緑4),124377,37638,38,9.87,2.038,3197,0,2.3607,0.3,1.2812,0.7795,0,0.575,Pyro:1、Electro:2、Anemo:1、,0,0.72:1.44,0.36:0.28,1
赤砂の杖(スキル命中1),絶縁4,元チャ+雷バフ+会心ダメージ,イアンサ(灰燼4、爆発lv10)+ベネット(西風、旧貴族)+万葉(翠緑4),124271,37606,38,9.87,2.038,2956,0,2.3607,0.3,1.2812,0.7795,0,0.575,Pyro:1、Electro:2、Anemo:1、,0,0.78:1.55,0.29:0.43,1
赤砂の杖(スキル命中1),絶縁4,元チャ+雷バフ+会心率,イアンサ(灰燼4、爆発lv10)+ベネット(西風、旧貴族)+万葉(翠緑4),124195,37583,38,9.87,2.038,2956,0,2.3607,0.3,1.2812,0.7795,0,0.575,Pyro:1、Electro:2、Anemo:1、,0,0.80:1.50,0.00:1.00,1
