武器,聖遺物セット,聖遺物メイン,バフキャラ,合計期待値,攻撃力,加算,バフ合計,バフ共通,元素バフ,バフ通常,耐性ダウン,パーティ元素,熟知,率ダメ,サブステ,スコア
飛雷の鳴弦,ファントム4,攻撃%+水バフ+会心ダメージ,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+雲菫,116255.2,1825.394,1301.5,2.754,0.9,1.154,0.7,0,Hydro:2、Geo:2、,0,0.90:1.80,0.49:0.02,1
飛雷の鳴弦,ファントム4,攻撃%+水バフ+会心率,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+雲菫,116255.2,1825.394,1301.5,2.754,0.9,1.154,0.7,0,Hydro:2、Geo:2、,0,0.90:1.80,0.18:0.64,1
飛雷の鳴弦,ファントム4,攻撃%+攻撃%+会心ダメージ,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+雲菫,115148.6,2248.988,1301.5,2.288,0.9,0.688,0.7,0,Hydro:2、Geo:2、,0,0.90:1.80,0.49:0.02,1
飛雷の鳴弦,ファントム4,攻撃%+攻撃%+会心率,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+雲菫,115148.6,2248.988,1301.5,2.288,0.9,0.688,0.7,0,Hydro:2、Geo:2、,0,0.90:1.80,0.18:0.64,1
飛雷の鳴弦,しめ縄4,攻撃%+水バフ+会心率,シロネン(灰燼4、2凸、2色以上)+ベネット(西風、旧貴族)+雲菫,110446.9,3015.814,1301.5,2.354,0.15,1.154,1.05,0,Pyro:1、Hydro:1、Geo:2、,0,0.72:1.44,0.36:0.28,1
飛雷の鳴弦,しめ縄4,攻撃%+水バフ+会心ダメージ,シロネン(灰燼4、2凸、2色以上)+ベネット(西風、旧貴族)+雲菫,107280.2,3015.814,1301.5,2.354,0.15,1.154,1.05,0,Pyro:1、Hydro:1、Geo:2、,0,0.55:1.78,0.50:0.00,1
飛雷の鳴弦,ファントム4,攻撃%+水バフ+攻撃%,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+雲菫,105809,2248.988,1301.5,2.754,0.9,1.154,0.7,0,Hydro:2、Geo:2、,0,0.75:1.49,0.34:0.33,1
飛雷の鳴弦,水仙の夢4,攻撃%+水バフ+会心率,シロネン(灰燼4、2凸、2色以上)+ベネット(西風、旧貴族)+雲菫,105353.6,3079.444,1301.5,2.154,0.15,1.454,0.55,0,Pyro:1、Hydro:1、Geo:2、,0,0.72:1.44,0.36:0.28,1
飛雷の鳴弦,沈淪4,攻撃%+水バフ+会心率,シロネン(灰燼4、2凸、2色以上)+ベネット(西風、旧貴族)+雲菫,104779.6,2852.194,1301.5,2.304,0.15,1.304,0.85,0,Pyro:1、Hydro:1、Geo:2、,0,0.72:1.44,0.36:0.28,1
飛雷の鳴弦,しめ縄4,攻撃%+攻撃%+会心率,シロネン(灰燼4、2凸、2色以上)+ベネット(西風、旧貴族)+雲菫,104200.4,3439.408,1301.5,1.888,0.15,0.688,1.05,0,Pyro:1、Hydro:1、Geo:2、,0,0.72:1.44,0.36:0.28,1
飛雷の鳴弦,ファントム4,攻撃%+水バフ+会心ダメージ,フリーナ(フル)+ベネット(西風、旧貴族)+雲菫,104094.7,2852.194,1301.5,2.204,0.75,0.7539999,0.7,0,Pyro:1、Hydro:2、Geo:1、,0,0.90:1.80,0.49:0.02,1
飛雷の鳴弦,ファントム4,攻撃%+水バフ+会心率,フリーナ(フル)+ベネット(西風、旧貴族)+雲菫,104094.7,2852.194,1301.5,2.204,0.75,0.7539999,0.7,0,Pyro:1、Hydro:2、Geo:1、,0,0.90:1.80,0.18:0.64,1
飛雷の鳴弦,しめ縄4,攻撃%+水バフ+会心率,ベネット(西風、旧貴族)+雲菫+万葉(翠緑4),104023.5,3015.814,1301.5,2.104,0.3,0.7539999,1.05,0,Pyro:1、Hydro:1、Geo:1、Anemo:1、,0,0.72:1.44,0.36:0.28,1
飛雷の鳴弦,ファントム4,攻撃%+水バフ+会心ダメージ,シロネン(灰燼以外、2凸、2色以上)+フリーナ(フル)+雲菫,103867.8,1825.394,1301.5,2.354,0.9,0.7539999,0.7,0,Hydro:2、Geo:2、,0,0.90:1.80,0.49:0.02,1
飛雷の鳴弦,ファントム4,攻撃%+水バフ+会心率,シロネン(灰燼以外、2凸、2色以上)+フリーナ(フル)+雲菫,103867.8,1825.394,1301.5,2.354,0.9,0.7539999,0.7,0,Hydro:2、Geo:2、,0,0.90:1.80,0.18:0.64,1
飛雷の鳴弦,しめ縄4,攻撃%+水バフ+会心率,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+雲菫,103801.9,1989.014,1301.5,3.104,0.9,1.154,1.05,0,Hydro:2、Geo:2、,0,0.72:1.44,0.36:0.28,1
飛雷の鳴弦,しめ縄4,攻撃%+攻撃%+会心率,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+雲菫,103477.2,2412.608,1301.5,2.638,0.9,0.688,1.05,0,Hydro:2、Geo:2、,0,0.72:1.44,0.36:0.28,1
飛雷の鳴弦,ファントム4,攻撃%+攻撃%+攻撃%,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+雲菫,103398.5,2672.582,1301.5,2.288,0.9,0.688,0.7,0,Hydro:2、Geo:2、,0,0.75:1.49,0.34:0.33,1
飛雷の鳴弦,辰砂4,攻撃%+水バフ+会心率,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+雲菫,102851.2,2425.334,1301.5,2.604,0.9,1.154,0.55,0,Hydro:2、Geo:2、,0,0.72:1.44,0.36:0.28,1
弓蔵(R5),ファントム4,攻撃%+水バフ+会心ダメージ,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+雲菫,102381.1,1834.869,1301.5,3.154,0.9,1.154,1.1,0,Hydro:2、Geo:2、,0,0.74:1.47,0.33:0.35,1
弓蔵(R5),ファントム4,攻撃%+水バフ+会心率,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+雲菫,102381.1,1834.869,1301.5,3.154,0.9,1.154,1.1,0,Hydro:2、Geo:2、,0,0.74:1.47,0.01:0.97,1
飛雷の鳴弦,水仙の夢4,攻撃%+水バフ+会心ダメージ,シロネン(灰燼4、2凸、2色以上)+ベネット(西風、旧貴族)+雲菫,102332.9,3079.444,1301.5,2.154,0.15,1.454,0.55,0,Pyro:1、Hydro:1、Geo:2、,0,0.55:1.78,0.50:0.00,1
飛雷の鳴弦,沈淪4,攻撃%+水バフ+会心ダメージ,シロネン(灰燼4、2凸、2色以上)+ベネット(西風、旧貴族)+雲菫,101775.3,2852.194,1301.5,2.304,0.15,1.304,0.85,0,Pyro:1、Hydro:1、Geo:2、,0,0.55:1.78,0.50:0.00,1
弓蔵(R5),ファントム4,攻撃%+攻撃%+会心ダメージ,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+雲菫,101477.2,2212.795,1301.5,2.688,0.9,0.688,1.1,0,Hydro:2、Geo:2、,0,0.74:1.47,0.33:0.35,1
