武器,聖遺物セット,聖遺物メイン,バフキャラ,合計期待値,攻撃力,倍率,加算,バフ合計,バフ共通,雷バフ,バフ落下,耐性ダウン,パーティ元素,熟知,率ダメ,サブステ,スコア
ヴィヴィッド・ハート,長き夜の誓い4,攻撃%+攻撃%+会心率,マーヴィカ(灰燼4、戦意200時)+閑雲(鶴鳴の余韻、灰燼+絶縁、メイン原チャ)+万葉(翠緑4),140432.2,2589.36,7.32,6400,2.38,0.7,0.4,1.28,0,Pyro:1、Electro:1、Anemo:2、,0,0.96:1.92,0.35:0.30,1
ヴィヴィッド・ハート,長き夜の誓い4,攻撃%+攻撃%+会心率,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+閑雲(鶴鳴の余韻、灰燼+絶縁、メイン原チャ),140031.1,2589.36,7.32,6400,2.43,0.75,0.4,1.28,0,Hydro:1、Electro:1、Geo:1、Anemo:1、,0,0.96:1.92,0.35:0.30,1
ヴィヴィッド・ハート,長き夜の誓い4,攻撃%+攻撃%+会心率,フリーナ(フル)+閑雲(鶴鳴の余韻、灰燼+絶縁、メイン原チャ)+万葉(翠緑4),138354.8,2589.36,7.32,6400,2.33,1.05,0,1.28,0,Hydro:1、Electro:1、Anemo:2、,0,0.96:1.92,0.35:0.30,1
ヴィヴィッド・ハート,長き夜の誓い4,攻撃%+攻撃%+会心ダメージ,マーヴィカ(灰燼4、戦意200時)+閑雲(鶴鳴の余韻、灰燼+絶縁、メイン原チャ)+万葉(翠緑4),137917.1,2589.36,7.32,6400,2.38,0.7,0.4,1.28,0,Pyro:1、Electro:1、Anemo:2、,0,0.80:2.24,0.50:0.00,1
ヴィヴィッド・ハート,長き夜の誓い4,攻撃%+雷バフ+会心率,マーヴィカ(灰燼4、戦意200時)+閑雲(鶴鳴の余韻、灰燼+絶縁、メイン原チャ)+万葉(翠緑4),137650.1,2109.38,7.32,6400,2.846,0.7,0.866,1.28,0,Pyro:1、Electro:1、Anemo:2、,0,0.96:1.92,0.35:0.30,1
ヴィヴィッド・ハート,長き夜の誓い4,攻撃%+攻撃%+会心ダメージ,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+閑雲(鶴鳴の余韻、灰燼+絶縁、メイン原チャ),137523.3,2589.36,7.32,6400,2.43,0.75,0.4,1.28,0,Hydro:1、Electro:1、Geo:1、Anemo:1、,0,0.80:2.24,0.50:0.00,1
ヴィヴィッド・ハート,長き夜の誓い4,攻撃%+雷バフ+会心率,シロネン(灰燼4、2凸、2色以上)+フリーナ(フル)+閑雲(鶴鳴の余韻、灰燼+絶縁、メイン原チャ),137014.6,2109.38,7.32,6400,2.896,0.75,0.866,1.28,0,Hydro:1、Electro:1、Geo:1、Anemo:1、,0,0.96:1.92,0.35:0.30,1
ヴィヴィッド・ハート,長き夜の誓い4,攻撃%+雷バフ+会心率,イアンサ(灰燼以外、爆発lv10)+シロネン(灰燼4、2凸、2色以上)+閑雲(鶴鳴の余韻、灰燼+絶縁、メイン原チャ),136224.5,2799.38,7.32,6400,2.146,0,0.866,1.28,0,Electro:2、Geo:1、Anemo:1、,0,0.96:1.92,0.35:0.30,1
ヴィヴィッド・ハート,長き夜の誓い4,攻撃%+攻撃%+会心ダメージ,フリーナ(フル)+閑雲(鶴鳴の余韻、灰燼+絶縁、メイン原チャ)+万葉(翠緑4),135876.9,2589.36,7.32,6400,2.33,1.05,0,1.28,0,Hydro:1、Electro:1、Anemo:2、,0,0.80:2.24,0.50:0.00,1
ヴィヴィッド・ハート,長き夜の誓い4,攻撃%+雷バフ+会心率,フリーナ(フル)+閑雲(鶴鳴の余韻、灰燼+絶縁、メイン原チャ)+万葉(翠緑4),135860.6,2109.38,7.32,6400,2.796,1.05,0.466,1.28,0,Hydro:1、Electro:1、Anemo:2、,0,0.96:1.92,0.35:0.30,1
ヴィヴィッド・ハート,長き夜の誓い4,攻撃%+雷バフ+会心ダメージ,マーヴィカ(灰燼4、戦意200時)+閑雲(鶴鳴の余韻、灰燼+絶縁、メイン原チャ)+万葉(翠緑4),135184.9,2109.38,7.32,6400,2.846,0.7,0.866,1.28,0,Pyro:1、Electro:1、Anemo:2、,0,0.80:2.24,0.50:0.00,1
