武器,聖遺物セット,聖遺物メイン,バフキャラ,合計期待値,攻撃力,倍率,加算,バフ合計,バフ共通,バフ落下,耐性ダウン,パーティ元素,熟知,率ダメ,サブステ,スコア
草薙の稲光,ファントム4,攻撃%+風バフ+会心率,ファルザン(西風、完凸)+ベネット(西風、旧貴族)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),117284,2750.6,4.04,9208,1.407,0,1.407,0,Pyro:1、Anemo:3、,0,1.00:2.22,0.14:1.32,1.6
草薙の稲光,ファントム4,攻撃%+風バフ+会心ダメージ,ファルザン(西風、完凸)+ベネット(西風、旧貴族)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),117284,2750.6,4.04,9208,1.407,0,1.407,0,Pyro:1、Anemo:3、,0,1.00:2.22,0.45:0.70,1.6
草薙の稲光,ファントム4,攻撃%+風バフ+会心率,ファルザン(西風、完凸)+フリーナ(フル)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),114566,1714.2,4.04,9208,2.157,0.75,1.407,0,Hydro:1、Anemo:3、,0,1.00:2.22,0.14:1.32,1.6
草薙の稲光,ファントム4,攻撃%+風バフ+会心ダメージ,ファルザン(西風、完凸)+フリーナ(フル)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),114566,1714.2,4.04,9208,2.157,0.75,1.407,0,Hydro:1、Anemo:3、,0,1.00:2.22,0.45:0.70,1.6
草薙の稲光,辰砂4,攻撃%+風バフ+会心率,ファルザン(西風、完凸)+フリーナ(フル)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),112612,2345.82,4.04,9208,2.157,0.75,1.407,0,Hydro:1、Anemo:3、,0,0.93:1.86,0.32:0.96,1.6
草薙の稲光,辰砂4,攻撃%+風バフ+会心ダメージ,ファルザン(西風、完凸)+フリーナ(フル)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),112612,2345.82,4.04,9208,2.157,0.75,1.407,0,Hydro:1、Anemo:3、,0,0.93:1.86,0.63:0.34,1.6
草薙の稲光,ファントム4,攻撃%+攻撃%+会心率,ファルザン(西風、完凸)+フリーナ(フル)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),112545,2160.162,4.04,9208,2.157,0.75,1.407,0,Hydro:1、Anemo:3、,0,1.00:2.22,0.14:1.32,1.6
草薙の稲光,ファントム4,攻撃%+攻撃%+会心ダメージ,ファルザン(西風、完凸)+フリーナ(フル)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),112545,2160.162,4.04,9208,2.157,0.75,1.407,0,Hydro:1、Anemo:3、,0,1.00:2.22,0.45:0.70,1.6
草薙の稲光,辰砂4,攻撃%+風バフ+会心率,ファルザン(西風、完凸)+ベネット(西風、旧貴族)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),112039,3382.22,4.04,9208,1.407,0,1.407,0,Pyro:1、Anemo:3、,0,0.93:1.86,0.32:0.96,1.6
草薙の稲光,辰砂4,攻撃%+風バフ+会心ダメージ,ファルザン(西風、完凸)+ベネット(西風、旧貴族)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),112039,3382.22,4.04,9208,1.407,0,1.407,0,Pyro:1、Anemo:3、,0,0.93:1.86,0.63:0.34,1.6
草薙の稲光,ファントム4,攻撃%+風バフ+攻撃%,ファルザン(西風、完凸)+ベネット(西風、旧貴族)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),112029,3196.562,4.04,9208,1.407,0,1.407,0,Pyro:1、Anemo:3、,0,0.96:1.91,0.29:1.01,1.6
草薙の稲光,ファントム4,攻撃%+風バフ+攻撃%,ファルザン(西風、完凸)+フリーナ(フル)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),111747,2160.162,4.04,9208,2.157,0.75,1.407,0,Hydro:1、Anemo:3、,0,0.96:1.91,0.29:1.01,1.6
草薙の稲光,ファントム4,攻撃%+風バフ+会心率,ジン+ファルザン(西風、完凸)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),110048,1714.2,4.04,9208,1.407,0,1.407,-0.4,Anemo:3、None:1、,0,1.00:2.22,0.14:1.32,1.6
草薙の稲光,ファントム4,攻撃%+風バフ+会心ダメージ,ジン+ファルザン(西風、完凸)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),110048,1714.2,4.04,9208,1.407,0,1.407,-0.4,Anemo:3、None:1、,0,1.00:2.22,0.45:0.70,1.6
草薙の稲光,ファントム4,攻撃%+攻撃%+会心率,ファルザン(西風、完凸)+ベネット(西風、旧貴族)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),109409,3196.562,4.04,9208,1.407,0,1.407,0,Pyro:1、Anemo:3、,0,1.00:2.22,0.14:1.32,1.6
草薙の稲光,ファントム4,攻撃%+攻撃%+会心ダメージ,ファルザン(西風、完凸)+ベネット(西風、旧貴族)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),109409,3196.562,4.04,9208,1.407,0,1.407,0,Pyro:1、Anemo:3、,0,1.00:2.22,0.45:0.70,1.6
草薙の稲光,辰砂4,攻撃%+攻撃%+会心率,ファルザン(西風、完凸)+フリーナ(フル)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),109108,2791.782,4.04,9208,2.157,0.75,1.407,0,Hydro:1、Anemo:3、,0,0.93:1.86,0.32:0.96,1.6
草薙の稲光,辰砂4,攻撃%+攻撃%+会心ダメージ,ファルザン(西風、完凸)+フリーナ(フル)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),109108,2791.782,4.04,9208,2.157,0.75,1.407,0,Hydro:1、Anemo:3、,0,0.93:1.86,0.63:0.34,1.6
草薙の稲光,ファントム4,攻撃%+攻撃%+攻撃%,ファルザン(西風、完凸)+フリーナ(フル)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),108667,2606.124,4.04,9208,2.157,0.75,1.407,0,Hydro:1、Anemo:3、,0,0.96:1.91,0.29:1.01,1.6
草薙の稲光,辰砂4,攻撃%+風バフ+会心率,ジン+ファルザン(西風、完凸)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),108171,2345.82,4.04,9208,1.407,0,1.407,-0.4,Anemo:3、None:1、,0,0.93:1.86,0.32:0.96,1.6
草薙の稲光,辰砂4,攻撃%+風バフ+会心ダメージ,ジン+ファルザン(西風、完凸)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),108171,2345.82,4.04,9208,1.407,0,1.407,-0.4,Anemo:3、None:1、,0,0.93:1.86,0.63:0.34,1.6
草薙の稲光,ファントム4,攻撃%+風バフ+攻撃%,ジン+ファルザン(西風、完凸)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),107339,2160.162,4.04,9208,1.407,0,1.407,-0.4,Anemo:3、None:1、,0,0.96:1.91,0.29:1.01,1.6
草薙の稲光,ファントム4,元チャ+風バフ+会心率,ファルザン(西風、完凸)+ベネット(西風、旧貴族)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),106888,2304.783,4.04,9208,1.407,0,1.407,0,Pyro:1、Anemo:3、,0,1.00:2.22,0.14:1.32,1.6
