武器,聖遺物セット,聖遺物メイン,バフキャラ,合計期待値,攻撃力,HP,バフ,会心ダメ期待値,熟知,率ダメ,会心ダメ比率,聖遺物組み合わせ,サブステ,サブHP%,サブHP,スコア
和璞鳶,ファントムハンター,攻撃%、元素バフ、会心ダメージ,フリーナ+鍾離+閑雲,87447.37,2039.87,4792.736,0.936,3.368,0,1.00:2.37,2.37,a,0.177,0,0,0
護摩,ファントムハンター,攻撃%、元素バフ、会心ダメージ,フリーナ+鍾離+閑雲,83536.91,1800.277,4795.283,0.816,3.588,0,1.00:2.59,2.59,a,0.398,0,0,0
和璞鳶,ファントムハンター,攻撃%、攻撃%、会心ダメージ,フリーナ+鍾離+閑雲,83512.39,2516.588,4792.736,0.47,3.368,0,1.00:2.37,2.37,a,0.177,0,0,0
護摩,ファントムハンター,攻撃%、元素バフ、会心率,フリーナ+鍾離+閑雲,82963.53,1800.277,4795.283,0.816,3.588,0,1.00:2.59,2.59,a,0.08700001,0,0,0
黒岩(完凸、平均),ファントムハンター,攻撃%、元素バフ、会心ダメージ,フリーナ+鍾離+閑雲,82908.14,1879.534,4792.736,0.816,3.477,0,1.00:2.48,2.48,a,0.398,0,0,0
和璞鳶,辰砂4,攻撃%、元素バフ、会心率,フリーナ+鍾離+閑雲,82376.92,2715.05,4792.736,0.936,2.663488,0,0.91:1.82,2.00,a,0.138,0,0,0
和璞鳶,辰砂4,攻撃%、元素バフ、会心ダメージ,フリーナ+鍾離+閑雲,82376.92,2715.05,4792.736,0.936,2.663488,0,0.91:1.82,2.00,a,0.449,0,0,0
黒岩(完凸、平均),ファントムハンター,攻撃%、元素バフ、会心率,フリーナ+鍾離+閑雲,82321.9,1879.534,4792.736,0.816,3.477,0,1.00:2.48,2.48,a,0.08700001,0,0,0
和璞鳶,ファントムハンター,攻撃%、元素バフ、攻撃%,フリーナ+鍾離+閑雲,81336.89,2516.588,4792.736,0.936,2.754065,0,0.94:1.87,2.00,a,0.1135,0,0,0
死闘の槍(完凸、敵2以上),ファントムハンター,攻撃%、元素バフ、会心ダメージ,フリーナ+鍾離+閑雲,80800.82,1745.158,4792.736,0.816,3.662,0,1.00:2.66,2.66,a,0.02999997,0,0,0
千岩長槍(完凸),ファントムハンター,攻撃%、元素バフ、会心ダメージ,フリーナ+鍾離+閑雲,80021.11,2031.148,4792.736,0.816,3.206,0,1.00:2.21,2.21,a,0.258,0,0,0
護摩,辰砂4,攻撃%、元素バフ、会心率,フリーナ+鍾離+閑雲,79754.73,2431.897,4795.283,0.816,2.870178,0,0.97:1.93,2.00,a,0.414,0,0,0
護摩,辰砂4,攻撃%、元素バフ、会心ダメージ,フリーナ+鍾離+閑雲,79754.73,2431.897,4795.283,0.816,2.870178,0,0.97:1.93,2.00,a,0.725,0,0,0
護摩,ファントムハンター,攻撃%、攻撃%、会心ダメージ,フリーナ+鍾離+閑雲,79184.65,2246.239,4795.283,0.35,3.588,0,1.00:2.59,2.59,a,0.398,0,0,0
護摩,ファントムハンター,攻撃%、攻撃%、会心率,フリーナ+鍾離+閑雲,78641.14,2246.239,4795.283,0.35,3.588,0,1.00:2.59,2.59,a,0.08700001,0,0,0
護摩,ファントムハンター,攻撃%、元素バフ、攻撃%,フリーナ+鍾離+閑雲,78633.24,2246.239,4795.283,0.816,2.966145,0,0.99:1.98,2.00,a,0.3895,0,0,0
死闘の槍(完凸、敵2以上),辰砂4,攻撃%、元素バフ、会心ダメージ,フリーナ+鍾離+閑雲,78603.95,2275.138,4792.736,0.816,2.94242,0,0.99:1.97,2.00,a,0.3755,0,0,0
旧貴族猟槍(完凸),ファントムハンター,攻撃%、元素バフ、会心ダメージ,フリーナ+鍾離+閑雲,78208.41,1903.188,4792.736,0.816,3.246,0,1.00:2.25,2.25,a,0.238,0,0,0
死闘の槍(完凸、敵2以上),辰砂4,攻撃%、元素バフ、会心率,フリーナ+鍾離+閑雲,77553.22,2275.138,4792.736,0.816,2.94242,0,0.99:1.97,2.00,a,0.0645,0,0,0
黒岩(完凸、平均),ファントムハンター,攻撃%、攻撃%、会心ダメージ,フリーナ+鍾離+閑雲,77513.16,2279.828,4792.736,0.35,3.477,0,1.00:2.48,2.48,a,0.398,0,0,0
和璞鳶,辰砂4,攻撃%、攻撃%、会心率,フリーナ+鍾離+閑雲,77330.3,3191.768,4792.736,0.47,2.663488,0,0.91:1.82,2.00,a,0.138,0,0,0
和璞鳶,辰砂4,攻撃%、攻撃%、会心ダメージ,フリーナ+鍾離+閑雲,77330.3,3191.768,4792.736,0.47,2.663488,0,0.91:1.82,2.00,a,0.449,0,0,0
黒岩(完凸、平均),辰砂4,攻撃%、元素バフ、会心率,フリーナ+鍾離+閑雲,77144.3,2446.474,4792.736,0.816,2.764381,0,0.94:1.88,2.00,a,0.38625,0,0,0
黒岩(完凸、平均),辰砂4,攻撃%、元素バフ、会心ダメージ,フリーナ+鍾離+閑雲,77144.3,2446.474,4792.736,0.816,2.764381,0,0.94:1.88,2.00,a,0.69725,0,0,0
黒岩(完凸、平均),ファントムハンター,攻撃%、攻撃%、会心率,フリーナ+鍾離+閑雲,76965.07,2279.828,4792.736,0.35,3.477,0,1.00:2.48,2.48,a,0.08700001,0,0,0
和璞鳶,ファントムハンター,攻撃%、攻撃%、攻撃%,フリーナ+鍾離+閑雲,76699.21,2993.306,4792.736,0.47,2.754065,0,0.94:1.87,2.00,a,0.1135,0,0,0
和璞鳶,しめ縄+剣闘士,攻撃%、元素バフ、会心率,フリーナ+鍾離+閑雲,76692.78,2408.15,4792.736,0.936,2.663488,0,0.91:1.82,2.00,a,0.138,0,0,0
和璞鳶,しめ縄+剣闘士,攻撃%、元素バフ、会心ダメージ,フリーナ+鍾離+閑雲,76692.78,2408.15,4792.736,0.936,2.663488,0,0.91:1.82,2.00,a,0.449,0,0,0
黒岩(完凸、平均),ファントムハンター,攻撃%、元素バフ、攻撃%,フリーナ+鍾離+閑雲,76516.89,2279.828,4792.736,0.816,2.857628,0,0.96:1.93,2.00,a,0.36175,0,0,0
