武器,聖遺物セット,聖遺物メイン,バフキャラ,合計期待値,攻撃力,HP,バフ,会心ダメ期待値,熟知,率ダメ,会心ダメ比率,聖遺物組み合わせ,サブステ,サブHP%,サブHP,スコア
和璞鳶,ファントムハンター,攻撃%、元素バフ、会心ダメージ,閑雲,66390.01,2039.87,4792.736,0.586,3.368,0,1.00:2.37,2.37,a,0.177,0,0,0
和璞鳶,辰砂4,攻撃%、元素バフ、会心率,閑雲,62540.53,2715.05,4792.736,0.586,2.663488,0,0.91:1.82,2.00,a,0.138,0,0,0
和璞鳶,辰砂4,攻撃%、元素バフ、会心ダメージ,閑雲,62540.53,2715.05,4792.736,0.586,2.663488,0,0.91:1.82,2.00,a,0.449,0,0,0
和璞鳶,ファントムハンター,攻撃%、攻撃%、会心ダメージ,閑雲,61934.87,2516.588,4792.736,0.12,3.368,0,1.00:2.37,2.37,a,0.177,0,0,0
和璞鳶,ファントムハンター,攻撃%、元素バフ、攻撃%,閑雲,61750.94,2516.588,4792.736,0.586,2.754065,0,0.94:1.87,2.00,a,0.1135,0,0,0
和璞鳶,しめ縄+剣闘士,攻撃%、元素バフ、会心率,閑雲,58225.13,2408.15,4792.736,0.586,2.663488,0,0.91:1.82,2.00,a,0.138,0,0,0
和璞鳶,しめ縄+剣闘士,攻撃%、元素バフ、会心ダメージ,閑雲,58225.13,2408.15,4792.736,0.586,2.663488,0,0.91:1.82,2.00,a,0.449,0,0,0
和璞鳶,ファントムハンター,防御%、元素バフ、会心ダメージ,閑雲,58000.63,1563.152,4792.736,0.586,3.368,0,1.00:2.37,2.37,a,0.177,0,0,0
和璞鳶,ファントムハンター,HP%、元素バフ、会心ダメージ,閑雲,58000.63,1563.152,4798.671,0.586,3.368,0,1.00:2.37,2.37,a,0.177,0,0,0
和璞鳶,ファントムハンター,元素熟知、元素バフ、会心ダメージ,閑雲,58000.63,1563.152,4792.736,0.586,3.368,187,1.00:2.37,2.37,a,0.177,0,0,0
和璞鳶,ファントムハンター,元チャ、元素バフ、会心ダメージ,閑雲,58000.63,1563.152,4792.736,0.586,3.368,0,1.00:2.37,2.37,a,0.177,0,0,0
和璞鳶,ファントムハンター,攻撃%、元素バフ、会心率,閑雲,57681.9,2039.87,4792.736,0.586,3.1,0,1.00:2.10,2.10,a,0,0,0,0
和璞鳶,辰砂4,攻撃%、攻撃%、会心率,閑雲,57350.09,3191.768,4792.736,0.12,2.663488,0,0.91:1.82,2.00,a,0.138,0,0,0
