武器,聖遺物セット,聖遺物メイン,バフキャラ,スキル期待値,攻撃力,HP,バフ,会心ダメ期待値,熟知,率ダメ,会心ダメ比率,聖遺物組み合わせ,サブステ,サブHP%,サブHP,スコア
果てなき紺碧の唄,ファントムハンター,防御%、防御%、防御%,鍾離+行秋+フリーナ,9999.724,1216,17226.4,0.25,2.364552,0,0.83:1.65,2.00,a,0.224,0,0,0
果てなき紺碧の唄,ファントムハンター,防御%、防御%、防御%,鍾離+行秋+フリーナ,9999.724,1216,17226.4,0.25,2.364552,0,0.83:1.65,2.00,a,0.224,0,0,0
果てなき紺碧の唄,ファントムハンター,防御%、防御%、防御%,鍾離+行秋+フリーナ,9999.724,1216,17226.4,0.25,2.364552,0,0.83:1.65,2.00,a,0.224,0,0,0
果てなき紺碧の唄,ファントムハンター,防御%、防御%、防御%,鍾離+行秋+フリーナ,9999.724,1216,17226.4,0.25,2.364552,0,0.83:1.65,2.00,a,0.224,0,0,0
果てなき紺碧の唄,ファントムハンター,防御%、防御%、防御%,鍾離+行秋+フリーナ,9999.724,1216,17226.4,0.25,2.364552,0,0.83:1.65,2.00,a,0.224,0,0,0
果てなき紺碧の唄,ファントムハンター,防御%、防御%、防御%,鍾離+行秋+フリーナ,9999.724,1216,17226.4,0.25,2.364552,0,0.83:1.65,2.00,a,0.224,0,0,0
果てなき紺碧の唄,ファントムハンター,防御%、防御%、防御%,鍾離+行秋+フリーナ,9999.724,1216,17226.4,0.25,2.364552,0,0.83:1.65,2.00,a,0.224,0,0,0
果てなき紺碧の唄,ファントムハンター,防御%、防御%、防御%,鍾離+行秋+フリーナ,9999.724,1216,17226.4,0.25,2.364552,0,0.83:1.65,2.00,a,0.224,0,0,0
果てなき紺碧の唄,ファントムハンター,防御%、防御%、防御%,鍾離+行秋+フリーナ,9999.724,1216,17226.4,0.25,2.364552,0,0.83:1.65,2.00,a,0.224,0,0,0
果てなき紺碧の唄,ファントムハンター,防御%、防御%、防御%,鍾離+行秋+フリーナ,9999.724,1216,17226.4,0.25,2.364552,0,0.83:1.65,2.00,a,0.224,0,0,0
果てなき紺碧の唄,ファントムハンター,防御%、防御%、防御%,鍾離+行秋+フリーナ,9999.724,1216,17226.4,0.25,2.364552,0,0.83:1.65,2.00,a,0.224,0,0,0
果てなき紺碧の唄,ファントムハンター,防御%、防御%、防御%,鍾離+行秋+フリーナ,9999.724,1216,17226.4,0.25,2.364552,0,0.83:1.65,2.00,a,0.224,0,0,0
果てなき紺碧の唄,ファントムハンター,防御%、防御%、防御%,鍾離+行秋+フリーナ,9999.724,1216,17226.4,0.25,2.364552,0,0.83:1.65,2.00,a,0.224,0,0,0
果てなき紺碧の唄,ファントムハンター,防御%、防御%、防御%,鍾離+行秋+フリーナ,9999.724,1216,17226.4,0.25,2.364552,0,0.83:1.65,2.00,a,0.224,0,0,0
果てなき紺碧の唄,ファントムハンター,防御%、防御%、防御%,鍾離+行秋+フリーナ,9999.724,1216,17226.4,0.25,2.364552,0,0.83:1.65,2.00,a,0.224,0,0,0
果てなき紺碧の唄,ファントムハンター,防御%、防御%、防御%,鍾離+行秋+フリーナ,9999.724,1216,17226.4,0.25,2.364552,0,0.83:1.65,2.00,a,0.224,0,0,0
果てなき紺碧の唄,ファントムハンター,防御%、防御%、防御%,鍾離+行秋+フリーナ,9999.724,1216,17226.4,0.25,2.364552,0,0.83:1.65,2.00,a,0.224,0,0,0
果てなき紺碧の唄,ファントムハンター,防御%、防御%、防御%,鍾離+行秋+フリーナ,9999.724,1216,17226.4,0.25,2.364552,0,0.83:1.65,2.00,a,0.224,0,0,0
果てなき紺碧の唄,ファントムハンター,防御%、防御%、防御%,鍾離+行秋+フリーナ,9999.724,1216,17226.4,0.25,2.364552,0,0.83:1.65,2.00,a,0.224,0,0,0
果てなき紺碧の唄,ファントムハンター,防御%、防御%、防御%,鍾離+行秋+フリーナ,9999.724,1216,17226.4,0.25,2.364552,0,0.83:1.65,2.00,a,0.224,0,0,0
果てなき紺碧の唄,ファントムハンター,防御%、防御%、防御%,鍾離+行秋+フリーナ,9999.724,1216,17226.4,0.25,2.364552,0,0.83:1.65,2.00,a,0.224,0,0,0
果てなき紺碧の唄,ファントムハンター,防御%、防御%、防御%,鍾離+行秋+フリーナ,9999.724,1216,17226.4,0.25,2.364552,0,0.83:1.65,2.00,a,0.224,0,0,0
果てなき紺碧の唄,ファントムハンター,防御%、防御%、防御%,鍾離+行秋+フリーナ,9999.724,1216,17226.4,0.25,2.364552,0,0.83:1.65,2.00,a,0.224,0,0,0
果てなき紺碧の唄,ファントムハンター,防御%、防御%、防御%,鍾離+行秋+フリーナ,9999.724,1216,17226.4,0.25,2.364552,0,0.83:1.65,2.00,a,0.224,0,0,0
果てなき紺碧の唄,ファントムハンター,防御%、防御%、防御%,鍾離+行秋+フリーナ,9999.724,1216,17226.4,0.25,2.364552,0,0.83:1.65,2.00,a,0.224,0,0,0
果てなき紺碧の唄,ファントムハンター,防御%、防御%、防御%,鍾離+行秋+フリーナ,9999.724,1216,17226.4,0.25,2.364552,0,0.83:1.65,2.00,a,0.224,0,0,0
